names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o217,0.0,3.0,15.0,37.0,47.0,27.0,31.0,58.0,59.0,88.0,80.0,43.0,63.0,86.0,0.0,0.0
one-plus-o243,0.0,0.0,11.0,26.0,37.0,27.0,51.0,26.0,27.0,19.0,90.0,90.0,87.0,35.0,0.0,0.0
random--la17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
random--la112,1.0,0.0,2.0,6.0,27.0,38.0,25.0,16.0,48.0,102.0,86.0,31.0,88.0,0.0,0.0,0.0
random--la114,1.0,0.0,0.0,0.0,0.0,4.0,33.0,28.0,14.0,10.0,89.0,151.0,125.0,122.0,0.0,0.0
random--la119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
random--la125,1.0,0.0,7.0,25.0,21.0,23.0,46.0,31.0,22.0,22.0,52.0,139.0,12.0,84.0,0.0,0.0
random--la24,0.0,0.0,0.0,3.0,5.0,5.0,45.0,21.0,25.0,44.0,66.0,76.0,17.0,134.0,0.0,0.0
random--la26,0.0,0.0,2.0,13.0,6.0,46.0,120.0,59.0,91.0,73.0,19.0,152.0,86.0,19.0,0.0,0.0
random--la211,1.0,0.0,0.0,0.0,16.0,84.0,53.0,38.0,114.0,100.0,72.0,108.0,17.0,46.0,0.0,0.0
random--la213,1.0,0.0,0.0,1.0,12.0,43.0,80.0,31.0,37.0,48.0,42.0,46.0,16.0,190.0,0.0,0.0
random--la217,0.0,0.0,5.0,13.0,49.0,60.0,24.0,50.0,32.0,26.0,207.0,40.0,67.0,11.0,0.0,0.0
random--la218,0.0,0.0,3.0,11.0,9.0,48.0,77.0,50.0,80.0,54.0,78.0,72.0,65.0,6.0,0.0,0.0
random--la221,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,24.0,27.0,12.0,47.0,11.0,288.0,0.0,0.0
random--la33,10.0,2.0,2.0,3.0,1.0,32.0,71.0,26.0,14.0,67.0,7.0,68.0,88.0,96.0,0.0,0.0
random--la318,11.0,5.0,3.0,4.0,3.0,3.0,37.0,106.0,59.0,43.0,29.0,24.0,39.0,9.0,0.0,0.0
random--la435,0.0,0.0,0.0,1.0,4.0,6.0,8.0,47.0,21.0,33.0,45.0,90.0,3.0,139.0,0.0,0.0
random--la52,0.0,0.0,7.0,19.0,17.0,14.0,17.0,37.0,92.0,38.0,122.0,108.0,118.0,5.0,0.0,0.0
random--la635,0.0,0.0,1.0,4.0,21.0,58.0,84.0,50.0,46.0,48.0,66.0,21.0,13.0,129.0,0.0,0.0
random--la650,0.0,0.0,0.0,6.0,10.0,4.0,24.0,30.0,64.0,86.0,109.0,49.0,15.0,55.0,0.0,0.0
random--la658,0.0,0.0,0.0,0.0,17.0,102.0,108.0,20.0,19.0,88.0,44.0,149.0,7.0,88.0,0.0,0.0
random--la660,2.0,0.0,0.0,1.0,10.0,45.0,82.0,90.0,83.0,33.0,62.0,20.0,160.0,42.0,0.0,0.0
random--la727,11.0,3.0,5.0,9.0,25.0,12.0,19.0,111.0,161.0,94.0,78.0,110.0,16.0,42.0,0.0,0.0
random--la729,11.0,2.0,3.0,2.0,14.0,53.0,43.0,18.0,83.0,114.0,12.0,10.0,11.0,146.0,0.0,0.0
random--la86,11.0,3.0,3.0,19.0,17.0,26.0,29.0,71.0,51.0,47.0,53.0,20.0,45.0,160.0,0.0,0.0
random--la819,12.0,2.0,2.0,2.0,4.0,48.0,12.0,10.0,13.0,66.0,108.0,85.0,27.0,192.0,0.0,0.0
random--la93,0.0,0.0,0.0,0.0,13.0,51.0,107.0,38.0,50.0,64.0,168.0,52.0,20.0,70.0,0.0,0.0
random--la94,0.0,0.0,0.0,2.0,11.0,10.0,18.0,25.0,66.0,65.0,89.0,76.0,73.0,45.0,0.0,0.0
random--la915,0.0,1.0,7.0,24.0,12.0,10.0,30.0,60.0,24.0,6.0,12.0,39.0,103.0,89.0,0.0,0.0
random--la918,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,8.0,17.0,4.0,29.0,8.0,0.0,0.0,0.0
