road,one-plus-o23,one-plus-o212,one-plus-o216,one-plus-o217,one-plus-o220,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o226,one-plus-o243,one-plus-o329,one-plus-o344,one-plus-o350,one-plus-o353,one-plus-o361,one-plus-o368,random--la1024,random--la232,random--la240,random--la438,random--la53,random--la519,random--la523,random--la624,random--la631,random--la637,random--la76,random--la724,random--la733,random--la86
one-plus-o23,1.0,0.83,0.95,0.908695652173913,0.79,0.77,0.925,0.77,0.937037037037037,0.8105263157894737,0.78,0.9,0.83,0.8636363636363636,0.84,0.8333333333333334,0.8052631578947369,0.74,0.8,0.8631578947368421,0.7583333333333333,0.7666666666666666,0.719047619047619,0.7476190476190476,0.7545454545454545,0.75,0.8133333333333334,0.7588235294117647,0.7266666666666667,0.7777777777777778
one-plus-o212,0.83,1.0,0.795,0.765,0.9299999999999999,0.9299999999999999,0.77,0.9299999999999999,0.765,0.7578947368421053,0.76,0.7777777777777778,0.77,0.7363636363636363,0.83,0.8,0.7684210526315789,0.77,0.7923076923076923,0.7684210526315789,0.7416666666666667,0.7833333333333333,0.74,0.765,0.825,0.74375,0.7466666666666666,0.7764705882352941,0.74,0.7611111111111111
one-plus-o216,0.95,0.795,1.0,0.945,0.795,0.785,0.975,0.785,0.975,0.7421052631578947,0.74,0.8222222222222222,0.8,0.7727272727272727,0.78,0.7888888888888889,0.7526315789473684,0.765,0.7923076923076923,0.8421052631578947,0.7583333333333333,0.75,0.735,0.73,0.785,0.75625,0.7733333333333333,0.7647058823529411,0.7466666666666666,0.7833333333333333
one-plus-o217,0.908695652173913,0.765,0.945,1.0,0.815,0.785,0.92,0.785,0.9260869565217391,0.8157894736842105,0.72,0.8222222222222222,0.79,0.7636363636363637,0.75,0.7777777777777778,0.7736842105263158,0.755,0.7923076923076923,0.7842105263157895,0.7583333333333333,0.7888888888888889,0.7238095238095238,0.7428571428571429,0.7818181818181819,0.76875,0.7266666666666667,0.7470588235294118,0.72,0.7666666666666666
one-plus-o220,0.79,0.9299999999999999,0.795,0.815,1.0,0.95,0.77,0.95,0.78,0.7157894736842105,0.71,0.7666666666666666,0.76,0.7272727272727273,0.81,0.7666666666666666,0.7684210526315789,0.75,0.7692307692307692,0.7736842105263158,0.7583333333333333,0.7555555555555555,0.725,0.7050000000000001,0.78,0.7625,0.74,0.7470588235294118,0.7,0.7666666666666666
one-plus-o222,0.77,0.9299999999999999,0.785,0.785,0.95,1.0,0.81,1.0,0.8,0.7052631578947368,0.76,0.7666666666666666,0.76,0.7454545454545455,0.81,0.7666666666666666,0.7789473684210526,0.72,0.7461538461538462,0.7473684210526316,0.75,0.7277777777777779,0.725,0.725,0.775,0.73125,0.7733333333333333,0.7235294117647059,0.7266666666666667,0.75
one-plus-o223,0.925,0.77,0.975,0.92,0.77,0.81,1.0,0.81,1.0,0.7157894736842105,0.74,0.7888888888888889,0.8,0.7818181818181819,0.78,0.7888888888888889,0.7526315789473684,0.74,0.7538461538461538,0.8368421052631578,0.7666666666666666,0.7444444444444445,0.725,0.735,0.76,0.75,0.8066666666666666,0.7588235294117647,0.74,0.7555555555555555
one-plus-o225,0.77,0.9299999999999999,0.785,0.785,0.95,1.0,0.81,1.0,0.8,0.7052631578947368,0.76,0.7666666666666666,0.76,0.7454545454545455,0.81,0.7666666666666666,0.7789473684210526,0.72,0.7461538461538462,0.7473684210526316,0.75,0.7277777777777779,0.725,0.725,0.775,0.73125,0.7733333333333333,0.7235294117647059,0.7266666666666667,0.75
one-plus-o226,0.937037037037037,0.765,0.975,0.9260869565217391,0.78,0.8,1.0,0.8,1.0,0.7842105263157895,0.78,0.7888888888888889,0.77,0.7818181818181819,0.81,0.7888888888888889,0.8368421052631578,0.765,0.7846153846153846,0.8315789473684211,0.7666666666666666,0.7555555555555555,0.7380952380952381,0.7380952380952381,0.7681818181818182,0.75,0.8066666666666666,0.7352941176470589,0.7133333333333334,0.7555555555555555
one-plus-o243,0.8105263157894737,0.7578947368421053,0.7421052631578947,0.8157894736842105,0.7157894736842105,0.7052631578947368,0.7157894736842105,0.7052631578947368,0.7842105263157895,1.0,0.72,0.7888888888888889,0.78,0.7636363636363637,0.77,0.7777777777777778,0.7894736842105263,0.7526315789473684,0.8461538461538461,0.7894736842105263,0.7583333333333333,0.7555555555555555,0.7263157894736842,0.7263157894736842,0.8052631578947369,0.8125,0.7866666666666666,0.7529411764705882,0.7266666666666667,0.7444444444444445
one-plus-o329,0.78,0.76,0.74,0.72,0.71,0.76,0.74,0.76,0.78,0.72,1.0,0.7555555555555555,0.8,0.83,0.88,0.9111111111111111,0.77,0.8,0.79,0.74,0.76,0.81,0.8200000000000001,0.73,0.79,0.77,0.79,0.72,0.83,0.75
one-plus-o344,0.9,0.7777777777777778,0.8222222222222222,0.8222222222222222,0.7666666666666666,0.7666666666666666,0.7888888888888889,0.7666666666666666,0.7888888888888889,0.7888888888888889,0.7555555555555555,1.0,0.9777777777777777,0.9666666666666667,0.8,0.8666666666666667,0.8888888888888888,0.7777777777777778,0.9,0.8222222222222222,0.7111111111111111,0.8111111111111111,0.7777777777777778,0.7666666666666666,0.8444444444444444,0.7777777777777778,0.7888888888888889,0.7444444444444445,0.7444444444444445,0.8333333333333334
one-plus-o350,0.83,0.77,0.8,0.79,0.76,0.76,0.8,0.76,0.77,0.78,0.8,0.9777777777777777,1.0,0.95,0.78,0.8444444444444444,0.89,0.76,0.81,0.81,0.74,0.8200000000000001,0.76,0.76,0.85,0.8200000000000001,0.76,0.77,0.79,0.8200000000000001
one-plus-o353,0.8636363636363636,0.7363636363636363,0.7727272727272727,0.7636363636363637,0.7272727272727273,0.7454545454545455,0.7818181818181819,0.7454545454545455,0.7818181818181819,0.7636363636363637,0.83,0.9666666666666667,0.95,1.0,0.81,0.8222222222222222,0.8636363636363636,0.8090909090909091,0.7909090909090909,0.8,0.7727272727272727,0.8454545454545455,0.7818181818181819,0.7272727272727273,0.7818181818181819,0.7363636363636363,0.7454545454545455,0.7636363636363637,0.7363636363636363,0.8090909090909091
one-plus-o361,0.84,0.83,0.78,0.75,0.81,0.81,0.78,0.81,0.81,0.77,0.88,0.8,0.78,0.81,1.0,0.9777777777777777,0.85,0.8200000000000001,0.83,0.84,0.71,0.79,0.78,0.74,0.85,0.83,0.85,0.77,0.74,0.83
one-plus-o368,0.8333333333333334,0.8,0.7888888888888889,0.7777777777777778,0.7666666666666666,0.7666666666666666,0.7888888888888889,0.7666666666666666,0.7888888888888889,0.7777777777777778,0.9111111111111111,0.8666666666666667,0.8444444444444444,0.8222222222222222,0.9777777777777777,1.0,0.8444444444444444,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.7888888888888889,0.8,0.7444444444444445,0.8666666666666667,0.8,0.8222222222222222,0.7333333333333334,0.7666666666666666,0.8
random--la1024,0.8052631578947369,0.7684210526315789,0.7526315789473684,0.7736842105263158,0.7684210526315789,0.7789473684210526,0.7526315789473684,0.7789473684210526,0.8368421052631578,0.7894736842105263,0.77,0.8888888888888888,0.89,0.8636363636363636,0.85,0.8444444444444444,1.0,0.8052631578947369,0.8076923076923077,0.7473684210526316,0.7583333333333333,0.85,0.7631578947368421,0.7736842105263158,0.7894736842105263,0.79375,0.74,0.8176470588235294,0.7333333333333334,0.7777777777777778
random--la232,0.74,0.77,0.765,0.755,0.75,0.72,0.74,0.72,0.765,0.7526315789473684,0.8,0.7777777777777778,0.76,0.8090909090909091,0.8200000000000001,0.7777777777777778,0.8052631578947369,1.0,0.8692307692307693,0.7105263157894737,0.8333333333333334,0.7388888888888889,0.72,0.75,0.76,0.8,0.74,0.788235294117647,0.72,0.7444444444444445
random--la240,0.8,0.7923076923076923,0.7923076923076923,0.7923076923076923,0.7692307692307692,0.7461538461538462,0.7538461538461538,0.7461538461538462,0.7846153846153846,0.8461538461538461,0.79,0.9,0.81,0.7909090909090909,0.83,0.8333333333333334,0.8076923076923077,0.8692307692307693,1.0,0.7384615384615385,0.7583333333333333,0.7923076923076923,0.7230769230769231,0.8153846153846154,0.7615384615384615,0.7692307692307692,0.7923076923076923,0.7769230769230769,0.7307692307692308,0.7846153846153846
random--la438,0.8631578947368421,0.7684210526315789,0.8421052631578947,0.7842105263157895,0.7736842105263158,0.7473684210526316,0.8368421052631578,0.7473684210526316,0.8315789473684211,0.7894736842105263,0.74,0.8222222222222222,0.81,0.8,0.84,0.8333333333333334,0.7473684210526316,0.7105263157894737,0.7384615384615385,1.0,0.8166666666666667,0.7722222222222223,0.7473684210526316,0.7894736842105263,0.7789473684210526,0.8375,0.76,0.7352941176470589,0.7333333333333334,0.7722222222222223
random--la53,0.7583333333333333,0.7416666666666667,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.75,0.7666666666666666,0.75,0.7666666666666666,0.7583333333333333,0.76,0.7111111111111111,0.74,0.7727272727272727,0.71,0.7222222222222222,0.7583333333333333,0.8333333333333334,0.7583333333333333,0.8166666666666667,1.0,0.7833333333333333,0.7666666666666666,0.775,0.7666666666666666,0.7833333333333333,0.8083333333333333,0.7916666666666666,0.7416666666666667,0.75
random--la519,0.7666666666666666,0.7833333333333333,0.75,0.7888888888888889,0.7555555555555555,0.7277777777777779,0.7444444444444445,0.7277777777777779,0.7555555555555555,0.7555555555555555,0.81,0.8111111111111111,0.8200000000000001,0.8454545454545455,0.79,0.7888888888888889,0.85,0.7388888888888889,0.7923076923076923,0.7722222222222223,0.7833333333333333,1.0,0.7277777777777779,0.7555555555555555,0.7611111111111111,0.7375,0.7466666666666666,0.8058823529411765,0.7666666666666666,0.7833333333333333
random--la523,0.719047619047619,0.74,0.735,0.7238095238095238,0.725,0.725,0.725,0.725,0.7380952380952381,0.7263157894736842,0.8200000000000001,0.7777777777777778,0.76,0.7818181818181819,0.78,0.8,0.7631578947368421,0.72,0.7230769230769231,0.7473684210526316,0.7666666666666666,0.7277777777777779,1.0,0.7238095238095238,0.7047619047619047,0.70625,0.72,0.7352941176470589,0.74,0.7222222222222222
random--la624,0.7476190476190476,0.765,0.73,0.7428571428571429,0.7050000000000001,0.725,0.735,0.725,0.7380952380952381,0.7263157894736842,0.73,0.7666666666666666,0.76,0.7272727272727273,0.74,0.7444444444444445,0.7736842105263158,0.75,0.8153846153846154,0.7894736842105263,0.775,0.7555555555555555,0.7238095238095238,1.0,0.7714285714285715,0.7375,0.7133333333333334,0.8058823529411765,0.8,0.7166666666666667
random--la631,0.7545454545454545,0.825,0.785,0.7818181818181819,0.78,0.775,0.76,0.775,0.7681818181818182,0.8052631578947369,0.79,0.8444444444444444,0.85,0.7818181818181819,0.85,0.8666666666666667,0.7894736842105263,0.76,0.7615384615384615,0.7789473684210526,0.7666666666666666,0.7611111111111111,0.7047619047619047,0.7714285714285715,1.0,0.8,0.7666666666666666,0.7764705882352941,0.7066666666666667,0.7666666666666666
random--la637,0.75,0.74375,0.75625,0.76875,0.7625,0.73125,0.75,0.73125,0.75,0.8125,0.77,0.7777777777777778,0.8200000000000001,0.7363636363636363,0.83,0.8,0.79375,0.8,0.7692307692307692,0.8375,0.7833333333333333,0.7375,0.70625,0.7375,0.8,1.0,0.7333333333333334,0.75625,0.7133333333333334,0.8
random--la76,0.8133333333333334,0.7466666666666666,0.7733333333333333,0.7266666666666667,0.74,0.7733333333333333,0.8066666666666666,0.7733333333333333,0.8066666666666666,0.7866666666666666,0.79,0.7888888888888889,0.76,0.7454545454545455,0.85,0.8222222222222222,0.74,0.74,0.7923076923076923,0.76,0.8083333333333333,0.7466666666666666,0.72,0.7133333333333334,0.7666666666666666,0.7333333333333334,1.0,0.7333333333333334,0.7066666666666667,0.7133333333333334
random--la724,0.7588235294117647,0.7764705882352941,0.7647058823529411,0.7470588235294118,0.7470588235294118,0.7235294117647059,0.7588235294117647,0.7235294117647059,0.7352941176470589,0.7529411764705882,0.72,0.7444444444444445,0.77,0.7636363636363637,0.77,0.7333333333333334,0.8176470588235294,0.788235294117647,0.7769230769230769,0.7352941176470589,0.7916666666666666,0.8058823529411765,0.7352941176470589,0.8058823529411765,0.7764705882352941,0.75625,0.7333333333333334,1.0,0.7333333333333334,0.7647058823529411
random--la733,0.7266666666666667,0.74,0.7466666666666666,0.72,0.7,0.7266666666666667,0.74,0.7266666666666667,0.7133333333333334,0.7266666666666667,0.83,0.7444444444444445,0.79,0.7363636363636363,0.74,0.7666666666666666,0.7333333333333334,0.72,0.7307692307692308,0.7333333333333334,0.7416666666666667,0.7666666666666666,0.74,0.8,0.7066666666666667,0.7133333333333334,0.7066666666666667,0.7333333333333334,1.0,0.7466666666666666
random--la86,0.7777777777777778,0.7611111111111111,0.7833333333333333,0.7666666666666666,0.7666666666666666,0.75,0.7555555555555555,0.75,0.7555555555555555,0.7444444444444445,0.75,0.8333333333333334,0.8200000000000001,0.8090909090909091,0.83,0.8,0.7777777777777778,0.7444444444444445,0.7846153846153846,0.7722222222222223,0.75,0.7833333333333333,0.7222222222222222,0.7166666666666667,0.7666666666666666,0.8,0.7133333333333334,0.7647058823529411,0.7466666666666666,1.0
