test,num_obes
one-plus-o23,0
one-plus-o212,0
one-plus-o216,0
one-plus-o217,0
one-plus-o220,0
one-plus-o222,0
one-plus-o223,0
one-plus-o225,0
one-plus-o226,0
one-plus-o243,0
one-plus-o329,0
one-plus-o344,0
one-plus-o350,0
one-plus-o353,0
one-plus-o361,0
one-plus-o368,0
random--la1024,1
random--la232,0
random--la240,0
random--la438,1
random--la53,0
random--la519,0
random--la523,0
random--la624,0
random--la631,0
random--la637,0
random--la76,0
random--la724,0
random--la733,0
random--la86,0
