test,sampling_index
one-plus-o1011,-1
one-plus-o1014,-1
one-plus-o1023,-1
one-plus-o1034,-1
one-plus-o22,-1
one-plus-o23,12
one-plus-o24,-1
one-plus-o25,-1
one-plus-o27,-1
one-plus-o28,-1
one-plus-o29,-1
one-plus-o210,-1
one-plus-o211,-1
one-plus-o212,0
one-plus-o213,-1
one-plus-o214,-1
one-plus-o215,-1
one-plus-o216,6
one-plus-o217,17
one-plus-o218,-1
one-plus-o219,-1
one-plus-o220,27
one-plus-o221,-1
one-plus-o222,22
one-plus-o223,19
one-plus-o224,-1
one-plus-o225,15
one-plus-o226,2
one-plus-o227,-1
one-plus-o228,-1
one-plus-o230,-1
one-plus-o231,-1
one-plus-o232,-1
one-plus-o233,-1
one-plus-o234,-1
one-plus-o235,-1
one-plus-o236,-1
one-plus-o237,-1
one-plus-o238,-1
one-plus-o239,-1
one-plus-o240,-1
one-plus-o241,-1
one-plus-o243,26
one-plus-o31,-1
one-plus-o32,-1
one-plus-o33,-1
one-plus-o34,-1
one-plus-o35,-1
one-plus-o36,-1
one-plus-o37,-1
one-plus-o38,-1
one-plus-o39,-1
one-plus-o310,-1
one-plus-o311,-1
one-plus-o312,-1
one-plus-o313,-1
one-plus-o314,-1
one-plus-o315,-1
one-plus-o316,-1
one-plus-o317,-1
one-plus-o318,-1
one-plus-o319,-1
one-plus-o320,-1
one-plus-o321,-1
one-plus-o322,-1
one-plus-o323,-1
one-plus-o324,-1
one-plus-o325,-1
one-plus-o326,-1
one-plus-o327,-1
one-plus-o328,-1
one-plus-o329,29
one-plus-o330,-1
one-plus-o331,-1
one-plus-o332,-1
one-plus-o333,-1
one-plus-o334,-1
one-plus-o335,-1
one-plus-o336,-1
one-plus-o337,-1
one-plus-o338,-1
one-plus-o339,-1
one-plus-o340,-1
one-plus-o341,-1
one-plus-o342,-1
one-plus-o344,4
one-plus-o345,-1
one-plus-o346,-1
one-plus-o347,-1
one-plus-o348,-1
one-plus-o349,-1
one-plus-o350,1
one-plus-o351,-1
one-plus-o352,-1
one-plus-o353,28
one-plus-o354,-1
one-plus-o355,-1
one-plus-o356,-1
one-plus-o357,-1
one-plus-o358,-1
one-plus-o359,-1
one-plus-o360,-1
one-plus-o361,23
one-plus-o362,-1
one-plus-o364,-1
one-plus-o365,-1
one-plus-o366,-1
one-plus-o367,-1
one-plus-o368,20
one-plus-o369,-1
random--la12,-1
random--la13,-1
random--la17,-1
random--la19,-1
random--la112,-1
random--la114,-1
random--la115,-1
random--la119,-1
random--la122,-1
random--la123,-1
random--la124,-1
random--la125,-1
random--la102,-1
random--la104,-1
random--la106,-1
random--la107,-1
random--la1010,-1
random--la1014,-1
random--la1015,-1
random--la1016,-1
random--la1017,-1
random--la1018,-1
random--la1020,-1
random--la1021,-1
random--la1022,-1
random--la1023,-1
random--la1024,5
random--la23,-1
random--la24,-1
random--la26,-1
random--la29,-1
random--la211,-1
random--la213,-1
random--la214,-1
random--la216,-1
random--la217,-1
random--la218,-1
random--la219,-1
random--la221,-1
random--la223,-1
random--la228,-1
random--la229,-1
random--la231,-1
random--la232,25
random--la233,-1
random--la235,-1
random--la237,-1
random--la238,-1
random--la239,-1
random--la240,3
random--la243,-1
random--la33,-1
random--la35,-1
random--la314,-1
random--la315,-1
random--la317,-1
random--la318,-1
random--la42,-1
random--la43,-1
random--la44,-1
random--la45,-1
random--la46,-1
random--la47,-1
random--la48,-1
random--la49,-1
random--la410,-1
random--la411,-1
random--la412,-1
random--la413,-1
random--la415,-1
random--la419,-1
random--la421,-1
random--la423,-1
random--la424,-1
random--la425,-1
random--la427,-1
random--la430,-1
random--la431,-1
random--la433,-1
random--la434,-1
random--la435,-1
random--la438,21
random--la439,-1
random--la52,-1
random--la53,14
random--la54,-1
random--la510,-1
random--la512,-1
random--la514,-1
random--la515,-1
random--la518,-1
random--la519,13
random--la520,-1
random--la522,-1
random--la523,24
random--la524,-1
random--la526,-1
random--la530,-1
random--la531,-1
random--la532,-1
random--la62,-1
random--la63,-1
random--la65,-1
random--la66,-1
random--la68,-1
random--la614,-1
random--la618,-1
random--la619,-1
random--la620,-1
random--la621,-1
random--la623,-1
random--la624,16
random--la625,-1
random--la626,-1
random--la628,-1
random--la629,-1
random--la630,-1
random--la631,7
random--la633,-1
random--la635,-1
random--la637,10
random--la638,-1
random--la640,-1
random--la641,-1
random--la642,-1
random--la646,-1
random--la647,-1
random--la649,-1
random--la650,-1
random--la651,-1
random--la652,-1
random--la653,-1
random--la654,-1
random--la655,-1
random--la656,-1
random--la657,-1
random--la658,-1
random--la660,-1
random--la661,-1
random--la72,-1
random--la74,-1
random--la76,11
random--la77,-1
random--la78,-1
random--la79,-1
random--la712,-1
random--la717,-1
random--la722,-1
random--la724,9
random--la726,-1
random--la727,-1
random--la729,-1
random--la731,-1
random--la732,-1
random--la733,8
random--la734,-1
random--la82,-1
random--la83,-1
random--la86,18
random--la87,-1
random--la88,-1
random--la89,-1
random--la813,-1
random--la819,-1
random--la824,-1
random--la827,-1
random--la828,-1
random--la93,-1
random--la94,-1
random--la97,-1
random--la910,-1
random--la911,-1
random--la913,-1
random--la915,-1
random--la916,-1
random--la918,-1
random--la920,-1
random--la923,-1
random--la924,-1
random--la926,-1
random--la928,-1
