names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o23,0.0,0.0,4.0,4.0,8.0,8.0,75.0,290.0,338.0,2.0,4.0,7.0,9.0,7.0,0.0,0.0
one-plus-o212,0.0,0.0,0.0,10.0,15.0,11.0,4.0,280.0,183.0,29.0,4.0,4.0,3.0,0.0,0.0,0.0
one-plus-o216,0.0,0.0,0.0,0.0,4.0,11.0,23.0,257.0,241.0,12.0,10.0,3.0,1.0,6.0,0.0,8.0
one-plus-o217,0.0,0.0,0.0,11.0,6.0,6.0,22.0,321.0,236.0,5.0,6.0,4.0,5.0,2.0,2.0,11.0
one-plus-o220,0.0,0.0,3.0,5.0,13.0,10.0,25.0,310.0,257.0,22.0,0.0,2.0,1.0,2.0,3.0,0.0
one-plus-o222,0.0,0.0,5.0,5.0,16.0,6.0,13.0,226.0,300.0,19.0,2.0,0.0,2.0,1.0,4.0,0.0
one-plus-o223,0.0,0.0,0.0,0.0,4.0,11.0,21.0,313.0,217.0,16.0,6.0,4.0,1.0,2.0,3.0,8.0
one-plus-o225,0.0,0.0,6.0,5.0,13.0,8.0,10.0,228.0,300.0,19.0,1.0,2.0,0.0,3.0,3.0,0.0
one-plus-o226,0.0,0.0,0.0,7.0,11.0,13.0,22.0,381.0,312.0,16.0,6.0,3.0,3.0,1.0,2.0,9.0
one-plus-o243,0.0,0.0,3.0,2.0,8.0,9.0,15.0,235.0,218.0,13.0,12.0,4.0,1.0,2.0,0.0,4.0
one-plus-o329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,217.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,179.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,179.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1024,0.0,0.0,0.0,2.0,2.0,4.0,18.0,40.0,103.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
random--la232,0.0,0.0,0.0,0.0,0.0,2.0,11.0,284.0,222.0,21.0,1.0,1.0,0.0,4.0,2.0,0.0
random--la240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,237.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0
random--la438,0.0,0.0,0.0,8.0,5.0,3.0,12.0,255.0,216.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0
random--la53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,189.0,41.0,2.0,3.0,0.0,0.0,0.0,0.0
random--la523,0.0,0.0,0.0,3.0,3.0,7.0,48.0,325.0,301.0,5.0,8.0,4.0,9.0,4.0,3.0,8.0
random--la624,0.0,0.0,0.0,0.0,0.0,4.0,2.0,295.0,274.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la631,0.0,0.0,0.0,0.0,4.0,3.0,21.0,202.0,277.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0
random--la637,0.0,0.0,2.0,6.0,13.0,12.0,14.0,151.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la76,0.0,0.0,0.0,2.0,3.0,3.0,33.0,196.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la724,0.0,0.0,0.0,0.0,4.0,6.0,2.0,217.0,254.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0
random--la733,0.0,0.0,0.0,0.0,0.0,0.0,39.0,218.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la86,0.0,0.0,3.0,2.0,5.0,2.0,11.0,227.0,268.0,28.0,4.0,5.0,0.0,0.0,0.0,0.0
