road,one-plus-o23,one-plus-o212,one-plus-o216,one-plus-o217,one-plus-o220,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o226,one-plus-o243,one-plus-o329,one-plus-o344,one-plus-o350,one-plus-o353,one-plus-o361,one-plus-o368,random--la1024,random--la232,random--la240,random--la438,random--la53,random--la519,random--la523,random--la624,random--la631,random--la637,random--la76,random--la724,random--la733,random--la86
one-plus-o23,1.0,0.9375,0.921875,0.921875,0.91796875,0.9375,0.9140625,0.921875,0.90234375,0.9453125,0.87890625,0.87109375,0.8671875,0.859375,0.87109375,0.87109375,0.88671875,0.91796875,0.90625,0.875,0.859375,0.90625,0.9296875,0.90234375,0.92578125,0.921875,0.91796875,0.90234375,0.890625,0.9296875
one-plus-o212,0.9375,1.0,0.8984375,0.9296875,0.91796875,0.9453125,0.90625,0.9375,0.90234375,0.9375,0.91015625,0.89453125,0.890625,0.8828125,0.91015625,0.91015625,0.91796875,0.93359375,0.921875,0.921875,0.8828125,0.9375,0.921875,0.92578125,0.96484375,0.9375,0.92578125,0.92578125,0.90625,0.9453125
one-plus-o216,0.921875,0.8984375,1.0,0.8984375,0.88671875,0.8984375,0.9453125,0.90625,0.93359375,0.9453125,0.87890625,0.87109375,0.8671875,0.859375,0.87890625,0.87890625,0.88671875,0.91015625,0.890625,0.859375,0.859375,0.8984375,0.9375,0.89453125,0.89453125,0.8828125,0.91015625,0.89453125,0.890625,0.890625
one-plus-o217,0.921875,0.9296875,0.8984375,1.0,0.91015625,0.9140625,0.9296875,0.9140625,0.92578125,0.921875,0.87109375,0.86328125,0.859375,0.8515625,0.86328125,0.86328125,0.88671875,0.89453125,0.8828125,0.8984375,0.8515625,0.890625,0.90625,0.88671875,0.91796875,0.90625,0.90234375,0.89453125,0.875,0.9140625
one-plus-o220,0.91796875,0.91796875,0.88671875,0.91015625,1.0,0.95703125,0.88671875,0.95703125,0.8984375,0.90234375,0.875,0.859375,0.85546875,0.84765625,0.875,0.875,0.90625,0.9140625,0.88671875,0.88671875,0.84765625,0.88671875,0.87890625,0.890625,0.90625,0.91796875,0.8984375,0.890625,0.87109375,0.91015625
one-plus-o222,0.9375,0.9453125,0.8984375,0.9140625,0.95703125,1.0,0.9140625,0.9609375,0.88671875,0.9296875,0.89453125,0.87890625,0.875,0.8671875,0.89453125,0.89453125,0.91015625,0.93359375,0.8984375,0.890625,0.8671875,0.9140625,0.90625,0.91015625,0.92578125,0.9296875,0.91796875,0.91015625,0.890625,0.921875
one-plus-o223,0.9140625,0.90625,0.9453125,0.9296875,0.88671875,0.9140625,1.0,0.9140625,0.94140625,0.9375,0.86328125,0.84765625,0.84375,0.8359375,0.86328125,0.86328125,0.87890625,0.91015625,0.875,0.8671875,0.8359375,0.890625,0.8984375,0.87890625,0.90234375,0.8671875,0.88671875,0.87890625,0.8671875,0.8984375
one-plus-o225,0.921875,0.9375,0.90625,0.9140625,0.95703125,0.9609375,0.9140625,1.0,0.92578125,0.9296875,0.88671875,0.87109375,0.8671875,0.859375,0.88671875,0.88671875,0.90234375,0.91015625,0.890625,0.8828125,0.859375,0.90625,0.9140625,0.89453125,0.91796875,0.921875,0.91015625,0.89453125,0.8828125,0.921875
one-plus-o226,0.90234375,0.90234375,0.93359375,0.92578125,0.8984375,0.88671875,0.94140625,0.92578125,1.0,0.91796875,0.859375,0.8515625,0.84765625,0.83984375,0.859375,0.859375,0.8828125,0.890625,0.87109375,0.87109375,0.83984375,0.87890625,0.91015625,0.875,0.890625,0.88671875,0.8984375,0.890625,0.87109375,0.88671875
one-plus-o243,0.9453125,0.9375,0.9453125,0.921875,0.90234375,0.9296875,0.9375,0.9296875,0.91796875,1.0,0.87109375,0.85546875,0.8515625,0.84375,0.87109375,0.87109375,0.88671875,0.91796875,0.8828125,0.890625,0.84375,0.90625,0.921875,0.88671875,0.91796875,0.90625,0.89453125,0.89453125,0.8671875,0.921875
one-plus-o329,0.87890625,0.91015625,0.87890625,0.87109375,0.875,0.89453125,0.86328125,0.88671875,0.859375,0.87109375,1.0,0.96875,0.97265625,0.96484375,0.984375,0.984375,0.921875,0.9296875,0.94921875,0.90234375,0.96484375,0.96484375,0.89453125,0.96875,0.9375,0.91015625,0.9453125,0.921875,0.94140625,0.91015625
one-plus-o344,0.87109375,0.89453125,0.87109375,0.86328125,0.859375,0.87890625,0.84765625,0.87109375,0.8515625,0.85546875,0.96875,1.0,0.99609375,0.98828125,0.96875,0.9609375,0.90625,0.9140625,0.94921875,0.89453125,0.98828125,0.94921875,0.88671875,0.953125,0.921875,0.92578125,0.953125,0.921875,0.94921875,0.89453125
one-plus-o350,0.8671875,0.890625,0.8671875,0.859375,0.85546875,0.875,0.84375,0.8671875,0.84765625,0.8515625,0.97265625,0.99609375,1.0,0.9921875,0.97265625,0.96484375,0.90234375,0.91015625,0.9453125,0.890625,0.9921875,0.9453125,0.8828125,0.94921875,0.91796875,0.921875,0.94921875,0.91796875,0.9453125,0.890625
one-plus-o353,0.859375,0.8828125,0.859375,0.8515625,0.84765625,0.8671875,0.8359375,0.859375,0.83984375,0.84375,0.96484375,0.98828125,0.9921875,1.0,0.97265625,0.96484375,0.89453125,0.90234375,0.9375,0.8828125,1.0,0.9375,0.875,0.94140625,0.91015625,0.9140625,0.94140625,0.91015625,0.9375,0.8828125
one-plus-o361,0.87109375,0.91015625,0.87890625,0.86328125,0.875,0.89453125,0.86328125,0.88671875,0.859375,0.87109375,0.984375,0.96875,0.97265625,0.97265625,1.0,0.984375,0.921875,0.9296875,0.94140625,0.89453125,0.97265625,0.96484375,0.88671875,0.9609375,0.9296875,0.91015625,0.9453125,0.9140625,0.94140625,0.90234375
one-plus-o368,0.87109375,0.91015625,0.87890625,0.86328125,0.875,0.89453125,0.86328125,0.88671875,0.859375,0.87109375,0.984375,0.9609375,0.96484375,0.96484375,0.984375,1.0,0.921875,0.9296875,0.94140625,0.89453125,0.96484375,0.96484375,0.88671875,0.9609375,0.9296875,0.90234375,0.9375,0.921875,0.93359375,0.90234375
random--la1024,0.88671875,0.91796875,0.88671875,0.88671875,0.90625,0.91015625,0.87890625,0.90234375,0.8828125,0.88671875,0.921875,0.90625,0.90234375,0.89453125,0.921875,0.921875,1.0,0.9140625,0.91796875,0.92578125,0.89453125,0.91796875,0.88671875,0.9375,0.9375,0.92578125,0.9296875,0.921875,0.92578125,0.91796875
random--la232,0.91796875,0.93359375,0.91015625,0.89453125,0.9140625,0.93359375,0.91015625,0.91015625,0.890625,0.91796875,0.9296875,0.9140625,0.91015625,0.90234375,0.9296875,0.9296875,0.9140625,1.0,0.92578125,0.88671875,0.90234375,0.95703125,0.89453125,0.9453125,0.953125,0.90234375,0.9375,0.9296875,0.92578125,0.91796875
random--la240,0.90625,0.921875,0.890625,0.8828125,0.88671875,0.8984375,0.875,0.890625,0.87109375,0.8828125,0.94921875,0.94921875,0.9453125,0.9375,0.94140625,0.94140625,0.91796875,0.92578125,1.0,0.9140625,0.9375,0.9453125,0.8984375,0.95703125,0.94921875,0.9140625,0.93359375,0.91796875,0.9453125,0.9140625
random--la438,0.875,0.921875,0.859375,0.8984375,0.88671875,0.890625,0.8671875,0.8828125,0.87109375,0.890625,0.90234375,0.89453125,0.890625,0.8828125,0.89453125,0.89453125,0.92578125,0.88671875,0.9140625,1.0,0.8828125,0.8984375,0.8671875,0.91796875,0.92578125,0.921875,0.91015625,0.91015625,0.90625,0.90625
random--la53,0.859375,0.8828125,0.859375,0.8515625,0.84765625,0.8671875,0.8359375,0.859375,0.83984375,0.84375,0.96484375,0.98828125,0.9921875,1.0,0.97265625,0.96484375,0.89453125,0.90234375,0.9375,0.8828125,1.0,0.9375,0.875,0.94140625,0.91015625,0.9140625,0.94140625,0.91015625,0.9375,0.8828125
random--la519,0.90625,0.9375,0.8984375,0.890625,0.88671875,0.9140625,0.890625,0.90625,0.87890625,0.90625,0.96484375,0.94921875,0.9453125,0.9375,0.96484375,0.96484375,0.91796875,0.95703125,0.9453125,0.8984375,0.9375,1.0,0.9140625,0.94921875,0.95703125,0.8984375,0.93359375,0.91796875,0.9296875,0.9296875
random--la523,0.9296875,0.921875,0.9375,0.90625,0.87890625,0.90625,0.8984375,0.9140625,0.91015625,0.921875,0.89453125,0.88671875,0.8828125,0.875,0.88671875,0.88671875,0.88671875,0.89453125,0.8984375,0.8671875,0.875,0.9140625,1.0,0.90234375,0.91015625,0.8984375,0.91015625,0.90234375,0.8984375,0.8984375
random--la624,0.90234375,0.92578125,0.89453125,0.88671875,0.890625,0.91015625,0.87890625,0.89453125,0.875,0.88671875,0.96875,0.953125,0.94921875,0.94140625,0.9609375,0.9609375,0.9375,0.9453125,0.95703125,0.91796875,0.94140625,0.94921875,0.90234375,1.0,0.9609375,0.93359375,0.953125,0.9375,0.96484375,0.91796875
random--la631,0.92578125,0.96484375,0.89453125,0.91796875,0.90625,0.92578125,0.90234375,0.91796875,0.890625,0.91796875,0.9375,0.921875,0.91796875,0.91015625,0.9296875,0.9296875,0.9375,0.953125,0.94921875,0.92578125,0.91015625,0.95703125,0.91015625,0.9609375,1.0,0.93359375,0.9375,0.9453125,0.94140625,0.95703125
random--la637,0.921875,0.9375,0.8828125,0.90625,0.91796875,0.9296875,0.8671875,0.921875,0.88671875,0.90625,0.91015625,0.92578125,0.921875,0.9140625,0.91015625,0.90234375,0.92578125,0.90234375,0.9140625,0.921875,0.9140625,0.8984375,0.8984375,0.93359375,0.93359375,1.0,0.95703125,0.94140625,0.9375,0.9375
random--la76,0.91796875,0.92578125,0.91015625,0.90234375,0.8984375,0.91796875,0.88671875,0.91015625,0.8984375,0.89453125,0.9453125,0.953125,0.94921875,0.94140625,0.9453125,0.9375,0.9296875,0.9375,0.93359375,0.91015625,0.94140625,0.93359375,0.91015625,0.953125,0.9375,0.95703125,1.0,0.9453125,0.96484375,0.93359375
random--la724,0.90234375,0.92578125,0.89453125,0.89453125,0.890625,0.91015625,0.87890625,0.89453125,0.890625,0.89453125,0.921875,0.921875,0.91796875,0.91015625,0.9140625,0.921875,0.921875,0.9296875,0.91796875,0.91015625,0.91015625,0.91796875,0.90234375,0.9375,0.9453125,0.94140625,0.9453125,1.0,0.93359375,0.93359375
random--la733,0.890625,0.90625,0.890625,0.875,0.87109375,0.890625,0.8671875,0.8828125,0.87109375,0.8671875,0.94140625,0.94921875,0.9453125,0.9375,0.94140625,0.93359375,0.92578125,0.92578125,0.9453125,0.90625,0.9375,0.9296875,0.8984375,0.96484375,0.94140625,0.9375,0.96484375,0.93359375,1.0,0.90625
random--la86,0.9296875,0.9453125,0.890625,0.9140625,0.91015625,0.921875,0.8984375,0.921875,0.88671875,0.921875,0.91015625,0.89453125,0.890625,0.8828125,0.90234375,0.90234375,0.91796875,0.91796875,0.9140625,0.90625,0.8828125,0.9296875,0.8984375,0.91796875,0.95703125,0.9375,0.93359375,0.93359375,0.90625,1.0
