road,one-plus-o216,one-plus-o218,one-plus-o220,one-plus-o222,one-plus-o225,one-plus-o226,one-plus-o357,random--la115,random--la102,random--la107,random--la1010,random--la1021,random--la218,random--la33,random--la318,random--la43,random--la47,random--la411,random--la412,random--la427,random--la519,random--la614,random--la625,random--la653,random--la76,random--la729,random--la733,random--la82,random--la86,random--la910
one-plus-o216,1.0,1.0,0.795,0.785,0.785,0.975,0.8090909090909091,0.7555555555555555,0.7150000000000001,0.7894736842105263,0.725,0.745,0.735,0.7714285714285715,0.775,0.73,0.7642857142857142,0.6950000000000001,0.7285714285714286,0.7555555555555555,0.75,0.71,0.725,0.8,0.7733333333333333,0.7842105263157895,0.7466666666666666,0.7052631578947368,0.7833333333333333,0.78
one-plus-o218,1.0,1.0,0.7842105263157895,0.7789473684210526,0.7789473684210526,0.9736842105263158,0.7727272727272727,0.7444444444444445,0.7210526315789474,0.7105263157894737,0.7315789473684211,0.7421052631578947,0.7315789473684211,0.8071428571428572,0.7736842105263158,0.736842105263158,0.7785714285714286,0.6842105263157895,0.7642857142857142,0.7777777777777778,0.7555555555555555,0.7105263157894737,0.7263157894736842,0.8052631578947369,0.7733333333333333,0.7947368421052632,0.7066666666666667,0.7684210526315789,0.7722222222222223,0.78
one-plus-o220,0.795,0.7842105263157895,1.0,0.95,0.95,0.78,0.7363636363636363,0.7277777777777779,0.75,0.7263157894736842,0.735,0.745,0.735,0.7285714285714286,0.73,0.735,0.8571428571428572,0.76,0.7285714285714286,0.7555555555555555,0.7555555555555555,0.7,0.75,0.735,0.74,0.7684210526315789,0.7,0.6894736842105262,0.7666666666666666,0.7533333333333333
one-plus-o222,0.785,0.7789473684210526,0.95,1.0,1.0,0.8,0.7363636363636363,0.7444444444444445,0.77,0.7105263157894737,0.73,0.745,0.765,0.7642857142857142,0.73,0.735,0.8214285714285714,0.76,0.7571428571428571,0.7555555555555555,0.7277777777777779,0.7150000000000001,0.8,0.725,0.7733333333333333,0.736842105263158,0.7266666666666667,0.6947368421052631,0.75,0.78
one-plus-o225,0.785,0.7789473684210526,0.95,1.0,1.0,0.8,0.7363636363636363,0.7444444444444445,0.77,0.7105263157894737,0.73,0.745,0.765,0.7642857142857142,0.73,0.735,0.8214285714285714,0.76,0.7571428571428571,0.7555555555555555,0.7277777777777779,0.7150000000000001,0.8,0.725,0.7733333333333333,0.736842105263158,0.7266666666666667,0.6947368421052631,0.75,0.78
one-plus-o226,0.975,0.9736842105263158,0.78,0.8,0.8,1.0,0.7727272727272727,0.7666666666666666,0.7318181818181818,0.7578947368421053,0.7222222222222222,0.819047619047619,0.726923076923077,0.8142857142857143,0.7619047619047619,0.7090909090909091,0.7714285714285715,0.71,0.75,0.7777777777777778,0.7555555555555555,0.7217391304347827,0.735,0.755,0.8066666666666666,0.7736842105263158,0.7133333333333334,0.7736842105263158,0.7555555555555555,0.8
one-plus-o357,0.8090909090909091,0.7727272727272727,0.7363636363636363,0.7363636363636363,0.7363636363636363,0.7727272727272727,1.0,0.7363636363636363,0.8,0.7909090909090909,0.7727272727272727,0.8545454545454545,0.7727272727272727,0.7181818181818183,0.8272727272727273,0.8090909090909091,0.7545454545454545,0.7545454545454545,0.7181818181818183,0.7636363636363637,0.8,0.7727272727272727,0.7636363636363637,0.7818181818181819,0.7454545454545455,0.7454545454545455,0.7636363636363637,0.8,0.7636363636363637,0.7181818181818183
random--la115,0.7555555555555555,0.7444444444444445,0.7277777777777779,0.7444444444444445,0.7444444444444445,0.7666666666666666,0.7363636363636363,1.0,0.7944444444444445,0.7166666666666667,0.7611111111111111,0.7888888888888889,0.7666666666666666,0.8214285714285714,0.7277777777777779,0.7888888888888889,0.8,0.7666666666666666,0.8214285714285714,0.7555555555555555,0.7555555555555555,0.7277777777777779,0.8,0.8055555555555556,0.78,0.8222222222222222,0.7466666666666666,0.7666666666666666,0.7277777777777779,0.7466666666666666
random--la102,0.7150000000000001,0.7210526315789474,0.75,0.77,0.77,0.7318181818181818,0.8,0.7944444444444445,1.0,0.7210526315789474,0.7727272727272727,0.7428571428571429,0.7454545454545455,0.8142857142857143,0.7476190476190476,0.7318181818181818,0.7714285714285715,0.8049999999999999,0.7571428571428571,0.7833333333333333,0.7277777777777779,0.7863636363636364,0.755,0.755,0.76,0.7736842105263158,0.72,0.7210526315789474,0.7666666666666666,0.78
random--la107,0.7894736842105263,0.7105263157894737,0.7263157894736842,0.7105263157894737,0.7105263157894737,0.7578947368421053,0.7909090909090909,0.7166666666666667,0.7210526315789474,1.0,0.8,0.7894736842105263,0.7684210526315789,0.8,0.7684210526315789,0.7578947368421053,0.7714285714285715,0.7157894736842105,0.8,0.7277777777777779,0.7333333333333334,0.7157894736842105,0.7473684210526316,0.7578947368421053,0.7733333333333333,0.7263157894736842,0.74,0.7421052631578947,0.75,0.7733333333333333
random--la1010,0.725,0.7315789473684211,0.735,0.73,0.73,0.7222222222222222,0.7727272727272727,0.7611111111111111,0.7727272727272727,0.8,1.0,0.7619047619047619,0.7807692307692308,0.7928571428571428,0.7857142857142857,0.740909090909091,0.7785714285714286,0.77,0.8357142857142857,0.7388888888888889,0.75,0.7347826086956522,0.83,0.795,0.76,0.7526315789473684,0.7933333333333333,0.7894736842105263,0.7444444444444445,0.7266666666666667
random--la1021,0.745,0.7421052631578947,0.745,0.745,0.745,0.819047619047619,0.8545454545454545,0.7888888888888889,0.7428571428571429,0.7894736842105263,0.7619047619047619,1.0,0.780952380952381,0.7928571428571428,0.7476190476190476,0.7285714285714286,0.7428571428571429,0.7050000000000001,0.7785714285714286,0.7555555555555555,0.7888888888888889,0.7142857142857143,0.79,0.73,0.7466666666666666,0.7578947368421053,0.74,0.7736842105263158,0.7444444444444445,0.74
random--la218,0.735,0.7315789473684211,0.735,0.765,0.765,0.726923076923077,0.7727272727272727,0.7666666666666666,0.7454545454545455,0.7684210526315789,0.7807692307692308,0.780952380952381,1.0,0.8071428571428572,0.7714285714285715,0.7772727272727273,0.7785714285714286,0.73,0.7785714285714286,0.7388888888888889,0.8055555555555556,0.7565217391304347,0.77,0.785,0.7666666666666666,0.8263157894736842,0.7866666666666666,0.7736842105263158,0.7833333333333333,0.7866666666666666
random--la33,0.7714285714285715,0.8071428571428572,0.7285714285714286,0.7642857142857142,0.7642857142857142,0.8142857142857143,0.7181818181818183,0.8214285714285714,0.8142857142857143,0.8,0.7928571428571428,0.7928571428571428,0.8071428571428572,1.0,0.7785714285714286,0.7428571428571429,0.7714285714285715,0.75,0.7857142857142857,0.7642857142857142,0.7642857142857142,0.7857142857142857,0.7857142857142857,0.7428571428571429,0.8214285714285714,0.7928571428571428,0.6928571428571428,0.8142857142857143,0.8,0.8071428571428572
random--la318,0.775,0.7736842105263158,0.73,0.73,0.73,0.7619047619047619,0.8272727272727273,0.7277777777777779,0.7476190476190476,0.7684210526315789,0.7857142857142857,0.7476190476190476,0.7714285714285715,0.7785714285714286,1.0,0.8095238095238095,0.7214285714285714,0.72,0.8357142857142857,0.7277777777777779,0.7611111111111111,0.7666666666666666,0.825,0.77,0.76,0.7105263157894737,0.7533333333333333,0.7263157894736842,0.7666666666666666,0.74
random--la43,0.73,0.736842105263158,0.735,0.735,0.735,0.7090909090909091,0.8090909090909091,0.7888888888888889,0.7318181818181818,0.7578947368421053,0.740909090909091,0.7285714285714286,0.7772727272727273,0.7428571428571429,0.8095238095238095,1.0,0.7714285714285715,0.78,0.7714285714285715,0.7555555555555555,0.7611111111111111,0.7318181818181818,0.795,0.73,0.7333333333333334,0.7421052631578947,0.7666666666666666,0.7105263157894737,0.7611111111111111,0.7
random--la47,0.7642857142857142,0.7785714285714286,0.8571428571428572,0.8214285714285714,0.8214285714285714,0.7714285714285715,0.7545454545454545,0.8,0.7714285714285715,0.7714285714285715,0.7785714285714286,0.7428571428571429,0.7785714285714286,0.7714285714285715,0.7214285714285714,0.7714285714285715,1.0,0.7642857142857142,0.7571428571428571,0.8642857142857143,0.7714285714285715,0.7857142857142857,0.7785714285714286,0.7571428571428571,0.7285714285714286,0.8,0.7071428571428571,0.7214285714285714,0.7928571428571428,0.7642857142857142
random--la411,0.6950000000000001,0.6842105263157895,0.76,0.76,0.76,0.71,0.7545454545454545,0.7666666666666666,0.8049999999999999,0.7157894736842105,0.77,0.7050000000000001,0.73,0.75,0.72,0.78,0.7642857142857142,1.0,0.7357142857142858,0.7388888888888889,0.7055555555555555,0.8049999999999999,0.78,0.765,0.74,0.7473684210526316,0.76,0.7263157894736842,0.6944444444444444,0.7533333333333333
random--la412,0.7285714285714286,0.7642857142857142,0.7285714285714286,0.7571428571428571,0.7571428571428571,0.75,0.7181818181818183,0.8214285714285714,0.7571428571428571,0.8,0.8357142857142857,0.7785714285714286,0.7785714285714286,0.7857142857142857,0.8357142857142857,0.7714285714285715,0.7571428571428571,0.7357142857142858,1.0,0.75,0.7571428571428571,0.7571428571428571,0.7642857142857142,0.7714285714285715,0.7714285714285715,0.7642857142857142,0.7,0.7785714285714286,0.75,0.8214285714285714
random--la427,0.7555555555555555,0.7777777777777778,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7777777777777778,0.7636363636363637,0.7555555555555555,0.7833333333333333,0.7277777777777779,0.7388888888888889,0.7555555555555555,0.7388888888888889,0.7642857142857142,0.7277777777777779,0.7555555555555555,0.8642857142857143,0.7388888888888889,0.75,1.0,0.7666666666666666,0.75,0.7444444444444445,0.8,0.7866666666666666,0.7722222222222223,0.7933333333333333,0.7444444444444445,0.7388888888888889,0.74
