road,one-plus-o216,one-plus-o218,one-plus-o220,one-plus-o222,one-plus-o225,one-plus-o226,one-plus-o357,random--la115,random--la102,random--la107,random--la1010,random--la1021,random--la218,random--la33,random--la318,random--la43,random--la47,random--la411,random--la412,random--la427,random--la519,random--la614,random--la625,random--la653,random--la76,random--la729,random--la733,random--la82,random--la86,random--la910
one-plus-o216,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
one-plus-o218,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
one-plus-o220,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
one-plus-o222,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
one-plus-o225,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
one-plus-o226,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.8125,0.1875,0.9375,0.8125,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.75,0.9375,0.6875,0.75,0.875,0.9375,0.875,0.75,0.875,0.9375,0.9375,0.9375,0.9375,0.875
one-plus-o357,0.875,0.875,0.875,0.875,0.875,0.8125,1.0,0.375,0.875,0.75,0.875,0.875,0.875,0.75,0.75,0.875,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.8125,0.9375,0.9375,0.75,0.75,0.75,0.75,0.8125
random--la115,0.25,0.25,0.25,0.25,0.25,0.1875,0.375,1.0,0.25,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.4375,0.25,0.5,0.4375,0.3125,0.25,0.3125,0.4375,0.3125,0.25,0.25,0.25,0.25,0.3125
random--la102,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
random--la107,0.875,0.875,0.875,0.875,0.875,0.8125,0.75,0.375,0.875,1.0,0.875,0.875,0.875,0.75,0.75,0.875,0.6875,0.875,0.625,0.6875,0.8125,0.875,0.8125,0.6875,0.8125,0.75,0.75,0.75,0.75,0.8125
random--la1010,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
random--la1021,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
random--la218,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,1.0,0.75,0.8125,0.9375,1.0,0.9375,0.8125,0.9375,0.875,0.875,0.875,0.875,0.9375
