names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o216,0.0,0.0,0.0,0.0,4.0,11.0,23.0,257.0,241.0,12.0,10.0,3.0,1.0,6.0,0.0,8.0
one-plus-o218,0.0,0.0,0.0,0.0,5.0,10.0,19.0,267.0,233.0,10.0,12.0,4.0,2.0,1.0,6.0,5.0
one-plus-o220,0.0,0.0,3.0,5.0,13.0,10.0,25.0,310.0,257.0,22.0,0.0,2.0,1.0,2.0,3.0,0.0
one-plus-o222,0.0,0.0,5.0,5.0,16.0,6.0,13.0,226.0,300.0,19.0,2.0,0.0,2.0,1.0,4.0,0.0
one-plus-o225,0.0,0.0,6.0,5.0,13.0,8.0,10.0,228.0,300.0,19.0,1.0,2.0,0.0,3.0,3.0,0.0
one-plus-o226,0.0,0.0,0.0,7.0,11.0,13.0,22.0,381.0,312.0,16.0,6.0,3.0,3.0,1.0,2.0,9.0
one-plus-o357,0.0,0.0,0.0,0.0,0.0,0.0,35.0,196.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la102,0.0,0.0,0.0,0.0,4.0,5.0,13.0,352.0,343.0,19.0,1.0,1.0,0.0,1.0,2.0,4.0
random--la107,0.0,0.0,0.0,0.0,3.0,9.0,37.0,239.0,222.0,30.0,2.0,0.0,2.0,3.0,0.0,0.0
random--la1010,0.0,0.0,0.0,0.0,0.0,0.0,57.0,293.0,345.0,11.0,4.0,7.0,2.0,0.0,0.0,0.0
random--la1021,0.0,0.0,3.0,2.0,12.0,5.0,13.0,198.0,216.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la218,0.0,0.0,3.0,2.0,4.0,5.0,40.0,212.0,285.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la33,0.0,0.0,0.0,0.0,0.0,0.0,23.0,189.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la318,8.0,2.0,1.0,2.0,0.0,1.0,3.0,176.0,181.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
random--la43,0.0,0.0,4.0,2.0,8.0,7.0,4.0,297.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la47,0.0,0.0,0.0,0.0,0.0,2.0,9.0,196.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la411,0.0,0.0,4.0,6.0,11.0,10.0,32.0,256.0,311.0,19.0,2.0,2.0,1.0,4.0,2.0,0.0
random--la412,0.0,0.0,0.0,0.0,0.0,0.0,26.0,152.0,205.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la427,0.0,0.0,0.0,0.0,0.0,0.0,3.0,319.0,257.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,189.0,41.0,2.0,3.0,0.0,0.0,0.0,0.0
random--la614,0.0,0.0,0.0,5.0,10.0,9.0,7.0,328.0,249.0,62.0,4.0,1.0,5.0,0.0,1.0,4.0
random--la625,0.0,0.0,0.0,0.0,0.0,2.0,7.0,288.0,320.0,8.0,0.0,0.0,3.0,0.0,1.0,4.0
random--la653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,337.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la76,0.0,0.0,0.0,2.0,3.0,3.0,33.0,196.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la729,0.0,0.0,0.0,4.0,1.0,3.0,44.0,178.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la733,0.0,0.0,0.0,0.0,0.0,0.0,39.0,218.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la82,0.0,0.0,0.0,0.0,0.0,0.0,24.0,398.0,268.0,18.0,1.0,2.0,4.0,6.0,5.0,5.0
random--la86,0.0,0.0,3.0,2.0,5.0,2.0,11.0,227.0,268.0,28.0,4.0,5.0,0.0,0.0,0.0,0.0
random--la910,0.0,0.0,0.0,0.0,0.0,0.0,22.0,235.0,184.0,9.0,1.0,2.0,2.0,1.0,2.0,5.0
