road,one-plus-o216,one-plus-o218,one-plus-o220,one-plus-o222,one-plus-o225,one-plus-o226,one-plus-o357,random--la115,random--la102,random--la107,random--la1010,random--la1021,random--la218,random--la33,random--la318,random--la43,random--la47,random--la411,random--la412,random--la427,random--la519,random--la614,random--la625,random--la653,random--la76,random--la729,random--la733,random--la82,random--la86,random--la910
one-plus-o216,1.0,0.8828125,0.7421875,0.71484375,0.765625,0.8515625,0.7421875,0.625,0.80078125,0.75,0.79296875,0.76171875,0.81640625,0.70703125,0.734375,0.75390625,0.74609375,0.7890625,0.7109375,0.7890625,0.77734375,0.80859375,0.74609375,0.7421875,0.77734375,0.66796875,0.6796875,0.71484375,0.77734375,0.75
one-plus-o218,0.8828125,1.0,0.7265625,0.70703125,0.7578125,0.8515625,0.71875,0.609375,0.79296875,0.765625,0.80078125,0.78515625,0.82421875,0.69140625,0.75,0.75390625,0.74609375,0.7890625,0.703125,0.78125,0.80078125,0.82421875,0.75390625,0.7421875,0.76953125,0.66015625,0.65625,0.72265625,0.76171875,0.7265625
one-plus-o220,0.7421875,0.7265625,1.0,0.78515625,0.796875,0.765625,0.734375,0.5859375,0.75390625,0.6953125,0.75390625,0.74609375,0.79296875,0.67578125,0.7109375,0.73828125,0.69921875,0.7890625,0.734375,0.78125,0.70703125,0.75390625,0.75390625,0.78125,0.75390625,0.73828125,0.703125,0.70703125,0.74609375,0.7890625
one-plus-o222,0.71484375,0.70703125,0.78515625,1.0,0.87890625,0.75390625,0.76171875,0.66015625,0.7109375,0.77734375,0.734375,0.7421875,0.78125,0.6953125,0.73828125,0.78125,0.703125,0.73046875,0.75390625,0.79296875,0.734375,0.75,0.78125,0.76953125,0.734375,0.6953125,0.67578125,0.7578125,0.734375,0.72265625
one-plus-o225,0.765625,0.7578125,0.796875,0.87890625,1.0,0.7734375,0.7578125,0.640625,0.75390625,0.7734375,0.76171875,0.74609375,0.76953125,0.70703125,0.734375,0.76171875,0.71484375,0.7265625,0.75,0.796875,0.76171875,0.77734375,0.76171875,0.765625,0.75390625,0.66796875,0.6640625,0.75390625,0.77734375,0.75
one-plus-o226,0.8515625,0.8515625,0.765625,0.75390625,0.7734375,1.0,0.75,0.5703125,0.82421875,0.7734375,0.80078125,0.74609375,0.81640625,0.66015625,0.7109375,0.75390625,0.73046875,0.7734375,0.703125,0.7578125,0.79296875,0.77734375,0.75390625,0.734375,0.78515625,0.69140625,0.65625,0.73828125,0.77734375,0.7421875
one-plus-o357,0.7421875,0.71875,0.734375,0.76171875,0.7578125,0.75,1.0,0.7734375,0.78515625,0.78125,0.77734375,0.75390625,0.81640625,0.79296875,0.7734375,0.85546875,0.83984375,0.7265625,0.8359375,0.8359375,0.78515625,0.73046875,0.81640625,0.8046875,0.84765625,0.70703125,0.7578125,0.74609375,0.75390625,0.8515625
random--la115,0.625,0.609375,0.5859375,0.66015625,0.640625,0.5703125,0.7734375,1.0,0.61328125,0.6796875,0.61328125,0.67578125,0.62890625,0.73828125,0.6875,0.74609375,0.74609375,0.6328125,0.7734375,0.734375,0.68359375,0.59765625,0.70703125,0.6796875,0.70703125,0.65234375,0.7109375,0.63671875,0.66015625,0.71875
random--la102,0.80078125,0.79296875,0.75390625,0.7109375,0.75390625,0.82421875,0.78515625,0.61328125,1.0,0.76171875,0.8125,0.7421875,0.8125,0.7265625,0.70703125,0.78125,0.75,0.78515625,0.72265625,0.77734375,0.78125,0.78125,0.765625,0.75390625,0.8125,0.6875,0.69921875,0.7421875,0.765625,0.76953125
random--la107,0.75,0.765625,0.6953125,0.77734375,0.7734375,0.7734375,0.78125,0.6796875,0.76171875,1.0,0.77734375,0.73828125,0.78515625,0.68359375,0.75,0.82421875,0.75390625,0.7734375,0.703125,0.78125,0.78515625,0.76171875,0.76171875,0.7109375,0.73828125,0.69140625,0.640625,0.76171875,0.71484375,0.734375
random--la1010,0.79296875,0.80078125,0.75390625,0.734375,0.76171875,0.80078125,0.77734375,0.61328125,0.8125,0.77734375,1.0,0.765625,0.8359375,0.7421875,0.73828125,0.7734375,0.78125,0.76953125,0.74609375,0.80078125,0.8203125,0.8359375,0.7734375,0.76953125,0.8125,0.6875,0.69140625,0.7890625,0.796875,0.77734375
random--la1021,0.76171875,0.78515625,0.74609375,0.7421875,0.74609375,0.74609375,0.75390625,0.67578125,0.7421875,0.73828125,0.765625,1.0,0.7890625,0.703125,0.75390625,0.765625,0.7265625,0.73046875,0.73046875,0.79296875,0.75,0.765625,0.7578125,0.73828125,0.78125,0.703125,0.69921875,0.7734375,0.7421875,0.76171875
random--la218,0.81640625,0.82421875,0.79296875,0.78125,0.76953125,0.81640625,0.81640625,0.62890625,0.8125,0.78515625,0.8359375,0.7890625,1.0,0.78125,0.80078125,0.8046875,0.7890625,0.80078125,0.77734375,0.80078125,0.8203125,0.8125,0.78125,0.77734375,0.84375,0.7734375,0.69921875,0.7578125,0.796875,0.78515625
random--la33,0.70703125,0.69140625,0.67578125,0.6953125,0.70703125,0.66015625,0.79296875,0.73828125,0.7265625,0.68359375,0.7421875,0.703125,0.78125,1.0,0.73046875,0.7578125,0.7734375,0.68359375,0.76953125,0.75390625,0.71875,0.7109375,0.7265625,0.75390625,0.7734375,0.7109375,0.69921875,0.7265625,0.7421875,0.77734375
random--la318,0.734375,0.75,0.7109375,0.73828125,0.734375,0.7109375,0.7734375,0.6875,0.70703125,0.75,0.73828125,0.75390625,0.80078125,0.73046875,1.0,0.76953125,0.76953125,0.734375,0.734375,0.8125,0.74609375,0.74609375,0.76171875,0.765625,0.77734375,0.67578125,0.7109375,0.76953125,0.75390625,0.7421875
random--la43,0.75390625,0.75390625,0.73828125,0.78125,0.76171875,0.75390625,0.85546875,0.74609375,0.78125,0.82421875,0.7734375,0.765625,0.8046875,0.7578125,0.76953125,1.0,0.8046875,0.74609375,0.76953125,0.80859375,0.796875,0.71875,0.7890625,0.82421875,0.8125,0.7265625,0.73046875,0.7734375,0.7421875,0.80078125
random--la47,0.74609375,0.74609375,0.69921875,0.703125,0.71484375,0.73046875,0.83984375,0.74609375,0.75,0.75390625,0.78125,0.7265625,0.7890625,0.7734375,0.76953125,0.8046875,1.0,0.73046875,0.81640625,0.80859375,0.8203125,0.71875,0.796875,0.76953125,0.8046875,0.6953125,0.76171875,0.703125,0.7734375,0.80859375
random--la411,0.7890625,0.7890625,0.7890625,0.73046875,0.7265625,0.7734375,0.7265625,0.6328125,0.78515625,0.7734375,0.76953125,0.73046875,0.80078125,0.68359375,0.734375,0.74609375,0.73046875,1.0,0.7265625,0.7734375,0.77734375,0.74609375,0.77734375,0.75,0.77734375,0.73046875,0.6953125,0.73046875,0.77734375,0.7578125
random--la412,0.7109375,0.703125,0.734375,0.75390625,0.75,0.703125,0.8359375,0.7734375,0.72265625,0.703125,0.74609375,0.73046875,0.77734375,0.76953125,0.734375,0.76953125,0.81640625,0.7265625,1.0,0.7890625,0.76953125,0.71484375,0.82421875,0.796875,0.83203125,0.71484375,0.7578125,0.73046875,0.78515625,0.796875
random--la427,0.7890625,0.78125,0.78125,0.79296875,0.796875,0.7578125,0.8359375,0.734375,0.77734375,0.78125,0.80078125,0.79296875,0.80078125,0.75390625,0.8125,0.80859375,0.80859375,0.7734375,0.7890625,1.0,0.78515625,0.74609375,0.79296875,0.8046875,0.80078125,0.71484375,0.75,0.76171875,0.77734375,0.7890625
