road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
one-plus-o23,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.75,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8181818181818182,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.75,0.6666666666666666,0.8181818181818182,0.75,0.8333333333333334,0.75
one-plus-o219,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.75,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8181818181818182,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.75,0.6666666666666666,0.8181818181818182,0.75,0.8333333333333334,0.75
one-plus-o220,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.75,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8181818181818182,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.75,0.6666666666666666,0.8181818181818182,0.75,0.8333333333333334,0.75
random--la13,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.75,0.5384615384615384,0.8181818181818182,0.75,0.6666666666666666,0.6666666666666666,0.75,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.75
random--la19,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,0.6666666666666666,0.6666666666666666,0.75,0.8181818181818182,0.8181818181818182,0.75,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.9090909090909091
random--la104,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.75,1.0,0.6153846153846154,0.6153846153846154,0.8333333333333334,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.75,0.6923076923076923,0.6153846153846154,0.75,0.6923076923076923,0.75,0.75,0.6923076923076923,0.6923076923076923,0.9090909090909091,0.6153846153846154,0.6923076923076923,0.7692307692307693,0.6923076923076923
random--la107,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.8181818181818182,0.6153846153846154,1.0,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.75,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.8181818181818182,0.9090909090909091,0.8333333333333334,0.9090909090909091
random--la1010,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.8181818181818182,1.0,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.75,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.8181818181818182,0.75,0.8333333333333334,0.75
random--la1021,0.75,0.75,0.75,0.75,0.9090909090909091,0.8333333333333334,0.75,0.75,1.0,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.9090909090909091,0.8333333333333334,0.6153846153846154,0.75,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la26,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,0.75,0.6923076923076923,0.9090909090909091,0.9090909090909091,0.8333333333333334,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,1.0,0.75,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.75,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la219,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.6923076923076923,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666
random--la33,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,0.75,0.6923076923076923,0.9090909090909091,0.9090909090909091,0.8333333333333334,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,1.0,0.75,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.75,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la43,0.75,0.75,0.75,0.75,0.75,0.6923076923076923,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0,0.9090909090909091,0.75,0.75,0.75,0.8333333333333334,0.6153846153846154,0.75,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.75,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la411,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.9090909090909091,1.0,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.75,0.8181818181818182,0.8181818181818182,0.75,0.75,0.6666666666666666,1.0,0.75,0.8333333333333334,0.75
random--la412,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.75,0.8181818181818182,1.0,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.75,0.9090909090909091,0.6666666666666666,0.8181818181818182,0.75,0.8333333333333334,0.75
random--la427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.75,0.8181818181818182,0.8181818181818182,1.0,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.8181818181818182,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.8181818181818182,0.75,0.8333333333333334,0.75
random--la430,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,0.6666666666666666,0.6666666666666666,0.75,0.8181818181818182,0.8181818181818182,0.75,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.9090909090909091
random--la431,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,0.75,0.6923076923076923,0.9090909090909091,0.9090909090909091,0.8333333333333334,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,1.0,0.75,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.75,0.9090909090909091,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la439,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5384615384615384,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.6666666666666666,0.6153846153846154,0.75,0.6923076923076923,0.75,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.75,0.6153846153846154,0.5384615384615384,0.6666666666666666,0.75,0.6923076923076923,0.75
random--la512,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.75,0.5384615384615384,1.0,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8181818181818182,0.6666666666666666,0.75,0.8333333333333334,0.75
random--la514,0.75,0.75,0.75,0.75,0.75,0.6923076923076923,0.75,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.75,0.8333333333333334,0.6153846153846154,0.75,1.0,0.75,0.75,0.8333333333333334,0.8333333333333334,0.75,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la523,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.75,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.75,0.8333333333333334,0.75,0.9090909090909091,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.75,0.5384615384615384,0.6666666666666666,0.75,1.0,1.0,0.75,0.75,0.8181818181818182,0.8181818181818182,0.75,0.8333333333333334,0.75
random--la532,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.75,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.75,0.8333333333333334,0.75,0.9090909090909091,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.75,0.5384615384615384,0.6666666666666666,0.75,1.0,1.0,0.75,0.75,0.8181818181818182,0.8181818181818182,0.75,0.8333333333333334,0.75
random--la631,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,0.75,0.6923076923076923,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.75,0.75,1.0,0.8333333333333334,0.75,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la638,0.75,0.75,0.75,0.9090909090909091,0.75,0.6923076923076923,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.9090909090909091,0.75,0.75,0.8333333333333334,0.6153846153846154,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,1.0,0.75,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la660,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.75,0.5384615384615384,0.8181818181818182,0.75,0.8181818181818182,0.8181818181818182,0.75,0.75,1.0,0.6666666666666666,0.75,0.8333333333333334,0.75
random--la76,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.75,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.9090909090909091,1.0,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.75,0.8181818181818182,0.8181818181818182,0.75,0.75,0.6666666666666666,1.0,0.75,0.8333333333333334,0.75
random--la712,0.75,0.75,0.75,0.75,0.9090909090909091,0.6923076923076923,0.9090909090909091,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.9090909090909091,0.8333333333333334,0.75,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.75,0.75,1.0,0.9166666666666666,1.0
random--la727,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.6923076923076923,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666
random--la87,0.75,0.75,0.75,0.75,0.9090909090909091,0.6923076923076923,0.9090909090909091,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.9090909090909091,0.8333333333333334,0.75,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.8333333333333334,0.75,0.75,1.0,0.9166666666666666,1.0
