road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
one-plus-o23,1.0,0.8481481481481481,0.8592592592592593,0.8261437908496732,0.8571428571428572,0.7960784313725491,0.7973856209150327,0.8435185185185184,0.7790123456790123,0.8081871345029239,0.7989898989898989,0.8365079365079364,0.8412698412698413,0.7944444444444445,0.8158730158730159,0.8104575163398693,0.7862433862433862,0.8096618357487922,0.8571428571428572,0.7869281045751634,0.8,0.8166666666666667,0.7738562091503267,0.8477777777777777,0.8380952380952381,0.7921568627450981,0.8281481481481482,0.8185185185185185,0.8213333333333332,0.7909090909090909
one-plus-o219,0.8481481481481481,1.0,0.9407407407407408,0.8183006535947712,0.8238095238095238,0.807843137254902,0.8209150326797385,0.8432098765432099,0.7679012345679013,0.8049382716049382,0.7839506172839507,0.8555555555555556,0.8209876543209876,0.8345679012345678,0.8396825396825397,0.8104575163398693,0.7790123456790123,0.8271604938271605,0.8428571428571429,0.8104575163398693,0.8518518518518519,0.8666666666666667,0.7895424836601307,0.8308641975308642,0.8095238095238095,0.7725490196078432,0.8503703703703703,0.811111111111111,0.8358024691358025,0.8024691358024691
one-plus-o220,0.8592592592592593,0.9407407407407408,1.0,0.8065359477124183,0.8238095238095238,0.803921568627451,0.8209150326797385,0.845679012345679,0.7901234567901234,0.7753086419753086,0.7814814814814814,0.8126984126984127,0.8148148148148149,0.8160493827160493,0.8301587301587301,0.8065359477124183,0.7938271604938272,0.808641975308642,0.8666666666666667,0.8065359477124183,0.8345679012345679,0.837037037037037,0.7699346405228757,0.8382716049382716,0.8047619047619048,0.7725490196078432,0.8059259259259259,0.825925925925926,0.8135802469135802,0.7950617283950617
random--la13,0.8261437908496732,0.8183006535947712,0.8065359477124183,1.0,0.8095238095238095,0.8366013071895424,0.8052287581699347,0.8522875816993464,0.7803921568627451,0.7738562091503267,0.7895424836601307,0.8015873015873016,0.788235294117647,0.8274509803921568,0.7968253968253969,0.8065359477124183,0.7843137254901962,0.8091503267973856,0.8365079365079365,0.8156862745098039,0.9163398692810457,0.8196078431372549,0.8143790849673203,0.8156862745098039,0.8126984126984127,0.7764705882352941,0.7733333333333334,0.807843137254902,0.8248366013071895,0.8431372549019608
random--la19,0.8571428571428572,0.8238095238095238,0.8238095238095238,0.8095238095238095,1.0,0.8571428571428572,0.8206349206349206,0.8301587301587301,0.7984126984126985,0.7777777777777777,0.7984126984126985,0.7904761904761904,0.8317460317460317,0.7857142857142857,0.792063492063492,0.8238095238095238,0.7841269841269841,0.8476190476190476,0.7857142857142857,0.8285714285714285,0.8111111111111111,0.7793650793650794,0.7746031746031746,0.8777777777777778,0.8111111111111111,0.8047619047619048,0.8015873015873016,0.8746031746031746,0.8158730158730159,0.7968253968253968
random--la104,0.7960784313725491,0.807843137254902,0.803921568627451,0.8366013071895424,0.8571428571428572,1.0,0.8091503267973856,0.7869281045751634,0.74640522875817,0.788235294117647,0.7869281045751635,0.7936507936507936,0.7882352941176471,0.7751633986928105,0.7936507936507936,0.776470588235294,0.7869281045751634,0.8235294117647058,0.8317460317460317,0.788235294117647,0.8130718954248366,0.8013071895424837,0.8130718954248366,0.7986928104575163,0.8317460317460317,0.7647058823529411,0.8162962962962963,0.8117647058823529,0.8013071895424837,0.8052287581699347
random--la107,0.7973856209150327,0.8209150326797385,0.8209150326797385,0.8052287581699347,0.8206349206349206,0.8091503267973856,1.0,0.8248366013071895,0.8065359477124183,0.865359477124183,0.8169934640522876,0.8714285714285714,0.8248366013071895,0.8326797385620914,0.8285714285714285,0.807843137254902,0.803921568627451,0.8,0.8111111111111111,0.7777777777777778,0.7803921568627451,0.7856209150326797,0.7843137254901961,0.7947712418300654,0.8126984126984127,0.8091503267973856,0.8340740740740741,0.7973856209150326,0.7934640522875818,0.7803921568627451
random--la1010,0.8435185185185184,0.8432098765432099,0.845679012345679,0.8522875816993464,0.8301587301587301,0.7869281045751634,0.8248366013071895,1.0,0.8185185185185185,0.8339181286549707,0.801010101010101,0.8142857142857143,0.8116402116402116,0.8333333333333333,0.8317460317460317,0.8052287581699347,0.8021164021164021,0.8231884057971014,0.8571428571428572,0.796078431372549,0.8126984126984127,0.7822222222222222,0.8169934640522876,0.8544444444444445,0.8555555555555556,0.8091503267973856,0.8162962962962963,0.8358024691358025,0.8157407407407408,0.8303030303030303
random--la1021,0.7790123456790123,0.7679012345679013,0.7901234567901234,0.7803921568627451,0.7984126984126985,0.74640522875817,0.8065359477124183,0.8185185185185185,1.0,0.7925925925925925,0.7888888888888889,0.8111111111111111,0.8049382716049382,0.8098765432098766,0.819047619047619,0.8196078431372549,0.8012345679012346,0.7864197530864198,0.788888888888889,0.8013071895424837,0.7530864197530864,0.7888888888888889,0.7555555555555555,0.8185185185185185,0.8,0.8601307189542484,0.8133333333333334,0.8333333333333334,0.8,0.7876543209876543
random--la26,0.8081871345029239,0.8049382716049382,0.7753086419753086,0.7738562091503267,0.7777777777777777,0.788235294117647,0.865359477124183,0.8339181286549707,0.7925925925925925,1.0,0.8339181286549707,0.853968253968254,0.7695906432748538,0.8058479532163743,0.7904761904761904,0.8522875816993464,0.7859649122807018,0.8058479532163743,0.8047619047619048,0.7777777777777778,0.7801169590643274,0.8467836257309941,0.7908496732026143,0.7929824561403509,0.792063492063492,0.8209150326797385,0.8118518518518518,0.825925925925926,0.776608187134503,0.7719298245614035
