road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
one-plus-o23,1.0,0.9375,0.875,0.625,0.5625,0.75,0.8125,0.6875,0.75,0.6875,0.875,0.4375,0.6875,0.9375,0.5,0.5,0.4375,0.75,0.5625,0.6875,0.75,0.8125,0.75,0.75,0.375,0.6875,0.625,0.625,0.6875,0.5
one-plus-o219,0.9375,1.0,0.9375,0.5625,0.5,0.6875,0.75,0.625,0.6875,0.625,0.8125,0.375,0.625,1.0,0.4375,0.4375,0.375,0.6875,0.5,0.625,0.8125,0.875,0.6875,0.6875,0.3125,0.625,0.5625,0.6875,0.625,0.4375
one-plus-o220,0.875,0.9375,1.0,0.625,0.4375,0.75,0.6875,0.5625,0.75,0.6875,0.75,0.4375,0.6875,0.9375,0.5,0.5,0.4375,0.75,0.5625,0.6875,0.75,0.8125,0.75,0.625,0.375,0.5625,0.625,0.625,0.6875,0.5
random--la13,0.625,0.5625,0.625,1.0,0.5625,0.875,0.6875,0.5625,0.875,0.9375,0.75,0.8125,0.9375,0.5625,0.75,0.75,0.6875,0.875,0.9375,0.9375,0.5,0.5625,0.875,0.75,0.75,0.8125,1.0,0.375,0.9375,0.75
random--la19,0.5625,0.5,0.4375,0.5625,1.0,0.5625,0.625,0.875,0.5625,0.5,0.6875,0.75,0.5,0.5,0.8125,0.8125,0.875,0.5625,0.625,0.5,0.5625,0.5,0.5625,0.8125,0.8125,0.75,0.5625,0.6875,0.5,0.8125
random--la104,0.75,0.6875,0.75,0.875,0.5625,1.0,0.6875,0.5625,1.0,0.9375,0.75,0.6875,0.9375,0.6875,0.75,0.75,0.6875,1.0,0.8125,0.9375,0.5,0.5625,1.0,0.75,0.625,0.8125,0.875,0.375,0.9375,0.75
random--la107,0.8125,0.75,0.6875,0.6875,0.625,0.6875,1.0,0.75,0.6875,0.625,0.8125,0.625,0.625,0.75,0.6875,0.6875,0.625,0.6875,0.75,0.625,0.8125,0.75,0.6875,0.8125,0.5625,0.875,0.6875,0.6875,0.625,0.6875
random--la1010,0.6875,0.625,0.5625,0.5625,0.875,0.5625,0.75,1.0,0.5625,0.5,0.8125,0.75,0.5,0.625,0.8125,0.8125,0.75,0.5625,0.625,0.5,0.6875,0.625,0.5625,0.8125,0.6875,0.75,0.5625,0.8125,0.5,0.8125
random--la1021,0.75,0.6875,0.75,0.875,0.5625,1.0,0.6875,0.5625,1.0,0.9375,0.75,0.6875,0.9375,0.6875,0.75,0.75,0.6875,1.0,0.8125,0.9375,0.5,0.5625,1.0,0.75,0.625,0.8125,0.875,0.375,0.9375,0.75
random--la26,0.6875,0.625,0.6875,0.9375,0.5,0.9375,0.625,0.5,0.9375,1.0,0.6875,0.75,1.0,0.625,0.6875,0.6875,0.625,0.9375,0.875,1.0,0.4375,0.5,0.9375,0.6875,0.6875,0.75,0.9375,0.3125,1.0,0.6875
random--la219,0.875,0.8125,0.75,0.75,0.6875,0.75,0.8125,0.8125,0.75,0.6875,1.0,0.5625,0.6875,0.8125,0.625,0.625,0.5625,0.75,0.6875,0.6875,0.75,0.8125,0.75,0.875,0.5,0.8125,0.75,0.625,0.6875,0.625
random--la33,0.4375,0.375,0.4375,0.8125,0.75,0.6875,0.625,0.75,0.6875,0.75,0.5625,1.0,0.75,0.375,0.9375,0.9375,0.875,0.6875,0.875,0.75,0.4375,0.375,0.6875,0.6875,0.9375,0.75,0.8125,0.5625,0.75,0.9375
random--la43,0.6875,0.625,0.6875,0.9375,0.5,0.9375,0.625,0.5,0.9375,1.0,0.6875,0.75,1.0,0.625,0.6875,0.6875,0.625,0.9375,0.875,1.0,0.4375,0.5,0.9375,0.6875,0.6875,0.75,0.9375,0.3125,1.0,0.6875
random--la411,0.9375,1.0,0.9375,0.5625,0.5,0.6875,0.75,0.625,0.6875,0.625,0.8125,0.375,0.625,1.0,0.4375,0.4375,0.375,0.6875,0.5,0.625,0.8125,0.875,0.6875,0.6875,0.3125,0.625,0.5625,0.6875,0.625,0.4375
random--la412,0.5,0.4375,0.5,0.75,0.8125,0.75,0.6875,0.8125,0.75,0.6875,0.625,0.9375,0.6875,0.4375,1.0,1.0,0.9375,0.75,0.8125,0.6875,0.5,0.4375,0.75,0.75,0.875,0.8125,0.75,0.625,0.6875,1.0
random--la427,0.5,0.4375,0.5,0.75,0.8125,0.75,0.6875,0.8125,0.75,0.6875,0.625,0.9375,0.6875,0.4375,1.0,1.0,0.9375,0.75,0.8125,0.6875,0.5,0.4375,0.75,0.75,0.875,0.8125,0.75,0.625,0.6875,1.0
random--la430,0.4375,0.375,0.4375,0.6875,0.875,0.6875,0.625,0.75,0.6875,0.625,0.5625,0.875,0.625,0.375,0.9375,0.9375,1.0,0.6875,0.75,0.625,0.4375,0.375,0.6875,0.6875,0.9375,0.75,0.6875,0.5625,0.625,0.9375
random--la431,0.75,0.6875,0.75,0.875,0.5625,1.0,0.6875,0.5625,1.0,0.9375,0.75,0.6875,0.9375,0.6875,0.75,0.75,0.6875,1.0,0.8125,0.9375,0.5,0.5625,1.0,0.75,0.625,0.8125,0.875,0.375,0.9375,0.75
random--la439,0.5625,0.5,0.5625,0.9375,0.625,0.8125,0.75,0.625,0.8125,0.875,0.6875,0.875,0.875,0.5,0.8125,0.8125,0.75,0.8125,1.0,0.875,0.5625,0.5,0.8125,0.8125,0.8125,0.875,0.9375,0.4375,0.875,0.8125
random--la512,0.6875,0.625,0.6875,0.9375,0.5,0.9375,0.625,0.5,0.9375,1.0,0.6875,0.75,1.0,0.625,0.6875,0.6875,0.625,0.9375,0.875,1.0,0.4375,0.5,0.9375,0.6875,0.6875,0.75,0.9375,0.3125,1.0,0.6875
random--la514,0.75,0.8125,0.75,0.5,0.5625,0.5,0.8125,0.6875,0.5,0.4375,0.75,0.4375,0.4375,0.8125,0.5,0.5,0.4375,0.5,0.5625,0.4375,1.0,0.9375,0.5,0.75,0.375,0.6875,0.5,0.875,0.4375,0.5
random--la523,0.8125,0.875,0.8125,0.5625,0.5,0.5625,0.75,0.625,0.5625,0.5,0.8125,0.375,0.5,0.875,0.4375,0.4375,0.375,0.5625,0.5,0.5,0.9375,1.0,0.5625,0.6875,0.3125,0.625,0.5625,0.8125,0.5,0.4375
