road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
one-plus-o23,1.0,0.9296875,0.91796875,0.90234375,0.87890625,0.921875,0.90625,0.8984375,0.92578125,0.92578125,0.84375,0.88671875,0.921875,0.93359375,0.875,0.88671875,0.8828125,0.9140625,0.90625,0.9140625,0.90234375,0.9296875,0.9296875,0.92578125,0.8671875,0.8828125,0.91796875,0.84765625,0.890625,0.89453125
one-plus-o219,0.9296875,1.0,0.96484375,0.88671875,0.87109375,0.90625,0.890625,0.890625,0.91796875,0.91015625,0.8359375,0.86328125,0.8984375,0.93359375,0.859375,0.87109375,0.875,0.9140625,0.8828125,0.8984375,0.88671875,0.8828125,0.9140625,0.91796875,0.84375,0.875,0.89453125,0.82421875,0.8828125,0.87890625
one-plus-o220,0.91796875,0.96484375,1.0,0.8984375,0.875,0.92578125,0.88671875,0.88671875,0.921875,0.9140625,0.85546875,0.875,0.91015625,0.9140625,0.86328125,0.8828125,0.88671875,0.91796875,0.89453125,0.90234375,0.8828125,0.87890625,0.92578125,0.90625,0.85546875,0.87890625,0.8984375,0.8359375,0.89453125,0.8828125
random--la13,0.90234375,0.88671875,0.8984375,1.0,0.9296875,0.94921875,0.90234375,0.91015625,0.9453125,0.96875,0.89453125,0.9609375,0.95703125,0.9296875,0.94921875,0.9609375,0.94140625,0.94140625,0.95703125,0.96484375,0.890625,0.91015625,0.94921875,0.9375,0.94140625,0.94140625,0.9609375,0.9140625,0.93359375,0.953125
random--la19,0.87890625,0.87109375,0.875,0.9296875,1.0,0.94140625,0.89453125,0.95703125,0.921875,0.9140625,0.89453125,0.9453125,0.92578125,0.90625,0.94140625,0.9609375,0.96484375,0.91015625,0.93359375,0.90234375,0.90625,0.88671875,0.92578125,0.953125,0.94921875,0.92578125,0.9296875,0.90625,0.91015625,0.9453125
random--la104,0.921875,0.90625,0.92578125,0.94921875,0.94140625,1.0,0.9140625,0.9296875,0.96484375,0.94921875,0.90625,0.94140625,0.9453125,0.93359375,0.9296875,0.94921875,0.953125,0.9375,0.9453125,0.9375,0.90234375,0.90625,0.9609375,0.94921875,0.9296875,0.921875,0.94921875,0.90234375,0.9296875,0.94140625
random--la107,0.90625,0.890625,0.88671875,0.90234375,0.89453125,0.9140625,1.0,0.921875,0.91015625,0.91796875,0.890625,0.89453125,0.90625,0.90234375,0.8984375,0.92578125,0.9140625,0.90625,0.921875,0.90625,0.92578125,0.890625,0.921875,0.91796875,0.890625,0.90625,0.91796875,0.87109375,0.8984375,0.91015625
random--la1010,0.8984375,0.890625,0.88671875,0.91015625,0.95703125,0.9296875,0.921875,1.0,0.91796875,0.90234375,0.890625,0.93359375,0.9140625,0.91015625,0.921875,0.94140625,0.9375,0.9140625,0.9375,0.8984375,0.93359375,0.8984375,0.9140625,0.94140625,0.921875,0.9140625,0.93359375,0.89453125,0.90625,0.94921875
random--la1021,0.92578125,0.91796875,0.921875,0.9453125,0.921875,0.96484375,0.91015625,0.91796875,1.0,0.953125,0.88671875,0.9296875,0.95703125,0.9453125,0.91015625,0.9375,0.93359375,0.94921875,0.94140625,0.95703125,0.890625,0.91796875,0.96484375,0.9453125,0.91015625,0.91796875,0.953125,0.8828125,0.93359375,0.9375
random--la26,0.92578125,0.91015625,0.9140625,0.96875,0.9140625,0.94921875,0.91796875,0.90234375,0.953125,1.0,0.89453125,0.9375,0.96484375,0.9296875,0.92578125,0.9453125,0.93359375,0.94921875,0.95703125,0.97265625,0.890625,0.91015625,0.96484375,0.9375,0.92578125,0.93359375,0.9609375,0.8984375,0.93359375,0.9296875
random--la219,0.84375,0.8359375,0.85546875,0.89453125,0.89453125,0.90625,0.890625,0.890625,0.88671875,0.89453125,1.0,0.88671875,0.875,0.87109375,0.8828125,0.91015625,0.8984375,0.875,0.8984375,0.875,0.87109375,0.8359375,0.8828125,0.89453125,0.875,0.90625,0.89453125,0.85546875,0.875,0.89453125
random--la33,0.88671875,0.86328125,0.875,0.9609375,0.9453125,0.94140625,0.89453125,0.93359375,0.9296875,0.9375,0.88671875,1.0,0.94140625,0.90625,0.96484375,0.96875,0.94921875,0.92578125,0.95703125,0.94140625,0.90625,0.90234375,0.92578125,0.9453125,0.96484375,0.93359375,0.953125,0.921875,0.94140625,0.984375
random--la43,0.921875,0.8984375,0.91015625,0.95703125,0.92578125,0.9453125,0.90625,0.9140625,0.95703125,0.96484375,0.875,0.94140625,1.0,0.92578125,0.9375,0.94921875,0.9453125,0.9765625,0.9609375,0.96875,0.89453125,0.90625,0.9765625,0.92578125,0.9453125,0.9375,0.98046875,0.91015625,0.9296875,0.94140625
random--la411,0.93359375,0.93359375,0.9140625,0.9296875,0.90625,0.93359375,0.90234375,0.91015625,0.9453125,0.9296875,0.87109375,0.90625,0.92578125,1.0,0.90234375,0.9140625,0.91796875,0.93359375,0.91796875,0.92578125,0.9296875,0.91796875,0.93359375,0.9375,0.88671875,0.91015625,0.9296875,0.859375,0.89453125,0.921875
random--la412,0.875,0.859375,0.86328125,0.94921875,0.94140625,0.9296875,0.8984375,0.921875,0.91015625,0.92578125,0.8828125,0.96484375,0.9375,0.90234375,1.0,0.96484375,0.9609375,0.9375,0.953125,0.9296875,0.90234375,0.8828125,0.9296875,0.92578125,0.9609375,0.953125,0.95703125,0.92578125,0.90625,0.95703125
random--la427,0.88671875,0.87109375,0.8828125,0.9609375,0.9609375,0.94921875,0.92578125,0.94140625,0.9375,0.9453125,0.91015625,0.96875,0.94921875,0.9140625,0.96484375,1.0,0.97265625,0.94140625,0.96484375,0.93359375,0.921875,0.90234375,0.94921875,0.953125,0.95703125,0.94921875,0.9609375,0.9296875,0.91796875,0.96875
