road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
one-plus-o23,1.0,0.77734375,0.7890625,0.7421875,0.7421875,0.82421875,0.7578125,0.79296875,0.76953125,0.8046875,0.72265625,0.71484375,0.81640625,0.7734375,0.7578125,0.8046875,0.7734375,0.76171875,0.7578125,0.82421875,0.8125,0.8046875,0.8046875,0.68359375,0.796875,0.76953125,0.82421875,0.7578125,0.7578125,0.78125
one-plus-o219,0.77734375,1.0,0.77734375,0.73046875,0.73828125,0.7734375,0.76953125,0.734375,0.7109375,0.73046875,0.7109375,0.6953125,0.7578125,0.73046875,0.72265625,0.77734375,0.76171875,0.7421875,0.73828125,0.765625,0.76953125,0.70703125,0.77734375,0.703125,0.73046875,0.7421875,0.734375,0.74609375,0.73828125,0.76171875
one-plus-o220,0.7890625,0.77734375,1.0,0.734375,0.765625,0.76171875,0.6953125,0.75390625,0.74609375,0.75,0.69921875,0.67578125,0.73828125,0.7890625,0.734375,0.78125,0.796875,0.81640625,0.765625,0.76171875,0.75,0.71875,0.7421875,0.68359375,0.734375,0.73828125,0.75390625,0.7109375,0.7109375,0.765625
random--la13,0.7421875,0.73046875,0.734375,1.0,0.75,0.76171875,0.6953125,0.74609375,0.75390625,0.7734375,0.73046875,0.76171875,0.76171875,0.6875,0.8046875,0.78125,0.7890625,0.76171875,0.734375,0.76953125,0.75,0.7109375,0.8046875,0.73828125,0.7890625,0.76953125,0.80078125,0.7265625,0.765625,0.7578125
random--la19,0.7421875,0.73828125,0.765625,0.75,1.0,0.71484375,0.7265625,0.74609375,0.75390625,0.734375,0.66796875,0.75390625,0.75390625,0.734375,0.7578125,0.75,0.765625,0.76171875,0.8125,0.76953125,0.7265625,0.703125,0.765625,0.72265625,0.7421875,0.75390625,0.77734375,0.703125,0.71875,0.7421875
random--la104,0.82421875,0.7734375,0.76171875,0.76171875,0.71484375,1.0,0.79296875,0.84375,0.7890625,0.81640625,0.8046875,0.765625,0.796875,0.78515625,0.76953125,0.81640625,0.81640625,0.7265625,0.74609375,0.796875,0.81640625,0.80859375,0.81640625,0.71875,0.78515625,0.8046875,0.796875,0.79296875,0.79296875,0.80859375
random--la107,0.7578125,0.76953125,0.6953125,0.6953125,0.7265625,0.79296875,1.0,0.77734375,0.73828125,0.75,0.76171875,0.68359375,0.82421875,0.7734375,0.703125,0.78125,0.734375,0.69921875,0.75,0.76953125,0.84375,0.796875,0.7890625,0.62890625,0.7265625,0.77734375,0.73828125,0.7421875,0.8046875,0.7421875
random--la1010,0.79296875,0.734375,0.75390625,0.74609375,0.74609375,0.84375,0.77734375,1.0,0.765625,0.80859375,0.7734375,0.7421875,0.7734375,0.76953125,0.74609375,0.80078125,0.80859375,0.7578125,0.71484375,0.7578125,0.81640625,0.79296875,0.81640625,0.7109375,0.76171875,0.78125,0.8125,0.75390625,0.76171875,0.77734375
random--la1021,0.76953125,0.7109375,0.74609375,0.75390625,0.75390625,0.7890625,0.73828125,0.765625,1.0,0.78515625,0.7734375,0.703125,0.765625,0.73046875,0.73046875,0.79296875,0.75390625,0.71875,0.73828125,0.75,0.76171875,0.80859375,0.79296875,0.65625,0.74609375,0.7890625,0.78125,0.71484375,0.80078125,0.76171875
random--la26,0.8046875,0.73046875,0.75,0.7734375,0.734375,0.81640625,0.75,0.80859375,0.78515625,1.0,0.74609375,0.76171875,0.77734375,0.734375,0.7421875,0.765625,0.7890625,0.73046875,0.7265625,0.76953125,0.796875,0.7890625,0.7890625,0.69140625,0.7578125,0.76953125,0.79296875,0.75,0.78125,0.7734375
random--la219,0.72265625,0.7109375,0.69921875,0.73046875,0.66796875,0.8046875,0.76171875,0.7734375,0.7734375,0.74609375,1.0,0.71875,0.7109375,0.73828125,0.74609375,0.80078125,0.80078125,0.671875,0.66796875,0.71875,0.76953125,0.76953125,0.80078125,0.6875,0.73828125,0.796875,0.7421875,0.76171875,0.74609375,0.70703125
random--la33,0.71484375,0.6953125,0.67578125,0.76171875,0.75390625,0.765625,0.68359375,0.7421875,0.703125,0.76171875,0.71875,1.0,0.7578125,0.68359375,0.76953125,0.75390625,0.73828125,0.7109375,0.76171875,0.765625,0.73046875,0.69921875,0.75390625,0.7421875,0.78515625,0.75,0.7734375,0.76171875,0.77734375,0.78515625
random--la43,0.81640625,0.7578125,0.73828125,0.76171875,0.75390625,0.796875,0.82421875,0.7734375,0.765625,0.77734375,0.7109375,0.7578125,1.0,0.74609375,0.76953125,0.80859375,0.79296875,0.75,0.80859375,0.8359375,0.83203125,0.77734375,0.84765625,0.6953125,0.80859375,0.78125,0.8125,0.80078125,0.80859375,0.79296875
random--la411,0.7734375,0.73046875,0.7890625,0.6875,0.734375,0.78515625,0.7734375,0.76953125,0.73046875,0.734375,0.73828125,0.68359375,0.74609375,1.0,0.7265625,0.7734375,0.7578125,0.72265625,0.75,0.77734375,0.7734375,0.7421875,0.7578125,0.66796875,0.7421875,0.76953125,0.77734375,0.7578125,0.7421875,0.75
random--la412,0.7578125,0.72265625,0.734375,0.8046875,0.7578125,0.76953125,0.703125,0.74609375,0.73046875,0.7421875,0.74609375,0.76953125,0.76953125,0.7265625,1.0,0.7890625,0.7890625,0.74609375,0.7890625,0.83984375,0.734375,0.7109375,0.796875,0.73046875,0.8359375,0.80859375,0.83203125,0.78125,0.75,0.8125
random--la427,0.8046875,0.77734375,0.78125,0.78125,0.75,0.81640625,0.78125,0.80078125,0.79296875,0.765625,0.80078125,0.75390625,0.80859375,0.7734375,0.7890625,1.0,0.8046875,0.74609375,0.796875,0.79296875,0.828125,0.796875,0.8125,0.72265625,0.8203125,0.83984375,0.80078125,0.8125,0.8046875,0.8046875
random--la430,0.7734375,0.76171875,0.796875,0.7890625,0.765625,0.81640625,0.734375,0.80859375,0.75390625,0.7890625,0.80078125,0.73828125,0.79296875,0.7578125,0.7890625,0.8046875,1.0,0.73828125,0.7421875,0.77734375,0.765625,0.75,0.8203125,0.68359375,0.8203125,0.76953125,0.78515625,0.78125,0.765625,0.828125
