road,one-plus-o243,random--la112,random--la114,random--la104,random--la1018,random--la1021,random--la23,random--la213,random--la218,random--la35,random--la318,random--la44,random--la46,random--la430,random--la438,random--la519,random--la532,random--la62,random--la621,random--la631,random--la638,random--la657,random--la660,random--la712,random--la724,random--la86,random--la87,random--la93,random--la94,random--la910
one-plus-o243,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.5625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.5,0.9375,1.0,0.9375,0.9375,0.9375,1.0
random--la112,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la114,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la104,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.5625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.5,0.9375,1.0,0.9375,0.9375,0.9375,1.0
random--la1018,0.9375,0.875,0.875,0.9375,1.0,0.875,0.875,0.875,0.875,0.875,0.625,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.4375,0.875,0.9375,0.875,0.875,0.875,0.9375
random--la1021,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la23,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la213,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la218,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la35,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la318,0.5625,0.5,0.5,0.5625,0.625,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.4375,0.5,0.5625,0.5,0.5,0.5,0.5625
random--la44,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la46,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la430,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la438,0.9375,0.875,0.875,0.9375,1.0,0.875,0.875,0.875,0.875,0.875,0.625,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.4375,0.875,0.9375,0.875,0.875,0.875,0.9375
random--la519,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la532,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la62,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la621,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la631,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la638,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
random--la657,0.9375,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.4375,1.0,0.9375,1.0,1.0,1.0,0.9375
