road,one-plus-o243,random--la112,random--la114,random--la104,random--la1018,random--la1021,random--la23,random--la213,random--la218,random--la35,random--la318,random--la44,random--la46,random--la430,random--la438,random--la519,random--la532,random--la62,random--la621,random--la631,random--la638,random--la657,random--la660,random--la712,random--la724,random--la86,random--la87,random--la93,random--la94,random--la910
one-plus-o243,1.0,0.736842105263158,0.7785714285714286,0.7888888888888889,0.7421052631578947,0.7736842105263158,0.7625,0.7842105263157895,0.7578947368421053,0.788235294117647,0.736842105263158,0.7473684210526316,0.7947368421052632,0.8,0.7894736842105263,0.7555555555555555,0.8052631578947369,0.7928571428571428,0.7473684210526316,0.8052631578947369,0.8,0.7307692307692308,0.7333333333333334,0.7473684210526316,0.7529411764705882,0.7444444444444445,0.7947368421052632,0.7473684210526316,0.7473684210526316,0.7866666666666666
random--la112,0.736842105263158,1.0,0.7214285714285714,0.7833333333333333,0.7473684210526316,0.7631578947368421,0.75,0.7684210526315789,0.7894736842105263,0.7705882352941177,0.7315789473684211,0.7526315789473684,0.7684210526315789,0.736842105263158,0.7473684210526316,0.7333333333333334,0.7578947368421053,0.8,0.7789473684210526,0.7842105263157895,0.8214285714285714,0.7769230769230769,0.7333333333333334,0.7947368421052632,0.7764705882352941,0.7777777777777778,0.7736842105263158,0.7894736842105263,0.7789473684210526,0.8333333333333334
random--la114,0.7785714285714286,0.7214285714285714,1.0,0.7857142857142857,0.7214285714285714,0.7357142857142858,0.7928571428571428,0.7857142857142857,0.7714285714285715,0.7642857142857142,0.7571428571428571,0.85,0.75,0.7,0.7571428571428571,0.7714285714285715,0.8214285714285714,0.8,0.7714285714285715,0.8,0.7928571428571428,0.7307692307692308,0.7285714285714286,0.7142857142857143,0.7,0.7714285714285715,0.7785714285714286,0.7642857142857142,0.7571428571428571,0.7928571428571428
random--la104,0.7888888888888889,0.7833333333333333,0.7857142857142857,1.0,0.7722222222222223,0.8055555555555556,0.775,0.7388888888888889,0.7944444444444445,0.7764705882352941,0.7888888888888889,0.7666666666666666,0.7611111111111111,0.7611111111111111,0.7333333333333334,0.8055555555555556,0.8055555555555556,0.7571428571428571,0.8111111111111111,0.7722222222222223,0.8071428571428572,0.7307692307692308,0.7555555555555555,0.7722222222222223,0.8294117647058823,0.7222222222222222,0.7833333333333333,0.8055555555555556,0.8055555555555556,0.8066666666666666
random--la1018,0.7421052631578947,0.7473684210526316,0.7214285714285714,0.7722222222222223,1.0,0.7666666666666666,0.76875,0.84,0.7625,0.7411764705882353,0.7333333333333334,0.7304347826086957,0.7285714285714286,0.7318181818181818,0.7421052631578947,0.7666666666666666,0.745,0.75,0.7875,0.75,0.7642857142857142,0.7384615384615385,0.7611111111111111,0.77,0.7764705882352941,0.7611111111111111,0.7291666666666667,0.725,0.765,0.7666666666666666
random--la1021,0.7736842105263158,0.7631578947368421,0.7357142857142858,0.8055555555555556,0.7666666666666666,1.0,0.84375,0.745,0.780952380952381,0.7588235294117647,0.7476190476190476,0.7523809523809524,0.7857142857142857,0.7523809523809524,0.7473684210526316,0.7888888888888889,0.725,0.7714285714285715,0.7761904761904762,0.7666666666666666,0.7928571428571428,0.823076923076923,0.7388888888888889,0.77,0.8117647058823529,0.7444444444444445,0.7952380952380953,0.8047619047619048,0.76,0.74
random--la23,0.7625,0.75,0.7928571428571428,0.775,0.76875,0.84375,1.0,0.76875,0.83125,0.75,0.7625,0.775,0.78125,0.8125,0.7375,0.7875,0.8375,0.7428571428571429,0.79375,0.84375,0.8,0.8153846153846154,0.7125,0.80625,0.7625,0.79375,0.7875,0.76875,0.775,0.7333333333333334
random--la213,0.7842105263157895,0.7684210526315789,0.7857142857142857,0.7388888888888889,0.84,0.745,0.76875,1.0,0.825,0.7235294117647059,0.775,0.755,0.795,0.735,0.7315789473684211,0.7111111111111111,0.75,0.7714285714285715,0.745,0.77,0.8,0.7923076923076923,0.7166666666666667,0.745,0.7588235294117647,0.7388888888888889,0.79,0.745,0.8,0.8
random--la218,0.7578947368421053,0.7894736842105263,0.7714285714285715,0.7944444444444445,0.7625,0.780952380952381,0.83125,0.825,1.0,0.788235294117647,0.7714285714285715,0.8043478260869565,0.7904761904761904,0.7772727272727273,0.7842105263157895,0.8055555555555556,0.775,0.7642857142857142,0.76,0.7954545454545454,0.8142857142857143,0.8153846153846154,0.7388888888888889,0.75,0.7764705882352941,0.7833333333333333,0.8,0.7666666666666666,0.795,0.7866666666666666
random--la35,0.788235294117647,0.7705882352941177,0.7642857142857142,0.7764705882352941,0.7411764705882353,0.7588235294117647,0.75,0.7235294117647059,0.788235294117647,1.0,0.7588235294117647,0.7529411764705882,0.8294117647058823,0.7411764705882353,0.8470588235294118,0.7294117647058824,0.7411764705882353,0.7285714285714286,0.7705882352941177,0.8294117647058823,0.8,0.7230769230769231,0.7823529411764706,0.7529411764705882,0.8294117647058823,0.7764705882352941,0.7647058823529411,0.7470588235294118,0.8411764705882353,0.76
