road,one-plus-o243,random--la112,random--la114,random--la104,random--la1018,random--la1021,random--la23,random--la213,random--la218,random--la35,random--la318,random--la44,random--la46,random--la430,random--la438,random--la519,random--la532,random--la62,random--la621,random--la631,random--la638,random--la657,random--la660,random--la712,random--la724,random--la86,random--la87,random--la93,random--la94,random--la910
one-plus-o243,1.0,0.90625,0.86328125,0.90625,0.8671875,0.91015625,0.859375,0.8984375,0.9140625,0.87890625,0.80859375,0.91796875,0.91796875,0.8828125,0.890625,0.90625,0.9140625,0.8671875,0.88671875,0.91796875,0.859375,0.87109375,0.8828125,0.82421875,0.89453125,0.921875,0.88671875,0.8828125,0.87890625,0.875
random--la112,0.90625,1.0,0.94140625,0.953125,0.90625,0.95703125,0.921875,0.9609375,0.953125,0.92578125,0.86328125,0.91015625,0.95703125,0.9375,0.9375,0.921875,0.953125,0.9296875,0.94140625,0.95703125,0.9140625,0.92578125,0.9296875,0.88671875,0.94140625,0.9296875,0.94140625,0.9453125,0.94921875,0.8984375
random--la114,0.86328125,0.94140625,1.0,0.94140625,0.90234375,0.921875,0.98046875,0.94921875,0.93359375,0.953125,0.8984375,0.90625,0.9375,0.97265625,0.91796875,0.95703125,0.94140625,0.98828125,0.9296875,0.9375,0.97265625,0.96875,0.94921875,0.9375,0.9375,0.91015625,0.9609375,0.97265625,0.9609375,0.92578125
random--la104,0.90625,0.953125,0.94140625,1.0,0.90625,0.96484375,0.9375,0.9453125,0.9375,0.93359375,0.86328125,0.91796875,0.96484375,0.953125,0.9140625,0.953125,0.9609375,0.9453125,0.93359375,0.94921875,0.9296875,0.94140625,0.921875,0.90234375,0.92578125,0.9375,0.94140625,0.953125,0.95703125,0.90625
random--la1018,0.8671875,0.90625,0.90234375,0.90625,1.0,0.91796875,0.8984375,0.90625,0.9296875,0.87109375,0.83203125,0.89453125,0.92578125,0.890625,0.890625,0.875,0.921875,0.90625,0.88671875,0.89453125,0.890625,0.88671875,0.8984375,0.87890625,0.90234375,0.890625,0.90234375,0.90625,0.91796875,0.8515625
random--la1021,0.91015625,0.95703125,0.921875,0.96484375,0.91796875,1.0,0.91796875,0.94140625,0.94921875,0.921875,0.859375,0.921875,0.96875,0.93359375,0.91015625,0.92578125,0.96484375,0.92578125,0.9375,0.9453125,0.91015625,0.921875,0.91796875,0.8828125,0.9453125,0.94921875,0.9375,0.94140625,0.9375,0.89453125
random--la23,0.859375,0.921875,0.98046875,0.9375,0.8984375,0.91796875,1.0,0.9375,0.9296875,0.94921875,0.89453125,0.90234375,0.93359375,0.9765625,0.8984375,0.953125,0.9375,0.9921875,0.92578125,0.92578125,0.9921875,0.97265625,0.9375,0.93359375,0.92578125,0.8984375,0.94921875,0.96875,0.95703125,0.921875
random--la213,0.8984375,0.9609375,0.94921875,0.9453125,0.90625,0.94140625,0.9375,1.0,0.953125,0.94140625,0.87109375,0.92578125,0.94921875,0.953125,0.9140625,0.9375,0.953125,0.9453125,0.94140625,0.96484375,0.9296875,0.94921875,0.953125,0.90234375,0.94140625,0.921875,0.96484375,0.96875,0.96484375,0.9140625
random--la218,0.9140625,0.953125,0.93359375,0.9375,0.9296875,0.94921875,0.9296875,0.953125,1.0,0.90234375,0.86328125,0.93359375,0.95703125,0.921875,0.921875,0.90625,0.96875,0.9375,0.94140625,0.93359375,0.921875,0.91796875,0.953125,0.89453125,0.94140625,0.9296875,0.94140625,0.9453125,0.95703125,0.890625
random--la35,0.87890625,0.92578125,0.953125,0.93359375,0.87109375,0.921875,0.94921875,0.94140625,0.90234375,1.0,0.8984375,0.890625,0.9296875,0.97265625,0.89453125,0.95703125,0.91796875,0.95703125,0.9296875,0.9375,0.95703125,0.9609375,0.92578125,0.8984375,0.9296875,0.91796875,0.9609375,0.94921875,0.9296875,0.91015625
random--la318,0.80859375,0.86328125,0.8984375,0.86328125,0.83203125,0.859375,0.89453125,0.87109375,0.86328125,0.8984375,1.0,0.8359375,0.859375,0.87890625,0.83984375,0.87109375,0.84765625,0.89453125,0.8515625,0.8671875,0.89453125,0.875,0.87109375,0.84375,0.875,0.83984375,0.90625,0.87890625,0.8828125,0.84765625
random--la44,0.91796875,0.91015625,0.90625,0.91796875,0.89453125,0.921875,0.90234375,0.92578125,0.93359375,0.890625,0.8359375,1.0,0.9375,0.90234375,0.91015625,0.91796875,0.91796875,0.91015625,0.8984375,0.9375,0.89453125,0.890625,0.90234375,0.8671875,0.921875,0.91796875,0.921875,0.91796875,0.921875,0.90234375
random--la46,0.91796875,0.95703125,0.9375,0.96484375,0.92578125,0.96875,0.93359375,0.94921875,0.95703125,0.9296875,0.859375,0.9375,1.0,0.94921875,0.93359375,0.93359375,0.97265625,0.94140625,0.9453125,0.9453125,0.92578125,0.9375,0.91796875,0.8984375,0.9375,0.94140625,0.9375,0.94921875,0.9453125,0.89453125
random--la430,0.8828125,0.9375,0.97265625,0.953125,0.890625,0.93359375,0.9765625,0.953125,0.921875,0.97265625,0.87890625,0.90234375,0.94921875,1.0,0.90625,0.9765625,0.9453125,0.984375,0.94921875,0.94140625,0.96875,0.98828125,0.9375,0.92578125,0.92578125,0.9140625,0.94921875,0.9765625,0.94921875,0.921875
random--la438,0.890625,0.9375,0.91796875,0.9140625,0.890625,0.91015625,0.8984375,0.9140625,0.921875,0.89453125,0.83984375,0.91015625,0.93359375,0.90625,1.0,0.8984375,0.9140625,0.90625,0.91015625,0.92578125,0.890625,0.89453125,0.90625,0.86328125,0.91015625,0.90625,0.91015625,0.90625,0.91796875,0.8671875
random--la519,0.90625,0.921875,0.95703125,0.953125,0.875,0.92578125,0.953125,0.9375,0.90625,0.95703125,0.87109375,0.91796875,0.93359375,0.9765625,0.8984375,1.0,0.9296875,0.9609375,0.93359375,0.95703125,0.9453125,0.96484375,0.921875,0.91015625,0.91796875,0.9296875,0.94140625,0.9609375,0.93359375,0.9296875
random--la532,0.9140625,0.953125,0.94140625,0.9609375,0.921875,0.96484375,0.9375,0.953125,0.96875,0.91796875,0.84765625,0.91796875,0.97265625,0.9453125,0.9140625,0.9296875,1.0,0.9453125,0.94140625,0.94140625,0.9296875,0.94140625,0.9375,0.90234375,0.94140625,0.953125,0.93359375,0.9609375,0.94140625,0.8984375
random--la62,0.8671875,0.9296875,0.98828125,0.9453125,0.90625,0.92578125,0.9921875,0.9453125,0.9375,0.95703125,0.89453125,0.91015625,0.94140625,0.984375,0.90625,0.9609375,0.9453125,1.0,0.93359375,0.93359375,0.984375,0.98046875,0.9453125,0.94140625,0.93359375,0.90625,0.95703125,0.9765625,0.96484375,0.921875
random--la621,0.88671875,0.94140625,0.9296875,0.93359375,0.88671875,0.9375,0.92578125,0.94140625,0.94140625,0.9296875,0.8515625,0.8984375,0.9453125,0.94921875,0.91015625,0.93359375,0.94140625,0.93359375,1.0,0.921875,0.91796875,0.9375,0.93359375,0.8828125,0.9296875,0.91015625,0.921875,0.94140625,0.9375,0.88671875
random--la631,0.91796875,0.95703125,0.9375,0.94921875,0.89453125,0.9453125,0.92578125,0.96484375,0.93359375,0.9375,0.8671875,0.9375,0.9453125,0.94140625,0.92578125,0.95703125,0.94140625,0.93359375,0.921875,1.0,0.91796875,0.9296875,0.92578125,0.890625,0.9453125,0.95703125,0.953125,0.94921875,0.9453125,0.91796875
random--la638,0.859375,0.9140625,0.97265625,0.9296875,0.890625,0.91015625,0.9921875,0.9296875,0.921875,0.95703125,0.89453125,0.89453125,0.92578125,0.96875,0.890625,0.9453125,0.9296875,0.984375,0.91796875,0.91796875,1.0,0.96484375,0.9296875,0.92578125,0.91796875,0.8984375,0.94921875,0.9609375,0.94921875,0.921875
random--la657,0.87109375,0.92578125,0.96875,0.94140625,0.88671875,0.921875,0.97265625,0.94921875,0.91796875,0.9609375,0.875,0.890625,0.9375,0.98828125,0.89453125,0.96484375,0.94140625,0.98046875,0.9375,0.9296875,0.96484375,1.0,0.93359375,0.921875,0.9140625,0.90234375,0.9453125,0.97265625,0.9453125,0.91796875
random--la660,0.8828125,0.9296875,0.94921875,0.921875,0.8984375,0.91796875,0.9375,0.953125,0.953125,0.92578125,0.87109375,0.90234375,0.91796875,0.9375,0.90625,0.921875,0.9375,0.9453125,0.93359375,0.92578125,0.9296875,0.93359375,1.0,0.90234375,0.94140625,0.90625,0.94140625,0.953125,0.94921875,0.90625
random--la712,0.82421875,0.88671875,0.9375,0.90234375,0.87890625,0.8828125,0.93359375,0.90234375,0.89453125,0.8984375,0.84375,0.8671875,0.8984375,0.92578125,0.86328125,0.91015625,0.90234375,0.94140625,0.8828125,0.890625,0.92578125,0.921875,0.90234375,1.0,0.890625,0.86328125,0.9140625,0.93359375,0.921875,0.87890625
random--la724,0.89453125,0.94140625,0.9375,0.92578125,0.90234375,0.9453125,0.92578125,0.94140625,0.94140625,0.9296875,0.875,0.921875,0.9375,0.92578125,0.91015625,0.91796875,0.94140625,0.93359375,0.9296875,0.9453125,0.91796875,0.9140625,0.94140625,0.890625,1.0,0.93359375,0.9375,0.93359375,0.9375,0.90234375
random--la86,0.921875,0.9296875,0.91015625,0.9375,0.890625,0.94921875,0.8984375,0.921875,0.9296875,0.91796875,0.83984375,0.91796875,0.94140625,0.9140625,0.90625,0.9296875,0.953125,0.90625,0.91015625,0.95703125,0.8984375,0.90234375,0.90625,0.86328125,0.93359375,1.0,0.92578125,0.921875,0.91015625,0.8984375
random--la87,0.88671875,0.94140625,0.9609375,0.94140625,0.90234375,0.9375,0.94921875,0.96484375,0.94140625,0.9609375,0.90625,0.921875,0.9375,0.94921875,0.91015625,0.94140625,0.93359375,0.95703125,0.921875,0.953125,0.94921875,0.9453125,0.94140625,0.9140625,0.9375,0.92578125,1.0,0.97265625,0.9609375,0.92578125
random--la93,0.8828125,0.9453125,0.97265625,0.953125,0.90625,0.94140625,0.96875,0.96875,0.9453125,0.94921875,0.87890625,0.91796875,0.94921875,0.9765625,0.90625,0.9609375,0.9609375,0.9765625,0.94140625,0.94921875,0.9609375,0.97265625,0.953125,0.93359375,0.93359375,0.921875,0.97265625,1.0,0.96484375,0.9375
random--la94,0.87890625,0.94921875,0.9609375,0.95703125,0.91796875,0.9375,0.95703125,0.96484375,0.95703125,0.9296875,0.8828125,0.921875,0.9453125,0.94921875,0.91796875,0.93359375,0.94140625,0.96484375,0.9375,0.9453125,0.94921875,0.9453125,0.94921875,0.921875,0.9375,0.91015625,0.9609375,0.96484375,1.0,0.91015625
random--la910,0.875,0.8984375,0.92578125,0.90625,0.8515625,0.89453125,0.921875,0.9140625,0.890625,0.91015625,0.84765625,0.90234375,0.89453125,0.921875,0.8671875,0.9296875,0.8984375,0.921875,0.88671875,0.91796875,0.921875,0.91796875,0.90625,0.87890625,0.90234375,0.8984375,0.92578125,0.9375,0.91015625,1.0
