road,one-plus-o230,one-plus-o345,random--la19,random--la123,random--la124,random--la218,random--la219,random--la223,random--la237,random--la314,random--la318,random--la42,random--la44,random--la413,random--la431,random--la52,random--la620,random--la623,random--la631,random--la635,random--la650,random--la651,random--la655,random--la657,random--la78,random--la712,random--la717,random--la722,random--la87,random--la910
one-plus-o230,1.0,0.8625,0.7533333333333333,0.8083333333333333,0.7421052631578947,0.7631578947368421,0.7421052631578947,0.8153846153846154,0.7777777777777778,0.7466666666666666,0.7894736842105263,0.7263157894736842,0.8105263157894737,0.7333333333333334,0.736842105263158,0.7388888888888889,0.7428571428571429,0.7066666666666667,0.7684210526315789,0.75,0.7941176470588236,0.75625,0.7578947368421053,0.7384615384615385,0.7631578947368421,0.7473684210526316,0.85,0.7947368421052632,0.7789473684210526,0.7666666666666666
one-plus-o345,0.8625,1.0,0.8125,0.7125,0.8875,0.8375,0.8625,0.8125,0.775,0.85,0.9,0.7875,0.7875,0.8,0.8125,0.85,0.875,0.75,0.875,0.875,0.825,0.7625,0.8,0.8375,0.7875,0.775,0.7625,0.875,0.825,0.7625
random--la19,0.7533333333333333,0.8125,1.0,0.7833333333333333,0.7933333333333333,0.7733333333333333,0.76,0.7923076923076923,0.7733333333333333,0.8,0.7466666666666666,0.8466666666666667,0.8133333333333334,0.6933333333333334,0.7266666666666667,0.7733333333333333,0.8642857142857143,0.7,0.78,0.76,0.76,0.8133333333333334,0.8533333333333333,0.7384615384615385,0.8200000000000001,0.8200000000000001,0.8,0.74,0.8,0.72
random--la123,0.8083333333333333,0.7125,0.7833333333333333,1.0,0.7666666666666666,0.7333333333333334,0.7916666666666666,0.825,0.7416666666666667,0.7083333333333333,0.75,0.8,0.825,0.75,0.775,0.7166666666666667,0.6916666666666667,0.7916666666666666,0.75,0.8,0.675,0.7833333333333333,0.8416666666666667,0.725,0.7666666666666666,0.8166666666666667,0.8,0.6916666666666667,0.775,0.825
random--la124,0.7421052631578947,0.8875,0.7933333333333333,0.7666666666666666,1.0,0.7652173913043478,0.7608695652173914,0.8076923076923077,0.7833333333333333,0.7666666666666666,0.7619047619047619,0.740909090909091,0.7347826086956522,0.7866666666666666,0.7217391304347827,0.7888888888888889,0.75,0.7266666666666667,0.7727272727272727,0.75625,0.7647058823529411,0.74375,0.7391304347826086,0.7153846153846154,0.7894736842105263,0.735,0.8,0.7380952380952381,0.7521739130434782,0.7866666666666666
random--la218,0.7631578947368421,0.8375,0.7733333333333333,0.7333333333333334,0.7652173913043478,1.0,0.7458333333333333,0.7769230769230769,0.7555555555555555,0.8133333333333334,0.7714285714285715,0.7772727272727273,0.8043478260869565,0.7466666666666666,0.7347826086956522,0.8444444444444444,0.7857142857142857,0.7533333333333333,0.7954545454545454,0.75,0.8058823529411765,0.75,0.75,0.8153846153846154,0.8105263157894737,0.75,0.8,0.7666666666666666,0.8,0.7866666666666666
random--la219,0.7421052631578947,0.8625,0.76,0.7916666666666666,0.7608695652173914,0.7458333333333333,1.0,0.7692307692307692,0.7555555555555555,0.8,0.7428571428571429,0.7681818181818182,0.7521739130434782,0.7866666666666666,0.7782608695652173,0.75,0.7785714285714286,0.76,0.7681818181818182,0.80625,0.7588235294117647,0.7875,0.7625,0.7846153846153846,0.8,0.725,0.79,0.7523809523809524,0.7541666666666667,0.7466666666666666
random--la223,0.8153846153846154,0.8125,0.7923076923076923,0.825,0.8076923076923077,0.7769230769230769,0.7692307692307692,1.0,0.7923076923076923,0.7461538461538462,0.7923076923076923,0.7923076923076923,0.8,0.7384615384615385,0.8384615384615385,0.7538461538461538,0.7692307692307692,0.7692307692307692,0.7846153846153846,0.7923076923076923,0.7769230769230769,0.8307692307692307,0.8,0.7384615384615385,0.7846153846153846,0.8153846153846154,0.86,0.7692307692307692,0.7846153846153846,0.8
random--la237,0.7777777777777778,0.775,0.7733333333333333,0.7416666666666667,0.7833333333333333,0.7555555555555555,0.7555555555555555,0.7923076923076923,1.0,0.8,0.7444444444444445,0.75,0.7388888888888889,0.7333333333333334,0.7722222222222223,0.7111111111111111,0.7642857142857142,0.74,0.7444444444444445,0.7625,0.7588235294117647,0.7875,0.7444444444444445,0.7076923076923076,0.7388888888888889,0.8166666666666667,0.73,0.7833333333333333,0.7333333333333334,0.7866666666666666
random--la314,0.7466666666666666,0.85,0.8,0.7083333333333333,0.7666666666666666,0.8133333333333334,0.8,0.7461538461538462,0.8,1.0,0.7666666666666666,0.7866666666666666,0.7733333333333333,0.72,0.7333333333333334,0.7733333333333333,0.8071428571428572,0.7133333333333334,0.8066666666666666,0.7533333333333333,0.7466666666666666,0.7533333333333333,0.8066666666666666,0.7384615384615385,0.8066666666666666,0.8066666666666666,0.8,0.8200000000000001,0.74,0.7333333333333334
random--la318,0.7894736842105263,0.9,0.7466666666666666,0.75,0.7619047619047619,0.7714285714285715,0.7428571428571429,0.7923076923076923,0.7444444444444445,0.7666666666666666,1.0,0.7619047619047619,0.7428571428571429,0.8133333333333334,0.7285714285714286,0.7611111111111111,0.8357142857142857,0.7733333333333333,0.7952380952380953,0.75625,0.788235294117647,0.8125,0.7238095238095238,0.7923076923076923,0.7473684210526316,0.735,0.8,0.7523809523809524,0.7761904761904762,0.74
random--la42,0.7263157894736842,0.7875,0.8466666666666667,0.8,0.740909090909091,0.7772727272727273,0.7681818181818182,0.7923076923076923,0.75,0.7866666666666666,0.7619047619047619,1.0,0.8045454545454546,0.8,0.759090909090909,0.7166666666666667,0.75,0.7666666666666666,0.7545454545454545,0.83125,0.7647058823529411,0.7875,0.7636363636363637,0.8,0.7631578947368421,0.735,0.8200000000000001,0.7095238095238094,0.7454545454545455,0.74
random--la44,0.8105263157894737,0.7875,0.8133333333333334,0.825,0.7347826086956522,0.8043478260869565,0.7521739130434782,0.8,0.7388888888888889,0.7733333333333333,0.7428571428571429,0.8045454545454546,1.0,0.76,0.7434782608695651,0.8,0.7642857142857142,0.72,0.7727272727272727,0.75625,0.788235294117647,0.74375,0.7478260869565218,0.7769230769230769,0.7842105263157895,0.77,0.75,0.7428571428571429,0.7782608695652173,0.7866666666666666
