road,one-plus-o230,one-plus-o345,random--la19,random--la123,random--la124,random--la218,random--la219,random--la223,random--la237,random--la314,random--la318,random--la42,random--la44,random--la413,random--la431,random--la52,random--la620,random--la623,random--la631,random--la635,random--la650,random--la651,random--la655,random--la657,random--la78,random--la712,random--la717,random--la722,random--la87,random--la910
one-plus-o230,1.0,0.5454545454545454,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.75,0.5,0.8181818181818182,0.5,0.75,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.5833333333333334,0.5833333333333334,0.5384615384615384,0.75,0.5833333333333334,0.6666666666666666,0.75,0.6666666666666666
one-plus-o345,0.5454545454545454,1.0,0.7,0.6666666666666666,0.5454545454545454,0.5833333333333334,0.5833333333333334,0.7777777777777778,0.6,0.7777777777777778,0.5454545454545454,0.7777777777777778,0.7,0.6,0.6363636363636364,0.6666666666666666,0.7,0.6666666666666666,0.6363636363636364,0.7777777777777778,0.5454545454545454,0.6666666666666666,0.7777777777777778,0.6,0.7,0.6363636363636364,0.6,0.7,0.6363636363636364,0.7
random--la19,0.6666666666666666,0.7,1.0,0.8,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.9,0.9,0.9,0.8181818181818182,0.9,1.0,0.9,0.75,0.8,0.8181818181818182,0.8,0.75,0.7272727272727273,0.8181818181818182,0.8,0.9,0.9,0.8181818181818182,0.9090909090909091,0.9,1.0,0.9090909090909091,0.8181818181818182
random--la123,0.6363636363636364,0.6666666666666666,0.8,1.0,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.7,0.8888888888888888,0.6363636363636364,0.8888888888888888,0.8,0.7,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7777777777777778,0.5833333333333334,0.7,0.6363636363636364,0.6,0.8888888888888888,0.7,0.8,0.7272727272727273,0.7,0.8,0.7272727272727273,0.8
random--la124,0.6666666666666666,0.5454545454545454,0.8181818181818182,0.6363636363636364,1.0,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.75,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.75,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,0.7272727272727273,0.8181818181818182,0.75,0.6666666666666666
random--la218,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.0,1.0,0.75,0.75,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.75,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6923076923076923,0.9166666666666666,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la219,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.0,1.0,0.75,0.75,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.75,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6923076923076923,0.9166666666666666,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334
random--la223,0.5833333333333334,0.7777777777777778,0.9,0.8888888888888888,0.7272727272727273,0.75,0.75,1.0,0.8,1.0,0.7272727272727273,1.0,0.9,0.8,0.8181818181818182,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8,0.7272727272727273,0.7,1.0,0.8,0.9,0.8181818181818182,0.8,0.9,0.8181818181818182,0.9
random--la237,0.5833333333333334,0.6,0.9,0.7,0.7272727272727273,0.75,0.75,0.8,1.0,0.8,0.7272727272727273,0.8,0.9,0.8,0.6666666666666666,0.7,0.7272727272727273,0.7,0.6666666666666666,0.6363636363636364,0.7272727272727273,0.7,0.8,1.0,0.7272727272727273,0.8181818181818182,0.8,0.9,0.8181818181818182,0.7272727272727273
random--la314,0.5833333333333334,0.7777777777777778,0.9,0.8888888888888888,0.7272727272727273,0.75,0.75,1.0,0.8,1.0,0.7272727272727273,1.0,0.9,0.8,0.8181818181818182,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8,0.7272727272727273,0.7,1.0,0.8,0.9,0.8181818181818182,0.8,0.9,0.8181818181818182,0.9
random--la318,0.6666666666666666,0.5454545454545454,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.0,0.7272727272727273,0.8181818181818182,0.9,0.75,0.8,0.6666666666666666,0.8,0.75,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,0.7272727272727273,0.8181818181818182,0.75,0.6666666666666666
random--la42,0.5833333333333334,0.7777777777777778,0.9,0.8888888888888888,0.7272727272727273,0.75,0.75,1.0,0.8,1.0,0.7272727272727273,1.0,0.9,0.8,0.8181818181818182,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8,0.7272727272727273,0.7,1.0,0.8,0.9,0.8181818181818182,0.8,0.9,0.8181818181818182,0.9
random--la44,0.6666666666666666,0.7,1.0,0.8,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.9,0.9,0.9,0.8181818181818182,0.9,1.0,0.9,0.75,0.8,0.8181818181818182,0.8,0.75,0.7272727272727273,0.8181818181818182,0.8,0.9,0.9,0.8181818181818182,0.9090909090909091,0.9,1.0,0.9090909090909091,0.8181818181818182
random--la413,0.5833333333333334,0.6,0.9,0.7,0.7272727272727273,0.75,0.75,0.8,0.8,0.8,0.9,0.8,0.9,1.0,0.6666666666666666,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.6363636363636364,0.7272727272727273,0.7,0.8,0.8,0.7272727272727273,0.8181818181818182,0.8,0.9,0.8181818181818182,0.7272727272727273
random--la431,0.75,0.6363636363636364,0.75,0.7272727272727273,0.75,0.9166666666666666,0.9166666666666666,0.8181818181818182,0.6666666666666666,0.8181818181818182,0.75,0.8181818181818182,0.75,0.6666666666666666,1.0,0.7272727272727273,0.75,0.7272727272727273,0.8333333333333334,0.8181818181818182,0.75,0.5833333333333334,0.8181818181818182,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.75,0.8333333333333334,0.9090909090909091
random--la52,0.5,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.7,0.8888888888888888,0.8,0.8888888888888888,0.8,0.8888888888888888,0.7272727272727273,1.0,0.6363636363636364,1.0,0.5833333333333334,0.7,0.6363636363636364,0.6,0.8888888888888888,0.7,0.8,0.7272727272727273,0.7,0.8,0.7272727272727273,0.8
random--la620,0.8181818181818182,0.7,0.8181818181818182,0.6363636363636364,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.75,0.6363636363636364,1.0,0.6363636363636364,0.75,0.7272727272727273,0.6666666666666666,0.8,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.8181818181818182
random--la623,0.5,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.7,0.8888888888888888,0.8,0.8888888888888888,0.8,0.8888888888888888,0.7272727272727273,1.0,0.6363636363636364,1.0,0.5833333333333334,0.7,0.6363636363636364,0.6,0.8888888888888888,0.7,0.8,0.7272727272727273,0.7,0.8,0.7272727272727273,0.8
random--la631,0.75,0.6363636363636364,0.75,0.5833333333333334,0.75,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.75,0.5833333333333334,1.0,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.8333333333333334,0.6666666666666666,0.75,0.8333333333333334,0.75
random--la635,0.7272727272727273,0.7777777777777778,0.7272727272727273,0.7,0.7272727272727273,0.75,0.75,0.8,0.6363636363636364,0.8,0.7272727272727273,0.8,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.7,0.7272727272727273,0.7,0.6666666666666666,1.0,0.7272727272727273,0.7,0.8,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.7272727272727273
random--la650,0.6666666666666666,0.5454545454545454,0.8181818181818182,0.6363636363636364,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.75,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.75,0.7272727272727273,1.0,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.75,0.9,0.8181818181818182,0.75,0.6666666666666666
random--la651,0.6363636363636364,0.6666666666666666,0.8,0.6,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.7,0.7,0.7,0.6363636363636364,0.7,0.8,0.7,0.5833333333333334,0.6,0.8,0.6,0.5833333333333334,0.7,0.6363636363636364,1.0,0.7,0.7,0.6363636363636364,0.7272727272727273,0.7,0.8,0.7272727272727273,0.6363636363636364
random--la655,0.5833333333333334,0.7777777777777778,0.9,0.8888888888888888,0.7272727272727273,0.75,0.75,1.0,0.8,1.0,0.7272727272727273,1.0,0.9,0.8,0.8181818181818182,0.8888888888888888,0.7272727272727273,0.8888888888888888,0.6666666666666666,0.8,0.7272727272727273,0.7,1.0,0.8,0.9,0.8181818181818182,0.8,0.9,0.8181818181818182,0.9
random--la657,0.5833333333333334,0.6,0.9,0.7,0.7272727272727273,0.75,0.75,0.8,1.0,0.8,0.7272727272727273,0.8,0.9,0.8,0.6666666666666666,0.7,0.7272727272727273,0.7,0.6666666666666666,0.6363636363636364,0.7272727272727273,0.7,0.8,1.0,0.7272727272727273,0.8181818181818182,0.8,0.9,0.8181818181818182,0.7272727272727273
