road,one-plus-o230,one-plus-o345,random--la19,random--la123,random--la124,random--la218,random--la219,random--la223,random--la237,random--la314,random--la318,random--la42,random--la44,random--la413,random--la431,random--la52,random--la620,random--la623,random--la631,random--la635,random--la650,random--la651,random--la655,random--la657,random--la78,random--la712,random--la717,random--la722,random--la87,random--la910
one-plus-o230,1.0,0.9083333333333333,0.7904761904761904,0.8383838383838385,0.7973856209150327,0.8261437908496732,0.7790849673202614,0.8981481481481481,0.8143790849673203,0.8206349206349206,0.7869281045751635,0.8235294117647058,0.807843137254902,0.8103703703703704,0.8117647058823529,0.7712418300653595,0.7825396825396825,0.8158730158730159,0.7947712418300654,0.7986111111111112,0.7947712418300653,0.8266666666666667,0.7895424836601308,0.7814814814814814,0.8111111111111111,0.7973856209150327,0.8244444444444445,0.7843137254901961,0.7947712418300654,0.7904761904761904
one-plus-o345,0.9083333333333333,1.0,0.8638888888888889,0.8583333333333334,0.9166666666666666,0.8583333333333334,0.8527777777777779,0.8361111111111111,0.85,0.8166666666666667,0.9055555555555556,0.875,0.8694444444444445,0.8666666666666667,0.875,0.9,0.9027777777777778,0.8416666666666667,0.9166666666666666,0.9027777777777778,0.875,0.9194444444444445,0.8583333333333334,0.8916666666666667,0.875,0.8166666666666667,0.8138888888888889,0.9166666666666666,0.9166666666666666,0.8416666666666667
random--la19,0.7904761904761904,0.8638888888888889,1.0,0.8525252525252526,0.8936507936507937,0.7841269841269841,0.7984126984126985,0.8314814814814815,0.8031746031746032,0.8015873015873016,0.8238095238095238,0.8873015873015873,0.8365079365079365,0.7857142857142857,0.8476190476190476,0.8412698412698413,0.861904761904762,0.7777777777777778,0.8777777777777778,0.7873015873015874,0.807936507936508,0.8492063492063493,0.8111111111111111,0.7907407407407407,0.7936507936507937,0.8746031746031746,0.7755555555555556,0.8285714285714285,0.7968253968253968,0.7873015873015873
random--la123,0.8383838383838385,0.8583333333333334,0.8525252525252526,1.0,0.8787878787878788,0.8343434343434344,0.8262626262626263,0.8626262626262626,0.8222222222222222,0.8141414141414142,0.8343434343434344,0.8747474747474747,0.8464646464646465,0.8323232323232324,0.8747474747474747,0.7858585858585859,0.8040404040404041,0.8040404040404041,0.8444444444444444,0.9191919191919192,0.8242424242424242,0.8343434343434344,0.8565656565656565,0.7898989898989899,0.8222222222222222,0.8141414141414142,0.8466666666666667,0.8020202020202021,0.8626262626262626,0.8101010101010101
random--la124,0.7973856209150327,0.9166666666666666,0.8936507936507937,0.8787878787878788,1.0,0.7871345029239766,0.7828282828282828,0.8518518518518519,0.8308641975308642,0.8031746031746032,0.8362573099415205,0.8412698412698413,0.8433333333333333,0.8207407407407408,0.7951690821256039,0.828395061728395,0.819047619047619,0.7952380952380953,0.8577777777777778,0.8236111111111111,0.803921568627451,0.7881481481481482,0.8148148148148148,0.8018518518518519,0.7952380952380953,0.7901234567901234,0.8222222222222222,0.7936507936507936,0.7919191919191919,0.8523809523809525
random--la218,0.8261437908496732,0.8583333333333334,0.7841269841269841,0.8343434343434344,0.7871345029239766,1.0,0.8128654970760234,0.825925925925926,0.8049382716049382,0.8492063492063492,0.8245614035087719,0.8432748538011696,0.8081871345029239,0.7866666666666666,0.8222222222222222,0.8061728395061728,0.8047619047619048,0.8396825396825397,0.8140350877192982,0.8097222222222222,0.8496732026143791,0.8207407407407408,0.8233918128654971,0.8166666666666667,0.8365079365079365,0.8074074074074074,0.8577777777777778,0.8011695906432748,0.8140350877192982,0.8063492063492064
random--la219,0.7790849673202614,0.8527777777777779,0.7984126984126985,0.8262626262626263,0.7828282828282828,0.8128654970760234,1.0,0.8018518518518518,0.8024691358024691,0.8380952380952381,0.7789473684210526,0.834920634920635,0.7766666666666666,0.8266666666666667,0.8303030303030303,0.8049382716049382,0.8015873015873016,0.8174603174603174,0.8222222222222222,0.825,0.7973856209150327,0.8074074074074075,0.8031746031746032,0.8148148148148148,0.8142857142857143,0.8246913580246913,0.8266666666666667,0.7841269841269841,0.803030303030303,0.8063492063492064
random--la223,0.8981481481481481,0.8361111111111111,0.8314814814814815,0.8626262626262626,0.8518518518518519,0.825925925925926,0.8018518518518518,1.0,0.8481481481481482,0.8277777777777778,0.8407407407407408,0.8425925925925926,0.8851851851851852,0.7888888888888889,0.8333333333333334,0.8333333333333334,0.825925925925926,0.8277777777777778,0.8074074074074075,0.8203703703703704,0.8425925925925926,0.8240740740740741,0.8240740740740741,0.7870370370370371,0.8018518518518519,0.8648148148148148,0.86,0.8314814814814815,0.8314814814814815,0.7962962962962963
random--la237,0.8143790849673203,0.85,0.8031746031746032,0.8222222222222222,0.8308641975308642,0.8049382716049382,0.8024691358024691,0.8481481481481482,1.0,0.846031746031746,0.7962962962962963,0.8098765432098766,0.8506172839506173,0.8148148148148149,0.8234567901234567,0.7765432098765432,0.8111111111111111,0.7746031746031745,0.7876543209876543,0.8236111111111111,0.8065359477124183,0.8133333333333334,0.7975308641975308,0.7518518518518519,0.7793650793650794,0.8444444444444444,0.7755555555555556,0.8308641975308642,0.7962962962962963,0.8285714285714285
random--la314,0.8206349206349206,0.8166666666666667,0.8015873015873016,0.8141414141414142,0.8031746031746032,0.8492063492063492,0.8380952380952381,0.8277777777777778,0.846031746031746,1.0,0.7904761904761906,0.8460317460317461,0.8301587301587301,0.8126984126984127,0.8126984126984127,0.8063492063492064,0.8444444444444444,0.846031746031746,0.8333333333333334,0.8031746031746032,0.8222222222222222,0.8015873015873016,0.8158730158730159,0.8037037037037037,0.7888888888888889,0.8523809523809525,0.8333333333333334,0.8301587301587301,0.7984126984126985,0.807936507936508
