road,one-plus-o230,one-plus-o345,random--la19,random--la123,random--la124,random--la218,random--la219,random--la223,random--la237,random--la314,random--la318,random--la42,random--la44,random--la413,random--la431,random--la52,random--la620,random--la623,random--la631,random--la635,random--la650,random--la651,random--la655,random--la657,random--la78,random--la712,random--la717,random--la722,random--la87,random--la910
one-plus-o230,1.0,0.375,0.5,0.3125,0.75,0.6875,0.6875,0.375,0.625,0.6875,0.5,0.6875,0.8125,0.8125,0.6875,0.875,0.5625,0.4375,0.6875,0.5625,0.5625,0.5,0.9375,0.375,0.4375,0.6875,0.3125,0.8125,0.4375,0.6875
one-plus-o345,0.375,1.0,0.875,0.9375,0.5,0.6875,0.5625,1.0,0.625,0.6875,0.5,0.6875,0.4375,0.4375,0.6875,0.375,0.6875,0.9375,0.6875,0.8125,0.6875,0.875,0.3125,1.0,0.9375,0.5625,0.9375,0.5625,0.9375,0.5625
random--la19,0.5,0.875,1.0,0.8125,0.625,0.5625,0.6875,0.875,0.75,0.5625,0.5,0.5625,0.5625,0.5625,0.5625,0.5,0.5625,0.8125,0.8125,0.6875,0.5625,0.875,0.4375,0.875,0.8125,0.6875,0.8125,0.6875,0.8125,0.6875
random--la123,0.3125,0.9375,0.8125,1.0,0.4375,0.625,0.5,0.9375,0.5625,0.625,0.5625,0.625,0.375,0.375,0.625,0.3125,0.75,0.875,0.625,0.75,0.75,0.8125,0.25,0.9375,0.875,0.5,1.0,0.5,0.875,0.5
random--la124,0.75,0.5,0.625,0.4375,1.0,0.8125,0.9375,0.5,0.625,0.8125,0.625,0.8125,0.8125,0.8125,0.8125,0.875,0.6875,0.5625,0.8125,0.6875,0.6875,0.625,0.8125,0.5,0.5625,0.5625,0.4375,0.9375,0.5625,0.5625
random--la218,0.6875,0.6875,0.5625,0.625,0.8125,1.0,0.75,0.6875,0.4375,1.0,0.6875,1.0,0.625,0.625,1.0,0.6875,0.875,0.75,0.75,0.875,0.875,0.6875,0.625,0.6875,0.75,0.375,0.625,0.875,0.75,0.375
random--la219,0.6875,0.5625,0.6875,0.5,0.9375,0.75,1.0,0.5625,0.6875,0.75,0.5625,0.75,0.875,0.875,0.75,0.8125,0.75,0.625,0.875,0.75,0.75,0.6875,0.75,0.5625,0.625,0.625,0.5,0.875,0.625,0.625
random--la223,0.375,1.0,0.875,0.9375,0.5,0.6875,0.5625,1.0,0.625,0.6875,0.5,0.6875,0.4375,0.4375,0.6875,0.375,0.6875,0.9375,0.6875,0.8125,0.6875,0.875,0.3125,1.0,0.9375,0.5625,0.9375,0.5625,0.9375,0.5625
random--la237,0.625,0.625,0.75,0.5625,0.625,0.4375,0.6875,0.625,1.0,0.4375,0.375,0.4375,0.6875,0.8125,0.4375,0.625,0.4375,0.6875,0.6875,0.5625,0.4375,0.75,0.6875,0.625,0.6875,0.9375,0.5625,0.5625,0.6875,0.9375
random--la314,0.6875,0.6875,0.5625,0.625,0.8125,1.0,0.75,0.6875,0.4375,1.0,0.6875,1.0,0.625,0.625,1.0,0.6875,0.875,0.75,0.75,0.875,0.875,0.6875,0.625,0.6875,0.75,0.375,0.625,0.875,0.75,0.375
random--la318,0.5,0.5,0.5,0.5625,0.625,0.6875,0.5625,0.5,0.375,0.6875,1.0,0.6875,0.4375,0.4375,0.6875,0.5,0.6875,0.5625,0.5625,0.5625,0.6875,0.625,0.4375,0.5,0.5625,0.3125,0.5625,0.6875,0.5625,0.3125
