road,one-plus-o230,one-plus-o345,random--la19,random--la123,random--la124,random--la218,random--la219,random--la223,random--la237,random--la314,random--la318,random--la42,random--la44,random--la413,random--la431,random--la52,random--la620,random--la623,random--la631,random--la635,random--la650,random--la651,random--la655,random--la657,random--la78,random--la712,random--la717,random--la722,random--la87,random--la910
one-plus-o230,1.0,0.7578125,0.76953125,0.76171875,0.78125,0.8046875,0.7109375,0.7578125,0.80078125,0.7421875,0.74609375,0.8046875,0.7890625,0.765625,0.78125,0.83203125,0.79296875,0.8125,0.765625,0.828125,0.72265625,0.76953125,0.81640625,0.77734375,0.80859375,0.76171875,0.7421875,0.75390625,0.80078125,0.82421875
one-plus-o345,0.7578125,1.0,0.76953125,0.83203125,0.75,0.7578125,0.7421875,0.796875,0.76953125,0.7421875,0.72265625,0.78125,0.75,0.7578125,0.7421875,0.75390625,0.76953125,0.7734375,0.734375,0.7890625,0.75390625,0.78515625,0.74609375,0.81640625,0.76953125,0.75390625,0.765625,0.68359375,0.76171875,0.79296875
random--la19,0.76953125,0.76953125,1.0,0.8125,0.73046875,0.74609375,0.66796875,0.76171875,0.7734375,0.71484375,0.6875,0.74609375,0.74609375,0.75390625,0.76171875,0.75,0.734375,0.80078125,0.72265625,0.79296875,0.765625,0.734375,0.75,0.765625,0.7578125,0.703125,0.72265625,0.65625,0.7421875,0.875
random--la123,0.76171875,0.83203125,0.8125,1.0,0.80078125,0.80859375,0.75390625,0.83203125,0.8203125,0.73046875,0.796875,0.81640625,0.81640625,0.77734375,0.71484375,0.7734375,0.8046875,0.84765625,0.72265625,0.80859375,0.7578125,0.765625,0.7734375,0.765625,0.796875,0.734375,0.76953125,0.65625,0.8046875,0.7890625
random--la124,0.78125,0.75,0.73046875,0.80078125,1.0,0.8125,0.75,0.7578125,0.80078125,0.7734375,0.77734375,0.8046875,0.7890625,0.78125,0.7265625,0.78515625,0.77734375,0.8125,0.7109375,0.796875,0.75390625,0.76171875,0.77734375,0.82421875,0.78515625,0.80078125,0.7421875,0.71484375,0.76171875,0.75390625
random--la218,0.8046875,0.7578125,0.74609375,0.80859375,0.8125,1.0,0.78125,0.8046875,0.83203125,0.78125,0.80078125,0.8359375,0.8359375,0.78125,0.7890625,0.83984375,0.82421875,0.8515625,0.6875,0.796875,0.76953125,0.78515625,0.82421875,0.76953125,0.80078125,0.78515625,0.734375,0.73046875,0.83203125,0.78515625
random--la219,0.7109375,0.7421875,0.66796875,0.75390625,0.75,0.78125,1.0,0.765625,0.76171875,0.7265625,0.76171875,0.7421875,0.7421875,0.7421875,0.671875,0.73828125,0.76953125,0.7734375,0.6875,0.7109375,0.66796875,0.75390625,0.69140625,0.77734375,0.73046875,0.76171875,0.6875,0.64453125,0.70703125,0.73828125
random--la223,0.7578125,0.796875,0.76171875,0.83203125,0.7578125,0.8046875,0.765625,1.0,0.83984375,0.75,0.75390625,0.78125,0.765625,0.78125,0.7421875,0.77734375,0.85546875,0.7890625,0.7109375,0.7734375,0.76171875,0.77734375,0.75390625,0.80078125,0.76953125,0.79296875,0.796875,0.62890625,0.76953125,0.80078125
random--la237,0.80078125,0.76953125,0.7734375,0.8203125,0.80078125,0.83203125,0.76171875,0.83984375,1.0,0.76953125,0.796875,0.80078125,0.83203125,0.80859375,0.75390625,0.8046875,0.7890625,0.82421875,0.70703125,0.77734375,0.7578125,0.7734375,0.8046875,0.78125,0.796875,0.78125,0.76171875,0.6875,0.8046875,0.8125
random--la314,0.7421875,0.7421875,0.71484375,0.73046875,0.7734375,0.78125,0.7265625,0.75,0.76953125,1.0,0.73046875,0.78125,0.71875,0.796875,0.734375,0.76953125,0.73828125,0.75,0.6875,0.78125,0.73828125,0.72265625,0.74609375,0.80078125,0.76171875,0.73828125,0.734375,0.72265625,0.74609375,0.75390625
random--la318,0.74609375,0.72265625,0.6875,0.796875,0.77734375,0.80078125,0.76171875,0.75390625,0.796875,0.73046875,1.0,0.76953125,0.76171875,0.74609375,0.70703125,0.75,0.7734375,0.79296875,0.65234375,0.75390625,0.71875,0.7265625,0.7578125,0.75,0.7421875,0.71875,0.70703125,0.7109375,0.8046875,0.7421875
random--la42,0.8046875,0.78125,0.74609375,0.81640625,0.8046875,0.8359375,0.7421875,0.78125,0.80078125,0.78125,0.76953125,1.0,0.7890625,0.765625,0.75,0.81640625,0.84765625,0.8359375,0.7109375,0.8359375,0.72265625,0.74609375,0.82421875,0.76171875,0.78515625,0.77734375,0.7109375,0.73828125,0.82421875,0.76171875
