road,one-plus-o217,one-plus-o219,one-plus-o222,one-plus-o223,one-plus-o226,random--la13,random--la112,random--la114,random--la104,random--la107,random--la1010,random--la33,random--la43,random--la412,random--la430,random--la431,random--la438,random--la512,random--la514,random--la519,random--la532,random--la62,random--la621,random--la630,random--la655,random--la74,random--la712,random--la727,random--la819,random--la928
one-plus-o217,1.0,0.8368421052631578,0.785,0.92,0.9260869565217391,0.7529411764705882,0.7684210526315789,0.7428571428571429,0.7833333333333333,0.7421052631578947,0.7304347826086957,0.75,0.7272727272727273,0.7714285714285715,0.8090909090909091,0.7391304347826086,0.7842105263157895,0.7352941176470589,0.719047619047619,0.7888888888888889,0.795,0.7571428571428571,0.782608695652174,0.7588235294117647,0.7478260869565218,0.8357142857142857,0.735,0.7608695652173914,0.7470588235294118,0.7681818181818182
one-plus-o219,0.8368421052631578,1.0,0.9631578947368421,0.7894736842105263,0.7736842105263158,0.7764705882352941,0.7631578947368421,0.7857142857142857,0.7666666666666666,0.7736842105263158,0.7421052631578947,0.7571428571428571,0.7315789473684211,0.7357142857142858,0.736842105263158,0.7473684210526316,0.7842105263157895,0.7411764705882353,0.7578947368421053,0.75,0.7684210526315789,0.7785714285714286,0.7526315789473684,0.7705882352941177,0.7736842105263158,0.7285714285714286,0.7631578947368421,0.7315789473684211,0.7470588235294118,0.7210526315789474
one-plus-o222,0.785,0.9631578947368421,1.0,0.81,0.8,0.7411764705882353,0.7736842105263158,0.8071428571428572,0.7444444444444445,0.7105263157894737,0.73,0.7642857142857142,0.735,0.7571428571428571,0.7150000000000001,0.7150000000000001,0.7473684210526316,0.7176470588235294,0.765,0.7277777777777779,0.725,0.7428571428571429,0.72,0.7529411764705882,0.775,0.7785714285714286,0.74,0.75,0.7176470588235294,0.71
one-plus-o223,0.92,0.7894736842105263,0.81,1.0,1.0,0.7411764705882353,0.7315789473684211,0.85,0.7777777777777778,0.7631578947368421,0.73,0.7714285714285715,0.71,0.7428571428571429,0.74,0.71,0.8368421052631578,0.7,0.765,0.7444444444444445,0.765,0.75,0.735,0.7705882352941177,0.765,0.8142857142857143,0.71,0.75,0.7529411764705882,0.7150000000000001
one-plus-o226,0.9260869565217391,0.7736842105263158,0.8,1.0,1.0,0.7647058823529411,0.7736842105263158,0.8071428571428572,0.75,0.7578947368421053,0.7222222222222222,0.8142857142857143,0.7090909090909091,0.75,0.759090909090909,0.7217391304347827,0.8315789473684211,0.7588235294117647,0.7714285714285715,0.7555555555555555,0.765,0.8071428571428572,0.772,0.7705882352941177,0.7541666666666667,0.8142857142857143,0.725,0.7653846153846153,0.7470588235294118,0.740909090909091
random--la13,0.7529411764705882,0.7764705882352941,0.7411764705882353,0.7411764705882353,0.7647058823529411,1.0,0.7764705882352941,0.7071428571428571,0.7941176470588236,0.7352941176470589,0.8470588235294118,0.7642857142857142,0.7352941176470589,0.7642857142857142,0.7529411764705882,0.7647058823529411,0.7470588235294118,0.7823529411764706,0.8941176470588236,0.8,0.8058823529411765,0.8,0.8411764705882353,0.7529411764705882,0.7764705882352941,0.7571428571428571,0.8,0.8352941176470589,0.7588235294117647,0.7705882352941177
random--la112,0.7684210526315789,0.7631578947368421,0.7736842105263158,0.7315789473684211,0.7736842105263158,0.7764705882352941,1.0,0.7214285714285714,0.7833333333333333,0.7263157894736842,0.7473684210526316,0.8214285714285714,0.7210526315789474,0.7785714285714286,0.736842105263158,0.7473684210526316,0.7473684210526316,0.7764705882352941,0.7210526315789474,0.7333333333333334,0.7578947368421053,0.8,0.7789473684210526,0.7764705882352941,0.7789473684210526,0.7857142857142857,0.7947368421052632,0.7631578947368421,0.7294117647058824,0.7789473684210526
random--la114,0.7428571428571429,0.7857142857142857,0.8071428571428572,0.85,0.8071428571428572,0.7071428571428571,0.7214285714285714,1.0,0.7857142857142857,0.7785714285714286,0.7785714285714286,0.7357142857142858,0.8,0.7357142857142858,0.7,0.7142857142857143,0.7571428571428571,0.7785714285714286,0.75,0.7714285714285715,0.8214285714285714,0.8,0.7714285714285715,0.75,0.7785714285714286,0.7571428571428571,0.7142857142857143,0.8142857142857143,0.7214285714285714,0.7571428571428571
random--la104,0.7833333333333333,0.7666666666666666,0.7444444444444445,0.7777777777777778,0.75,0.7941176470588236,0.7833333333333333,0.7857142857142857,1.0,0.7388888888888889,0.75,0.7642857142857142,0.7333333333333334,0.7142857142857143,0.7611111111111111,0.7888888888888889,0.7333333333333334,0.7411764705882353,0.7777777777777778,0.8055555555555556,0.8055555555555556,0.7571428571428571,0.8111111111111111,0.7588235294117647,0.7666666666666666,0.7642857142857142,0.7722222222222223,0.7777777777777778,0.7705882352941177,0.7888888888888889
random--la107,0.7421052631578947,0.7736842105263158,0.7105263157894737,0.7631578947368421,0.7578947368421053,0.7352941176470589,0.7263157894736842,0.7785714285714286,0.7388888888888889,1.0,0.8,0.8,0.7578947368421053,0.8,0.7842105263157895,0.7210526315789474,0.7157894736842105,0.7411764705882353,0.736842105263158,0.7333333333333334,0.7684210526315789,0.7714285714285715,0.7684210526315789,0.7,0.7421052631578947,0.7714285714285715,0.8,0.7842105263157895,0.7588235294117647,0.7210526315789474
