road,one-plus-o217,one-plus-o219,one-plus-o222,one-plus-o223,one-plus-o226,random--la13,random--la112,random--la114,random--la104,random--la107,random--la1010,random--la33,random--la43,random--la412,random--la430,random--la431,random--la438,random--la512,random--la514,random--la519,random--la532,random--la62,random--la621,random--la630,random--la655,random--la74,random--la712,random--la727,random--la819,random--la928
one-plus-o217,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.75,0.8333333333333334,0.6153846153846154,0.5833333333333334
one-plus-o219,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.75,0.8333333333333334,0.6153846153846154,0.5833333333333334
one-plus-o222,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.75,0.8333333333333334,0.6153846153846154,0.5833333333333334
one-plus-o223,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.75,0.8333333333333334,0.6153846153846154,0.5833333333333334
one-plus-o226,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6153846153846154,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.75,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.75,0.8333333333333334,0.6153846153846154,0.5833333333333334
random--la13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7272727272727273,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8181818181818182,0.6666666666666666,0.75,0.8333333333333334,0.8181818181818182,0.75,0.75,0.6666666666666666,0.5833333333333334,0.8181818181818182,0.5833333333333334,0.5833333333333334,0.5,0.75,0.8333333333333334,0.6153846153846154,0.5833333333333334
random--la112,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7272727272727273,1.0,0.6363636363636364,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6666666666666666,0.75,0.7272727272727273,0.8181818181818182,0.6666666666666666,0.7272727272727273,0.6363636363636364,0.9,0.8,0.6363636363636364,0.5454545454545454,0.6666666666666666,0.75,0.8181818181818182,0.8
random--la114,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5833333333333334,0.6363636363636364,1.0,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.8,0.7272727272727273,0.6363636363636364,0.8,0.5454545454545454,0.6666666666666666,0.75,0.6666666666666666,0.6363636363636364
random--la104,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.6666666666666666,1.0,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.75,0.6923076923076923,0.7692307692307693,0.75,0.6923076923076923,0.6923076923076923,0.75,0.6666666666666666,0.75,0.8181818181818182,0.6666666666666666,0.5833333333333334,0.6923076923076923,0.7692307692307693,0.8333333333333334,0.6666666666666666
random--la107,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6666666666666666,0.5833333333333334,0.7272727272727273,0.6153846153846154,1.0,0.8181818181818182,0.9090909090909091,0.75,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.9,0.6666666666666666,0.5833333333333334,0.9,0.8,0.9090909090909091,0.8333333333333334,0.6153846153846154,0.5833333333333334
