road,one-plus-o217,one-plus-o219,one-plus-o222,one-plus-o223,one-plus-o226,random--la13,random--la112,random--la114,random--la104,random--la107,random--la1010,random--la33,random--la43,random--la412,random--la430,random--la431,random--la438,random--la512,random--la514,random--la519,random--la532,random--la62,random--la621,random--la630,random--la655,random--la74,random--la712,random--la727,random--la819,random--la928
one-plus-o217,1.0,0.9140625,0.9140625,0.9296875,0.92578125,0.91015625,0.9140625,0.87109375,0.9140625,0.8828125,0.8984375,0.88671875,0.8984375,0.859375,0.875,0.890625,0.8984375,0.90625,0.87890625,0.890625,0.90625,0.875,0.88671875,0.88671875,0.8984375,0.87890625,0.83984375,0.90625,0.890625,0.890625
one-plus-o219,0.9140625,1.0,0.953125,0.890625,0.89453125,0.88671875,0.8984375,0.85546875,0.90625,0.890625,0.890625,0.86328125,0.8984375,0.859375,0.875,0.9140625,0.8828125,0.8984375,0.88671875,0.8984375,0.9140625,0.859375,0.89453125,0.88671875,0.9296875,0.87109375,0.82421875,0.8828125,0.875,0.890625
one-plus-o222,0.9140625,0.953125,1.0,0.9140625,0.88671875,0.91015625,0.921875,0.88671875,0.9296875,0.890625,0.8984375,0.89453125,0.921875,0.8828125,0.90625,0.921875,0.890625,0.921875,0.89453125,0.9140625,0.9375,0.890625,0.91796875,0.91796875,0.9296875,0.89453125,0.84765625,0.90625,0.8984375,0.9140625
one-plus-o223,0.9296875,0.890625,0.9140625,1.0,0.94140625,0.87109375,0.890625,0.85546875,0.890625,0.890625,0.90625,0.87109375,0.875,0.859375,0.875,0.8828125,0.8671875,0.8828125,0.88671875,0.890625,0.8828125,0.859375,0.87890625,0.86328125,0.890625,0.87109375,0.81640625,0.875,0.8828125,0.8828125
one-plus-o226,0.92578125,0.89453125,0.88671875,0.94140625,1.0,0.8984375,0.88671875,0.859375,0.90234375,0.88671875,0.89453125,0.8671875,0.88671875,0.86328125,0.87109375,0.88671875,0.87109375,0.91015625,0.875,0.87890625,0.88671875,0.86328125,0.890625,0.875,0.89453125,0.875,0.828125,0.87890625,0.87890625,0.87890625
random--la13,0.91015625,0.88671875,0.91015625,0.87109375,0.8984375,1.0,0.94921875,0.9609375,0.94921875,0.90234375,0.91015625,0.9609375,0.95703125,0.94921875,0.94140625,0.94140625,0.94921875,0.96484375,0.890625,0.92578125,0.94921875,0.95703125,0.9375,0.9375,0.91015625,0.9609375,0.9140625,0.93359375,0.95703125,0.93359375
random--la112,0.9140625,0.8984375,0.921875,0.890625,0.88671875,0.94921875,1.0,0.94140625,0.953125,0.9375,0.9140625,0.93359375,0.9375,0.921875,0.9375,0.9296875,0.9375,0.9375,0.90234375,0.921875,0.953125,0.9296875,0.94140625,0.94140625,0.921875,0.93359375,0.88671875,0.953125,0.9375,0.953125
random--la114,0.87109375,0.85546875,0.88671875,0.85546875,0.859375,0.9609375,0.94140625,1.0,0.94140625,0.91015625,0.92578125,0.96875,0.95703125,0.97265625,0.97265625,0.93359375,0.91796875,0.93359375,0.90625,0.95703125,0.94140625,0.98828125,0.9296875,0.9453125,0.89453125,0.984375,0.9375,0.92578125,0.96484375,0.93359375
random--la104,0.9140625,0.90625,0.9296875,0.890625,0.90234375,0.94921875,0.953125,0.94140625,1.0,0.9140625,0.9296875,0.94140625,0.9453125,0.9296875,0.953125,0.9375,0.9140625,0.9375,0.90234375,0.953125,0.9609375,0.9453125,0.93359375,0.94140625,0.921875,0.94921875,0.90234375,0.9296875,0.9375,0.9453125
random--la107,0.8828125,0.890625,0.890625,0.890625,0.88671875,0.90234375,0.9375,0.91015625,0.9140625,1.0,0.921875,0.89453125,0.90625,0.8984375,0.9140625,0.90625,0.890625,0.90625,0.92578125,0.9140625,0.921875,0.90625,0.91796875,0.90234375,0.8984375,0.91796875,0.87109375,0.8984375,0.90625,0.9296875
random--la1010,0.8984375,0.890625,0.8984375,0.90625,0.89453125,0.91015625,0.9140625,0.92578125,0.9296875,0.921875,1.0,0.93359375,0.9140625,0.921875,0.9375,0.9140625,0.90625,0.8984375,0.93359375,0.9453125,0.9140625,0.9296875,0.91015625,0.90234375,0.8984375,0.94140625,0.89453125,0.90625,0.9453125,0.9375
random--la33,0.88671875,0.86328125,0.89453125,0.87109375,0.8671875,0.9609375,0.93359375,0.96875,0.94140625,0.89453125,0.93359375,1.0,0.94140625,0.96484375,0.94921875,0.92578125,0.91015625,0.94140625,0.90625,0.94140625,0.92578125,0.96484375,0.9140625,0.9375,0.90234375,0.96875,0.921875,0.94140625,0.98828125,0.93359375
random--la43,0.8984375,0.8984375,0.921875,0.875,0.88671875,0.95703125,0.9375,0.95703125,0.9453125,0.90625,0.9140625,0.94140625,1.0,0.9375,0.9453125,0.9765625,0.90625,0.96875,0.89453125,0.9296875,0.9765625,0.9609375,0.93359375,0.94140625,0.9140625,0.95703125,0.91015625,0.9296875,0.9453125,0.9296875
random--la412,0.859375,0.859375,0.8828125,0.859375,0.86328125,0.94921875,0.921875,0.97265625,0.9296875,0.8984375,0.921875,0.96484375,0.9375,1.0,0.9609375,0.9375,0.8984375,0.9296875,0.90234375,0.9453125,0.9296875,0.96875,0.92578125,0.94921875,0.890625,0.98046875,0.92578125,0.90625,0.9609375,0.9296875
random--la430,0.875,0.875,0.90625,0.875,0.87109375,0.94140625,0.9375,0.97265625,0.953125,0.9140625,0.9375,0.94921875,0.9453125,0.9609375,1.0,0.9375,0.90625,0.921875,0.91796875,0.9765625,0.9453125,0.984375,0.94921875,0.94140625,0.90625,0.97265625,0.92578125,0.9140625,0.9453125,0.9453125
random--la431,0.890625,0.9140625,0.921875,0.8828125,0.88671875,0.94140625,0.9296875,0.93359375,0.9375,0.90625,0.9140625,0.92578125,0.9765625,0.9375,0.9375,1.0,0.90625,0.953125,0.89453125,0.921875,0.96875,0.9375,0.93359375,0.93359375,0.9140625,0.94921875,0.89453125,0.90625,0.9375,0.9296875
random--la438,0.8984375,0.8828125,0.890625,0.8671875,0.87109375,0.94921875,0.9375,0.91796875,0.9140625,0.890625,0.90625,0.91015625,0.90625,0.8984375,0.90625,0.90625,1.0,0.9140625,0.87109375,0.8984375,0.9140625,0.90625,0.91015625,0.89453125,0.8984375,0.91015625,0.86328125,0.8984375,0.90625,0.90625
random--la512,0.90625,0.8984375,0.921875,0.8828125,0.91015625,0.96484375,0.9375,0.93359375,0.9375,0.90625,0.8984375,0.94140625,0.96875,0.9296875,0.921875,0.953125,0.9140625,1.0,0.87890625,0.90625,0.9609375,0.9375,0.92578125,0.94140625,0.90625,0.94140625,0.89453125,0.9296875,0.9375,0.9296875
random--la514,0.87890625,0.88671875,0.89453125,0.88671875,0.875,0.890625,0.90234375,0.90625,0.90234375,0.92578125,0.93359375,0.90625,0.89453125,0.90234375,0.91796875,0.89453125,0.87109375,0.87890625,1.0,0.92578125,0.90234375,0.91015625,0.8984375,0.8984375,0.91796875,0.921875,0.8671875,0.88671875,0.91796875,0.91796875
random--la519,0.890625,0.8984375,0.9140625,0.890625,0.87890625,0.92578125,0.921875,0.95703125,0.953125,0.9140625,0.9453125,0.94140625,0.9296875,0.9453125,0.9765625,0.921875,0.8984375,0.90625,0.92578125,1.0,0.9296875,0.9609375,0.93359375,0.92578125,0.921875,0.95703125,0.91015625,0.90625,0.9375,0.9296875
random--la532,0.90625,0.9140625,0.9375,0.8828125,0.88671875,0.94921875,0.953125,0.94140625,0.9609375,0.921875,0.9140625,0.92578125,0.9765625,0.9296875,0.9453125,0.96875,0.9140625,0.9609375,0.90234375,0.9296875,1.0,0.9453125,0.94140625,0.94921875,0.9296875,0.94921875,0.90234375,0.921875,0.9296875,0.9453125
random--la62,0.875,0.859375,0.890625,0.859375,0.86328125,0.95703125,0.9296875,0.98828125,0.9453125,0.90625,0.9296875,0.96484375,0.9609375,0.96875,0.984375,0.9375,0.90625,0.9375,0.91015625,0.9609375,0.9453125,1.0,0.93359375,0.94921875,0.890625,0.98828125,0.94140625,0.921875,0.9609375,0.9375
random--la621,0.88671875,0.89453125,0.91796875,0.87890625,0.890625,0.9375,0.94140625,0.9296875,0.93359375,0.91796875,0.91015625,0.9140625,0.93359375,0.92578125,0.94921875,0.93359375,0.91015625,0.92578125,0.8984375,0.93359375,0.94140625,0.93359375,1.0,0.9375,0.91015625,0.9375,0.8828125,0.91796875,0.91796875,0.94921875
random--la630,0.88671875,0.88671875,0.91796875,0.86328125,0.875,0.9375,0.94140625,0.9453125,0.94140625,0.90234375,0.90234375,0.9375,0.94140625,0.94921875,0.94140625,0.93359375,0.89453125,0.94140625,0.8984375,0.92578125,0.94921875,0.94921875,0.9375,1.0,0.90234375,0.953125,0.90625,0.93359375,0.93359375,0.93359375
random--la655,0.8984375,0.9296875,0.9296875,0.890625,0.89453125,0.91015625,0.921875,0.89453125,0.921875,0.8984375,0.8984375,0.90234375,0.9140625,0.890625,0.90625,0.9140625,0.8984375,0.90625,0.91796875,0.921875,0.9296875,0.890625,0.91015625,0.90234375,1.0,0.89453125,0.84765625,0.8984375,0.90625,0.9140625
random--la74,0.87890625,0.87109375,0.89453125,0.87109375,0.875,0.9609375,0.93359375,0.984375,0.94921875,0.91796875,0.94140625,0.96875,0.95703125,0.98046875,0.97265625,0.94921875,0.91015625,0.94140625,0.921875,0.95703125,0.94921875,0.98828125,0.9375,0.953125,0.89453125,1.0,0.9453125,0.91796875,0.97265625,0.94921875
random--la712,0.83984375,0.82421875,0.84765625,0.81640625,0.828125,0.9140625,0.88671875,0.9375,0.90234375,0.87109375,0.89453125,0.921875,0.91015625,0.92578125,0.92578125,0.89453125,0.86328125,0.89453125,0.8671875,0.91015625,0.90234375,0.94140625,0.8828125,0.90625,0.84765625,0.9453125,1.0,0.87109375,0.91796875,0.89453125
random--la727,0.90625,0.8828125,0.90625,0.875,0.87890625,0.93359375,0.953125,0.92578125,0.9296875,0.8984375,0.90625,0.94140625,0.9296875,0.90625,0.9140625,0.90625,0.8984375,0.9296875,0.88671875,0.90625,0.921875,0.921875,0.91796875,0.93359375,0.8984375,0.91796875,0.87109375,1.0,0.9453125,0.9296875
random--la819,0.890625,0.875,0.8984375,0.8828125,0.87890625,0.95703125,0.9375,0.96484375,0.9375,0.90625,0.9453125,0.98828125,0.9453125,0.9609375,0.9453125,0.9375,0.90625,0.9375,0.91796875,0.9375,0.9296875,0.9609375,0.91796875,0.93359375,0.90625,0.97265625,0.91796875,0.9453125,1.0,0.9453125
random--la928,0.890625,0.890625,0.9140625,0.8828125,0.87890625,0.93359375,0.953125,0.93359375,0.9453125,0.9296875,0.9375,0.93359375,0.9296875,0.9296875,0.9453125,0.9296875,0.90625,0.9296875,0.91796875,0.9296875,0.9453125,0.9375,0.94921875,0.93359375,0.9140625,0.94921875,0.89453125,0.9296875,0.9453125,1.0
