names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o220,0.0,0.0,3.0,36.0,38.0,23.0,19.0,21.0,102.0,59.0,49.0,42.0,157.0,104.0,0.0,0.0
one-plus-o223,0.0,1.0,14.0,28.0,34.0,24.0,20.0,49.0,49.0,104.0,57.0,54.0,97.0,75.0,0.0,0.0
random--la112,1.0,0.0,2.0,6.0,27.0,38.0,25.0,16.0,48.0,102.0,86.0,31.0,88.0,0.0,0.0,0.0
random--la115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la102,0.0,0.0,6.0,15.0,21.0,25.0,57.0,41.0,21.0,92.0,63.0,113.0,176.0,115.0,0.0,0.0
random--la107,0.0,0.0,5.0,15.0,24.0,60.0,50.0,31.0,105.0,85.0,76.0,96.0,0.0,0.0,0.0,0.0
random--la1018,0.0,0.0,2.0,14.0,11.0,44.0,44.0,11.0,76.0,42.0,57.0,43.0,5.0,2.0,0.0,0.0
random--la1020,2.0,0.0,0.0,0.0,9.0,29.0,32.0,39.0,48.0,48.0,84.0,59.0,3.0,143.0,0.0,0.0
random--la1021,0.0,0.0,3.0,25.0,32.0,38.0,16.0,26.0,22.0,19.0,34.0,184.0,17.0,71.0,0.0,0.0
random--la219,0.0,0.0,0.0,3.0,15.0,46.0,54.0,48.0,28.0,13.0,35.0,11.0,32.0,0.0,0.0,0.0
random--la223,0.0,0.0,0.0,0.0,0.0,19.0,6.0,60.0,40.0,35.0,10.0,115.0,37.0,92.0,0.0,0.0
random--la229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,109.0,17.0,115.0,108.0,54.0,0.0,0.0
random--la33,10.0,2.0,2.0,3.0,1.0,32.0,71.0,26.0,14.0,67.0,7.0,68.0,88.0,96.0,0.0,0.0
random--la314,12.0,2.0,5.0,20.0,19.0,15.0,11.0,13.0,53.0,116.0,100.0,12.0,45.0,48.0,0.0,0.0
random--la318,11.0,5.0,3.0,4.0,3.0,3.0,37.0,106.0,59.0,43.0,29.0,24.0,39.0,9.0,0.0,0.0
random--la42,0.0,0.0,4.0,14.0,28.0,70.0,36.0,57.0,97.0,44.0,160.0,85.0,52.0,20.0,0.0,0.0
random--la43,0.0,0.0,2.0,20.0,5.0,5.0,32.0,39.0,155.0,101.0,154.0,26.0,123.0,39.0,0.0,0.0
random--la411,0.0,0.0,5.0,35.0,22.0,60.0,72.0,57.0,51.0,102.0,25.0,152.0,63.0,16.0,0.0,0.0
random--la438,1.0,0.0,2.0,9.0,15.0,19.0,29.0,15.0,11.0,16.0,120.0,177.0,96.0,0.0,0.0,0.0
random--la514,0.0,0.0,14.0,5.0,21.0,41.0,44.0,42.0,91.0,61.0,96.0,238.0,14.0,51.0,0.0,0.0
random--la519,0.0,0.0,0.0,10.0,16.0,38.0,43.0,60.0,69.0,40.0,40.0,71.0,50.0,116.0,0.0,0.0
random--la520,1.0,0.0,5.0,14.0,17.0,10.0,11.0,15.0,57.0,74.0,113.0,147.0,18.0,19.0,0.0,0.0
random--la621,0.0,0.0,1.0,7.0,19.0,33.0,53.0,68.0,51.0,63.0,40.0,110.0,16.0,114.0,0.0,0.0
random--la637,1.0,0.0,3.0,23.0,16.0,19.0,74.0,51.0,63.0,41.0,16.0,48.0,56.0,99.0,0.0,0.0
random--la660,2.0,0.0,0.0,1.0,10.0,45.0,82.0,90.0,83.0,33.0,62.0,20.0,160.0,42.0,0.0,0.0
random--la76,0.0,0.0,0.0,6.0,7.0,36.0,14.0,46.0,29.0,44.0,24.0,97.0,100.0,145.0,0.0,0.0
random--la727,11.0,3.0,5.0,9.0,25.0,12.0,19.0,111.0,161.0,94.0,78.0,110.0,16.0,42.0,0.0,0.0
random--la83,11.0,2.0,7.0,14.0,14.0,18.0,41.0,54.0,58.0,177.0,188.0,208.0,4.0,56.0,0.0,0.0
random--la86,11.0,3.0,3.0,19.0,17.0,26.0,29.0,71.0,51.0,47.0,53.0,20.0,45.0,160.0,0.0,0.0
random--la87,13.0,2.0,2.0,2.0,5.0,15.0,57.0,52.0,148.0,88.0,73.0,118.0,49.0,42.0,0.0,0.0
