road,one-plus-o29,random--la114,random--la123,random--la1014,random--la1017,random--la1021,random--la1022,random--la214,random--la231,random--la232,random--la314,random--la413,random--la425,random--la430,random--la435,random--la52,random--la519,random--la523,random--la531,random--la68,random--la614,random--la635,random--la653,random--la654,random--la655,random--la658,random--la661,random--la732,random--la83,random--la828
one-plus-o29,1.0,0.75,0.765625,0.69921875,0.703125,0.70703125,0.69921875,0.73046875,0.734375,0.703125,0.71484375,0.71484375,0.73046875,0.7734375,0.72265625,0.78125,0.73828125,0.7421875,0.71875,0.70703125,0.77734375,0.70703125,0.71875,0.7578125,0.7265625,0.76171875,0.7421875,0.7109375,0.70703125,0.7734375
random--la114,0.75,1.0,0.796875,0.86328125,0.7890625,0.73828125,0.79296875,0.80078125,0.7734375,0.78125,0.73046875,0.83984375,0.80859375,0.8046875,0.77734375,0.7890625,0.80078125,0.75,0.796875,0.80859375,0.73046875,0.79296875,0.8359375,0.796875,0.7578125,0.80078125,0.8515625,0.6796875,0.72265625,0.7734375
random--la123,0.765625,0.796875,1.0,0.80859375,0.7734375,0.78515625,0.71484375,0.85546875,0.765625,0.7421875,0.73046875,0.77734375,0.82421875,0.8046875,0.83984375,0.7734375,0.80859375,0.7421875,0.765625,0.80859375,0.76171875,0.80859375,0.7890625,0.78125,0.7734375,0.83203125,0.78125,0.734375,0.76953125,0.7890625
random--la1014,0.69921875,0.86328125,0.80859375,1.0,0.81640625,0.7421875,0.7578125,0.8125,0.76171875,0.73046875,0.765625,0.84375,0.8359375,0.77734375,0.796875,0.76171875,0.796875,0.73046875,0.78515625,0.84375,0.6875,0.78125,0.81640625,0.82421875,0.73046875,0.8046875,0.85546875,0.67578125,0.734375,0.76171875
random--la1017,0.703125,0.7890625,0.7734375,0.81640625,1.0,0.74609375,0.74609375,0.76171875,0.765625,0.734375,0.77734375,0.80859375,0.83203125,0.765625,0.76953125,0.8203125,0.77734375,0.734375,0.7734375,0.78515625,0.66796875,0.78515625,0.7421875,0.765625,0.7421875,0.76171875,0.796875,0.7109375,0.74609375,0.7890625
random--la1021,0.70703125,0.73828125,0.78515625,0.7421875,0.74609375,1.0,0.7421875,0.78125,0.69140625,0.75390625,0.7109375,0.71875,0.7734375,0.75390625,0.7578125,0.74609375,0.75,0.80859375,0.75390625,0.7890625,0.765625,0.796875,0.73828125,0.76171875,0.75390625,0.828125,0.77734375,0.69921875,0.78125,0.70703125
random--la1022,0.69921875,0.79296875,0.71484375,0.7578125,0.74609375,0.7421875,1.0,0.7578125,0.67578125,0.76171875,0.6796875,0.7734375,0.7265625,0.74609375,0.71875,0.73828125,0.7265625,0.75390625,0.76953125,0.796875,0.7578125,0.75,0.73828125,0.76953125,0.75390625,0.7734375,0.80859375,0.62890625,0.71875,0.69140625
random--la214,0.73046875,0.80078125,0.85546875,0.8125,0.76171875,0.78125,0.7578125,1.0,0.73046875,0.72265625,0.71875,0.7890625,0.8046875,0.77734375,0.796875,0.74609375,0.7890625,0.71484375,0.80859375,0.8203125,0.734375,0.8046875,0.82421875,0.78515625,0.76171875,0.8203125,0.79296875,0.71484375,0.734375,0.73828125
random--la231,0.734375,0.7734375,0.765625,0.76171875,0.765625,0.69140625,0.67578125,0.73046875,1.0,0.71875,0.72265625,0.78515625,0.80859375,0.7578125,0.76953125,0.734375,0.74609375,0.703125,0.75,0.73828125,0.73828125,0.76171875,0.765625,0.7421875,0.734375,0.75390625,0.7734375,0.703125,0.72265625,0.703125
random--la232,0.703125,0.78125,0.7421875,0.73046875,0.734375,0.75390625,0.76171875,0.72265625,0.71875,1.0,0.68359375,0.73828125,0.73828125,0.7421875,0.73046875,0.765625,0.73046875,0.7109375,0.78125,0.76953125,0.73828125,0.73046875,0.796875,0.734375,0.75,0.78515625,0.75,0.6875,0.72265625,0.6875
random--la314,0.71484375,0.73046875,0.73046875,0.765625,0.77734375,0.7109375,0.6796875,0.71875,0.72265625,0.68359375,1.0,0.796875,0.8046875,0.75390625,0.765625,0.76953125,0.7421875,0.76171875,0.71484375,0.71875,0.71875,0.78125,0.74609375,0.76171875,0.74609375,0.734375,0.76953125,0.70703125,0.765625,0.78515625
random--la413,0.71484375,0.83984375,0.77734375,0.84375,0.80859375,0.71875,0.7734375,0.7890625,0.78515625,0.73828125,0.796875,1.0,0.828125,0.81640625,0.7578125,0.80078125,0.78125,0.76953125,0.77734375,0.8125,0.765625,0.8203125,0.80078125,0.80859375,0.81640625,0.78125,0.82421875,0.66015625,0.796875,0.75390625
random--la425,0.73046875,0.80859375,0.82421875,0.8359375,0.83203125,0.7734375,0.7265625,0.8046875,0.80859375,0.73828125,0.8046875,0.828125,1.0,0.80078125,0.78125,0.80859375,0.796875,0.76171875,0.79296875,0.8046875,0.75,0.84375,0.80078125,0.80078125,0.79296875,0.8125,0.82421875,0.73046875,0.7734375,0.77734375
random--la430,0.7734375,0.8046875,0.8046875,0.77734375,0.765625,0.75390625,0.74609375,0.77734375,0.7578125,0.7421875,0.75390625,0.81640625,0.80078125,1.0,0.71484375,0.7890625,0.80078125,0.75,0.7578125,0.77734375,0.79296875,0.77734375,0.828125,0.828125,0.7890625,0.80078125,0.8046875,0.703125,0.73046875,0.796875
random--la435,0.72265625,0.77734375,0.83984375,0.796875,0.76953125,0.7578125,0.71875,0.796875,0.76953125,0.73046875,0.765625,0.7578125,0.78125,0.71484375,1.0,0.74609375,0.7734375,0.70703125,0.76953125,0.8046875,0.734375,0.7890625,0.76953125,0.76171875,0.73828125,0.7890625,0.76953125,0.73046875,0.7421875,0.75390625
