road,one-plus-o212,one-plus-o219,one-plus-o222,one-plus-o243,random--la13,random--la19,random--la125,random--la102,random--la1010,random--la1018,random--la1020,random--la1022,random--la1024,random--la26,random--la218,random--la219,random--la33,random--la43,random--la44,random--la427,random--la430,random--la431,random--la438,random--la514,random--la520,random--la526,random--la631,random--la638,random--la712,random--la86
one-plus-o212,1.0,0.9421052631578948,0.9299999999999999,0.7578947368421053,0.7588235294117647,0.7533333333333333,0.75,0.78,0.755,0.74,0.75,0.7666666666666666,0.7684210526315789,0.7789473684210526,0.765,0.78,0.75,0.7150000000000001,0.76,0.7555555555555555,0.75,0.745,0.7684210526315789,0.745,0.7947368421052632,0.7857142857142857,0.825,0.7928571428571428,0.78,0.7611111111111111
one-plus-o219,0.9421052631578948,1.0,0.9631578947368421,0.7736842105263158,0.7764705882352941,0.7333333333333334,0.7166666666666667,0.7736842105263158,0.7421052631578947,0.8,0.736842105263158,0.7944444444444445,0.7842105263157895,0.7631578947368421,0.7631578947368421,0.7842105263157895,0.7571428571428571,0.7315789473684211,0.7421052631578947,0.7444444444444445,0.736842105263158,0.7473684210526316,0.7842105263157895,0.7578947368421053,0.8,0.7571428571428571,0.8210526315789474,0.7928571428571428,0.7631578947368421,0.7611111111111111
one-plus-o222,0.9299999999999999,0.9631578947368421,1.0,0.7052631578947368,0.7411764705882353,0.74,0.7333333333333334,0.77,0.73,0.78,0.725,0.7888888888888889,0.7789473684210526,0.7473684210526316,0.765,0.75,0.7642857142857142,0.735,0.745,0.7555555555555555,0.7150000000000001,0.7150000000000001,0.7473684210526316,0.765,0.7736842105263158,0.7785714285714286,0.775,0.7428571428571429,0.74,0.75
one-plus-o243,0.7578947368421053,0.7736842105263158,0.7052631578947368,1.0,0.7647058823529411,0.7866666666666666,0.8166666666666667,0.7526315789473684,0.7684210526315789,0.7421052631578947,0.7842105263157895,0.7888888888888889,0.7894736842105263,0.7052631578947368,0.7578947368421053,0.7631578947368421,0.7642857142857142,0.7473684210526316,0.7473684210526316,0.7277777777777779,0.8,0.7526315789473684,0.7894736842105263,0.7263157894736842,0.7315789473684211,0.7571428571428571,0.8052631578947369,0.8,0.7473684210526316,0.7444444444444445
random--la13,0.7588235294117647,0.7764705882352941,0.7411764705882353,0.7647058823529411,1.0,0.7533333333333333,0.7588235294117647,0.7764705882352941,0.8470588235294118,0.7941176470588236,0.8058823529411765,0.8588235294117648,0.7764705882352941,0.7176470588235294,0.788235294117647,0.7529411764705882,0.7642857142857142,0.7352941176470589,0.7705882352941177,0.7823529411764706,0.7529411764705882,0.7647058823529411,0.7470588235294118,0.8941176470588236,0.7705882352941177,0.8285714285714285,0.8,0.8142857142857143,0.8,0.7823529411764706
random--la19,0.7533333333333333,0.7333333333333334,0.74,0.7866666666666666,0.7533333333333333,1.0,0.8133333333333334,0.7866666666666666,0.7733333333333333,0.7933333333333333,0.7666666666666666,0.8333333333333334,0.7866666666666666,0.7466666666666666,0.7733333333333333,0.76,0.8071428571428572,0.7466666666666666,0.8133333333333334,0.74,0.7666666666666666,0.7266666666666667,0.7333333333333334,0.7866666666666666,0.76,0.7785714285714286,0.78,0.7714285714285715,0.8200000000000001,0.76
random--la125,0.75,0.7166666666666667,0.7333333333333334,0.8166666666666667,0.7588235294117647,0.8133333333333334,1.0,0.75,0.7888888888888889,0.7555555555555555,0.7666666666666666,0.7388888888888889,0.7833333333333333,0.6722222222222223,0.7611111111111111,0.7555555555555555,0.7642857142857142,0.7555555555555555,0.7555555555555555,0.7222222222222222,0.7444444444444445,0.7333333333333334,0.7777777777777778,0.7666666666666666,0.7555555555555555,0.8142857142857143,0.7388888888888889,0.7714285714285715,0.7555555555555555,0.7277777777777779
random--la102,0.78,0.7736842105263158,0.77,0.7526315789473684,0.7764705882352941,0.7866666666666666,0.75,1.0,0.7727272727272727,0.7454545454545455,0.780952380952381,0.7666666666666666,0.7473684210526316,0.7526315789473684,0.7454545454545455,0.740909090909091,0.8142857142857143,0.7318181818181818,0.7318181818181818,0.7833333333333333,0.7681818181818182,0.7363636363636363,0.7526315789473684,0.7571428571428571,0.736842105263158,0.7714285714285715,0.740909090909091,0.8428571428571429,0.83,0.7666666666666666
random--la1010,0.755,0.7421052631578947,0.73,0.7684210526315789,0.8470588235294118,0.7733333333333333,0.7888888888888889,0.7727272727272727,1.0,0.7666666666666666,0.8095238095238095,0.7777777777777778,0.7473684210526316,0.7,0.7807692307692308,0.7958333333333334,0.7928571428571428,0.740909090909091,0.7695652173913043,0.7388888888888889,0.75,0.7782608695652173,0.7684210526315789,0.7428571428571429,0.7684210526315789,0.8142857142857143,0.7772727272727273,0.7928571428571428,0.78,0.7444444444444445
random--la1018,0.74,0.8,0.78,0.7421052631578947,0.7941176470588236,0.7933333333333333,0.7555555555555555,0.7454545454545455,0.7666666666666666,1.0,0.7714285714285715,0.8388888888888889,0.8263157894736842,0.7315789473684211,0.7625,0.75,0.8071428571428572,0.7227272727272727,0.7304347826086957,0.7833333333333333,0.7318181818181818,0.782608695652174,0.7421052631578947,0.7380952380952381,0.7631578947368421,0.7857142857142857,0.75,0.7642857142857142,0.77,0.7611111111111111
random--la1020,0.75,0.736842105263158,0.725,0.7842105263157895,0.8058823529411765,0.7666666666666666,0.7666666666666666,0.780952380952381,0.8095238095238095,0.7714285714285715,1.0,0.7777777777777778,0.8578947368421053,0.7315789473684211,0.7857142857142857,0.7666666666666666,0.7571428571428571,0.7761904761904762,0.7571428571428571,0.7666666666666666,0.8095238095238095,0.7761904761904762,0.7421052631578947,0.7761904761904762,0.7947368421052632,0.7785714285714286,0.7857142857142857,0.8071428571428572,0.785,0.7666666666666666
random--la1022,0.7666666666666666,0.7944444444444445,0.7888888888888889,0.7888888888888889,0.8588235294117648,0.8333333333333334,0.7388888888888889,0.7666666666666666,0.7777777777777778,0.8388888888888889,0.7777777777777778,1.0,0.8388888888888889,0.8222222222222222,0.7666666666666666,0.7666666666666666,0.8,0.7611111111111111,0.7888888888888889,0.7722222222222223,0.7611111111111111,0.7611111111111111,0.7777777777777778,0.8,0.7666666666666666,0.8928571428571429,0.8277777777777777,0.8142857142857143,0.7777777777777778,0.7555555555555555
random--la1024,0.7684210526315789,0.7842105263157895,0.7789473684210526,0.7894736842105263,0.7764705882352941,0.7866666666666666,0.7833333333333333,0.7473684210526316,0.7473684210526316,0.8263157894736842,0.8578947368421053,0.8388888888888889,1.0,0.7473684210526316,0.7894736842105263,0.8,0.7928571428571428,0.7736842105263158,0.8210526315789474,0.8222222222222222,0.7526315789473684,0.7789473684210526,0.7473684210526316,0.736842105263158,0.7631578947368421,0.7785714285714286,0.7894736842105263,0.7642857142857142,0.7842105263157895,0.7777777777777778
random--la26,0.7789473684210526,0.7631578947368421,0.7473684210526316,0.7052631578947368,0.7176470588235294,0.7466666666666666,0.6722222222222223,0.7526315789473684,0.7,0.7315789473684211,0.7315789473684211,0.8222222222222222,0.7473684210526316,1.0,0.7157894736842105,0.7105263157894737,0.7928571428571428,0.6894736842105262,0.7157894736842105,0.7722222222222223,0.736842105263158,0.7263157894736842,0.7052631578947368,0.7052631578947368,0.7210526315789474,0.7071428571428571,0.8,0.7357142857142858,0.7473684210526316,0.6888888888888889
random--la218,0.765,0.7631578947368421,0.765,0.7578947368421053,0.788235294117647,0.7733333333333333,0.7611111111111111,0.7454545454545455,0.7807692307692308,0.7625,0.7857142857142857,0.7666666666666666,0.7894736842105263,0.7157894736842105,1.0,0.7458333333333333,0.8071428571428572,0.7772727272727273,0.8043478260869565,0.7388888888888889,0.7772727272727273,0.7347826086956522,0.7842105263157895,0.8095238095238095,0.7473684210526316,0.7857142857142857,0.7954545454545454,0.8142857142857143,0.75,0.7833333333333333
random--la219,0.78,0.7842105263157895,0.75,0.7631578947368421,0.7529411764705882,0.76,0.7555555555555555,0.740909090909091,0.7958333333333334,0.75,0.7666666666666666,0.7666666666666666,0.8,0.7105263157894737,0.7458333333333333,1.0,0.8,0.7363636363636363,0.7521739130434782,0.7388888888888889,0.7272727272727273,0.7782608695652173,0.8052631578947369,0.7285714285714286,0.7736842105263158,0.7857142857142857,0.7681818181818182,0.7714285714285715,0.725,0.8
random--la33,0.75,0.7571428571428571,0.7642857142857142,0.7642857142857142,0.7642857142857142,0.8071428571428572,0.7642857142857142,0.8142857142857143,0.7928571428571428,0.8071428571428572,0.7571428571428571,0.8,0.7928571428571428,0.7928571428571428,0.8071428571428572,0.8,1.0,0.7428571428571429,0.8,0.7642857142857142,0.7428571428571429,0.7642857142857142,0.7285714285714286,0.7357142857142858,0.8142857142857143,0.7928571428571428,0.8,0.7714285714285715,0.7785714285714286,0.8
random--la43,0.7150000000000001,0.7315789473684211,0.735,0.7473684210526316,0.7352941176470589,0.7466666666666666,0.7555555555555555,0.7318181818181818,0.740909090909091,0.7227272727272727,0.7761904761904762,0.7611111111111111,0.7736842105263158,0.6894736842105262,0.7772727272727273,0.7363636363636363,0.7428571428571429,1.0,0.7272727272727273,0.7555555555555555,0.6909090909090909,0.7136363636363636,0.736842105263158,0.7571428571428571,0.8263157894736842,0.7571428571428571,0.7181818181818183,0.7428571428571429,0.73,0.7611111111111111
random--la44,0.76,0.7421052631578947,0.745,0.7473684210526316,0.7705882352941177,0.8133333333333334,0.7555555555555555,0.7318181818181818,0.7695652173913043,0.7304347826086957,0.7571428571428571,0.7888888888888889,0.8210526315789474,0.7157894736842105,0.8043478260869565,0.7521739130434782,0.8,0.7272727272727273,1.0,0.7611111111111111,0.75,0.7434782608695651,0.736842105263158,0.7714285714285715,0.7631578947368421,0.7642857142857142,0.7727272727272727,0.7714285714285715,0.77,0.8
random--la427,0.7555555555555555,0.7444444444444445,0.7555555555555555,0.7277777777777779,0.7823529411764706,0.74,0.7222222222222222,0.7833333333333333,0.7388888888888889,0.7833333333333333,0.7666666666666666,0.7722222222222223,0.8222222222222222,0.7722222222222223,0.7388888888888889,0.7388888888888889,0.7642857142857142,0.7555555555555555,0.7611111111111111,1.0,0.7666666666666666,0.75,0.7222222222222222,0.7277777777777779,0.7777777777777778,0.75,0.7611111111111111,0.7142857142857143,0.7555555555555555,0.7388888888888889
random--la430,0.75,0.736842105263158,0.7150000000000001,0.8,0.7529411764705882,0.7666666666666666,0.7444444444444445,0.7681818181818182,0.75,0.7318181818181818,0.8095238095238095,0.7611111111111111,0.7526315789473684,0.736842105263158,0.7772727272727273,0.7272727272727273,0.7428571428571429,0.6909090909090909,0.75,0.7666666666666666,1.0,0.7863636363636364,0.7526315789473684,0.7523809523809524,0.7105263157894737,0.7642857142857142,0.7545454545454545,0.8071428571428572,0.755,0.7222222222222222
random--la431,0.745,0.7473684210526316,0.7150000000000001,0.7526315789473684,0.7647058823529411,0.7266666666666667,0.7333333333333334,0.7363636363636363,0.7782608695652173,0.782608695652174,0.7761904761904762,0.7611111111111111,0.7789473684210526,0.7263157894736842,0.7347826086956522,0.7782608695652173,0.7642857142857142,0.7136363636363636,0.7434782608695651,0.75,0.7863636363636364,1.0,0.7157894736842105,0.7666666666666666,0.7263157894736842,0.8142857142857143,0.7954545454545454,0.8071428571428572,0.765,0.7166666666666667
random--la438,0.7684210526315789,0.7842105263157895,0.7473684210526316,0.7894736842105263,0.7470588235294118,0.7333333333333334,0.7777777777777778,0.7526315789473684,0.7684210526315789,0.7421052631578947,0.7421052631578947,0.7777777777777778,0.7473684210526316,0.7052631578947368,0.7842105263157895,0.8052631578947369,0.7285714285714286,0.736842105263158,0.736842105263158,0.7222222222222222,0.7526315789473684,0.7157894736842105,1.0,0.7578947368421053,0.7842105263157895,0.7428571428571429,0.7789473684210526,0.85,0.7263157894736842,0.7722222222222223
