test,num_obes
one-plus-o212,0
one-plus-o219,0
one-plus-o222,0
one-plus-o243,0
random--la13,0
random--la19,0
random--la125,0
random--la102,0
random--la1010,0
random--la1018,1
random--la1020,0
random--la1022,0
random--la1024,1
random--la26,0
random--la218,0
random--la219,1
random--la33,0
random--la43,0
random--la44,0
random--la427,0
random--la430,0
random--la431,0
random--la438,1
random--la514,0
random--la520,1
random--la526,0
random--la631,0
random--la638,0
random--la712,1
random--la86,0
