road,one-plus-o217,one-plus-o222,one-plus-o224,one-plus-o225,random--la19,random--la1018,random--la1021,random--la26,random--la223,random--la231,random--la237,random--la314,random--la318,random--la42,random--la413,random--la430,random--la431,random--la514,random--la526,random--la532,random--la614,random--la625,random--la631,random--la635,random--la641,random--la642,random--la653,random--la655,random--la658,random--la94
one-plus-o217,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.5625,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375
one-plus-o222,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.5,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0
one-plus-o224,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.5,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0
one-plus-o225,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.5,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0
random--la19,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.5625,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375
random--la1018,0.9375,0.875,0.875,0.875,0.9375,1.0,0.875,0.875,0.875,0.9375,0.9375,0.875,0.625,0.875,0.9375,0.875,0.9375,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.875
random--la1021,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.5,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0
random--la26,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.5,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0
random--la223,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,0.9375,0.9375,1.0,0.5,1.0,0.9375,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0
random--la231,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.5625,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375
