road,one-plus-o217,one-plus-o222,one-plus-o224,one-plus-o225,random--la19,random--la1018,random--la1021,random--la26,random--la223,random--la231,random--la237,random--la314,random--la318,random--la42,random--la413,random--la430,random--la431,random--la514,random--la526,random--la532,random--la614,random--la625,random--la631,random--la635,random--la641,random--la642,random--la653,random--la655,random--la658,random--la94
one-plus-o217,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.75,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.5833333333333334,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.6666666666666666,0.9090909090909091,0.75,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.7,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.5833333333333334
one-plus-o222,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.75,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.5833333333333334,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.6666666666666666,0.9090909090909091,0.75,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.7,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.5833333333333334
one-plus-o224,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.75,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.5833333333333334,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.6666666666666666,0.9090909090909091,0.75,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.7,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.5833333333333334
one-plus-o225,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.75,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.5833333333333334,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.6666666666666666,0.9090909090909091,0.75,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.7,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.5833333333333334
random--la19,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.9090909090909091,0.9090909090909091,0.75,0.9,0.8,0.9,0.9,0.8181818181818182,0.9,0.9,1.0,0.75,0.75,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.6666666666666666,0.75,0.7272727272727273,0.7272727272727273,0.7,0.6363636363636364,0.9,0.8,0.7272727272727273
random--la1018,0.75,0.75,0.75,0.75,0.9090909090909091,1.0,1.0,0.8333333333333334,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.9090909090909091,0.8181818181818182,0.75,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.8181818181818182
random--la1021,0.75,0.75,0.75,0.75,0.9090909090909091,1.0,1.0,0.8333333333333334,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.9090909090909091,0.8181818181818182,0.75,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.8181818181818182
random--la26,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.75,0.8333333333333334,0.8333333333333334,1.0,0.8181818181818182,0.7272727272727273,0.6666666666666666,0.8181818181818182,0.75,0.8181818181818182,0.6666666666666666,0.75,1.0,0.8333333333333334,0.7272727272727273,0.75,0.8181818181818182,0.75,0.8333333333333334,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.6666666666666666
random--la223,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.9,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,0.8888888888888888,0.8,1.0,0.7272727272727273,1.0,0.8,0.9,0.8181818181818182,0.6666666666666666,0.7,0.7272727272727273,0.8,0.5833333333333334,0.6666666666666666,0.8,0.8,0.7777777777777778,0.7,1.0,0.8888888888888888,0.6363636363636364
random--la231,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.8,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8888888888888888,1.0,0.7,0.8888888888888888,0.8,0.8888888888888888,0.8888888888888888,0.8,0.7272727272727273,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.6363636363636364,0.5833333333333334,0.7,0.7,0.875,0.7777777777777778,0.8888888888888888,1.0,0.7
