names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o217,54.0,43.0,62.0,25.0,28.0,42.0,48.0,57.0,37.0,30.0,23.0,33.0,28.0,11.0,63.0,53.0
one-plus-o222,59.0,60.0,4.0,18.0,34.0,37.0,33.0,17.0,42.0,46.0,52.0,14.0,30.0,49.0,58.0,46.0
one-plus-o224,60.0,56.0,6.0,23.0,33.0,32.0,32.0,20.0,45.0,46.0,48.0,16.0,21.0,54.0,60.0,46.0
one-plus-o225,60.0,59.0,1.0,21.0,31.0,41.0,25.0,25.0,45.0,48.0,42.0,20.0,20.0,51.0,64.0,45.0
random--la19,18.0,15.0,72.0,20.0,16.0,24.0,38.0,36.0,28.0,13.0,26.0,41.0,18.0,43.0,9.0,11.0
random--la1018,56.0,59.0,6.0,5.0,1.0,0.0,5.0,4.0,28.0,3.0,13.0,42.0,41.0,37.0,16.0,35.0
random--la1021,39.0,3.0,10.0,32.0,34.0,36.0,25.0,34.0,55.0,25.0,38.0,63.0,10.0,9.0,22.0,52.0
random--la26,54.0,98.0,46.0,28.0,21.0,28.0,39.0,33.0,28.0,21.0,33.0,44.0,41.0,45.0,21.0,106.0
random--la223,4.0,2.0,2.0,20.0,49.0,51.0,60.0,37.0,27.0,12.0,9.0,9.0,2.0,25.0,83.0,22.0
random--la231,67.0,54.0,55.0,30.0,25.0,13.0,11.0,16.0,12.0,15.0,7.0,50.0,31.0,11.0,85.0,86.0
random--la237,58.0,115.0,3.0,26.0,28.0,29.0,30.0,37.0,50.0,14.0,12.0,24.0,36.0,53.0,84.0,30.0
random--la314,44.0,26.0,34.0,31.0,7.0,3.0,4.0,10.0,37.0,43.0,51.0,26.0,50.0,52.0,24.0,29.0
random--la318,54.0,16.0,6.0,12.0,20.0,21.0,21.0,26.0,30.0,7.0,0.0,3.0,11.0,28.0,98.0,22.0
random--la42,89.0,48.0,7.0,44.0,15.0,11.0,16.0,27.0,39.0,28.0,52.0,89.0,71.0,33.0,50.0,48.0
random--la413,58.0,7.0,31.0,29.0,38.0,22.0,10.0,17.0,44.0,33.0,42.0,57.0,15.0,21.0,7.0,57.0
random--la430,25.0,52.0,91.0,56.0,43.0,34.0,24.0,36.0,65.0,13.0,5.0,11.0,15.0,49.0,95.0,64.0
random--la431,72.0,37.0,17.0,35.0,33.0,37.0,22.0,32.0,37.0,40.0,30.0,17.0,24.0,82.0,71.0,34.0
random--la514,48.0,79.0,42.0,49.0,61.0,32.0,24.0,23.0,47.0,37.0,54.0,74.0,40.0,24.0,35.0,49.0
random--la526,74.0,12.0,7.0,25.0,26.0,15.0,12.0,15.0,46.0,72.0,80.0,28.0,4.0,5.0,66.0,10.0
random--la532,35.0,5.0,11.0,64.0,60.0,71.0,45.0,40.0,79.0,34.0,37.0,48.0,28.0,28.0,56.0,38.0
random--la614,66.0,53.0,27.0,28.0,36.0,38.0,55.0,45.0,36.0,10.0,2.0,3.0,19.0,91.0,85.0,91.0
random--la625,79.0,43.0,7.0,26.0,39.0,40.0,29.0,18.0,54.0,58.0,75.0,48.0,9.0,37.0,46.0,25.0
random--la631,42.0,71.0,8.0,9.0,5.0,25.0,21.0,29.0,51.0,73.0,77.0,35.0,7.0,10.0,8.0,51.0
random--la635,117.0,29.0,5.0,5.0,6.0,6.0,5.0,15.0,24.0,69.0,66.0,48.0,27.0,45.0,31.0,43.0
random--la641,35.0,42.0,21.0,24.0,30.0,45.0,52.0,34.0,20.0,33.0,44.0,37.0,18.0,18.0,15.0,85.0
random--la642,3.0,39.0,34.0,56.0,63.0,65.0,108.0,53.0,36.0,40.0,22.0,41.0,52.0,19.0,5.0,30.0
random--la653,13.0,43.0,32.0,77.0,43.0,25.0,19.0,31.0,33.0,88.0,106.0,24.0,14.0,51.0,20.0,20.0
random--la655,49.0,22.0,29.0,43.0,59.0,45.0,46.0,58.0,26.0,20.0,27.0,34.0,22.0,40.0,27.0,94.0
random--la658,47.0,30.0,55.0,53.0,37.0,31.0,52.0,38.0,15.0,15.0,18.0,48.0,23.0,8.0,16.0,156.0
random--la94,27.0,71.0,24.0,43.0,22.0,13.0,3.0,15.0,36.0,38.0,21.0,46.0,58.0,29.0,31.0,3.0
