road,one-plus-o217,one-plus-o222,one-plus-o224,one-plus-o225,random--la19,random--la1018,random--la1021,random--la26,random--la223,random--la231,random--la237,random--la314,random--la318,random--la42,random--la413,random--la430,random--la431,random--la514,random--la526,random--la532,random--la614,random--la625,random--la631,random--la635,random--la641,random--la642,random--la653,random--la655,random--la658,random--la94
one-plus-o217,1.0,0.9140625,0.921875,0.9140625,0.87890625,0.875,0.91796875,0.91796875,0.875,0.890625,0.89453125,0.9140625,0.80859375,0.90625,0.87890625,0.875,0.890625,0.87890625,0.8984375,0.90625,0.89453125,0.8984375,0.91796875,0.89453125,0.8984375,0.859375,0.875,0.8984375,0.875,0.89453125
one-plus-o222,0.9140625,1.0,0.9765625,0.9609375,0.89453125,0.890625,0.93359375,0.93359375,0.8984375,0.90625,0.87890625,0.921875,0.81640625,0.921875,0.87109375,0.90625,0.921875,0.89453125,0.921875,0.9375,0.89453125,0.890625,0.92578125,0.91015625,0.9296875,0.890625,0.8984375,0.9296875,0.8984375,0.90234375
one-plus-o224,0.921875,0.9765625,1.0,0.96875,0.87890625,0.8828125,0.92578125,0.92578125,0.8828125,0.890625,0.87890625,0.921875,0.80078125,0.90625,0.84765625,0.890625,0.9140625,0.89453125,0.90625,0.9296875,0.88671875,0.8828125,0.91015625,0.89453125,0.921875,0.8828125,0.8828125,0.9296875,0.8828125,0.88671875
one-plus-o225,0.9140625,0.9609375,0.96875,1.0,0.88671875,0.890625,0.92578125,0.92578125,0.890625,0.890625,0.88671875,0.9140625,0.80859375,0.9140625,0.84765625,0.8984375,0.9140625,0.89453125,0.90625,0.921875,0.90234375,0.875,0.91796875,0.90234375,0.9296875,0.90625,0.890625,0.9375,0.890625,0.89453125
random--la19,0.87890625,0.89453125,0.87890625,0.88671875,1.0,0.87109375,0.921875,0.9140625,0.95703125,0.91796875,0.921875,0.90234375,0.875,0.91015625,0.8828125,0.96484375,0.91015625,0.90625,0.92578125,0.92578125,0.890625,0.91796875,0.953125,0.9375,0.91015625,0.94140625,0.97265625,0.91015625,0.94921875,0.9296875
random--la1018,0.875,0.890625,0.8828125,0.890625,0.87109375,1.0,0.91796875,0.93359375,0.8984375,0.90625,0.86328125,0.8984375,0.83203125,0.9140625,0.87109375,0.890625,0.921875,0.84765625,0.9140625,0.921875,0.87109375,0.8671875,0.89453125,0.89453125,0.921875,0.859375,0.890625,0.8671875,0.8984375,0.91796875
random--la1021,0.91796875,0.93359375,0.92578125,0.92578125,0.921875,0.91796875,1.0,0.953125,0.92578125,0.92578125,0.8984375,0.94921875,0.859375,0.96484375,0.8828125,0.93359375,0.94921875,0.890625,0.94140625,0.96484375,0.90625,0.90234375,0.9453125,0.9453125,0.95703125,0.91015625,0.93359375,0.92578125,0.93359375,0.9375
random--la26,0.91796875,0.93359375,0.92578125,0.92578125,0.9140625,0.93359375,0.953125,1.0,0.93359375,0.94140625,0.8984375,0.94921875,0.8671875,0.95703125,0.890625,0.93359375,0.94921875,0.890625,0.95703125,0.96484375,0.90625,0.91015625,0.9375,0.9296875,0.95703125,0.90234375,0.93359375,0.91796875,0.93359375,0.953125
random--la223,0.875,0.8984375,0.8828125,0.890625,0.95703125,0.8984375,0.92578125,0.93359375,1.0,0.953125,0.92578125,0.8984375,0.88671875,0.921875,0.89453125,0.984375,0.9453125,0.91015625,0.9375,0.9453125,0.88671875,0.921875,0.93359375,0.95703125,0.9375,0.953125,0.9765625,0.8984375,0.96875,0.95703125
random--la231,0.890625,0.90625,0.890625,0.890625,0.91796875,0.90625,0.92578125,0.94140625,0.953125,1.0,0.91015625,0.9140625,0.85546875,0.9453125,0.91015625,0.9453125,0.9453125,0.90234375,0.953125,0.953125,0.87890625,0.9140625,0.92578125,0.96484375,0.9375,0.921875,0.9375,0.8984375,0.953125,0.95703125
