road,random--la102,random--la103,random--la108,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la210,random--la211,random--la213,random--la214,random--la222,random--la35,random--la36,random--la310,random--la311,random--la318,random--la321,random--la323,random--la44,random--la56,random--la57,random--la58,random--la59,random--la517,random--la518,random--la520,random--la68,random--la614,random--la615,random--la616,random--la621,random--la622,random--la623,random--la625,random--la626,random--la72,random--la74,random--la75,random--la711,random--la716,random--la718,random--la84,random--la85,random--la813,random--la818,random--la819,random--la820,random--la821,random--la822,random--la92,random--la910,random--la912,random--la916,random--la917,random--la918,random--la921,random--la923
random--la102,1.0,0.9959062047454607,0.993455497382199,0.993455497382199,0.9934554973821991,0.999683439152964,0.9934554973821991,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.9934554973821991,0.993455497382199,0.993455497382199,0.993455497382199,0.988503265504399,0.9934554973821991,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.9993902637312607,0.993455497382199,0.9934554973821988,0.993455497382199,0.993455497382199,0.993455497382199,0.994935879068879,0.9934554973821991,0.993455497382199,0.995455497382199,0.993455497382199,0.9883325820879997,0.993455497382199,0.993455497382199,0.993455497382199,0.9973596576120605,0.9979197830964847,0.9905124384895445,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.993455497382199,0.9977615666077634,0.9934554973821988,0.9934554973821988,0.9999807828634387,0.9889769350502334,0.993455497382199
random--la103,0.9959062047454607,1.0,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9962227655924966,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9925970607589383,0.9893617021276597,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9971256772829391,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9990296743234184,0.9893617021276596,0.9893617021276596,0.9913617021276596,0.9893617021276596,0.9924263773425391,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9985465471334001,0.9938259878419453,0.9946062337440839,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9981446381376973,0.9893617021276596,0.9893617021276596,0.9958869876088994,0.9930707303047729,0.9893617021276596
random--la108,0.993455497382199,0.9893617021276596,1.0,1.0,1.0,0.9931389365351629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9819587628865979,1.0,1.0,1.0,1.0,1.0,0.9922360248447205,1.0,1.0,1.0,1.0,1.0,0.9883913764510779,1.0,1.0,0.998,1.0,0.9817880794701986,1.0,1.0,1.0,0.9908151549942594,0.9955357142857143,0.9839679358717435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912170639899625,1.0,1.0,0.9934747145187601,0.9824324324324325,1.0
random--la1017,0.993455497382199,0.9893617021276596,1.0,1.0,0.9999999999999999,0.9931389365351629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9819587628865979,1.0,1.0,1.0,1.0,1.0,0.9922360248447205,1.0,1.0,1.0,1.0,1.0,0.9883913764510779,1.0,1.0,0.9979999999999999,1.0,0.9817880794701986,1.0,1.0,1.0,0.9908151549942594,0.9955357142857142,0.9839679358717435,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9912170639899623,1.0,1.0,0.9934747145187602,0.9824324324324324,1.0
random--la1018,0.993455497382199,0.9893617021276595,1.0,1.0,1.0,0.9931389365351629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9819587628865979,1.0,1.0,1.0,1.0,1.0,0.9922360248447205,1.0,1.0,1.0,1.0,0.9999999999999999,0.9883913764510779,1.0,1.0,0.998,1.0,0.9817880794701987,1.0,1.0,1.0,0.9908151549942594,0.9955357142857143,0.9839679358717435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912170639899623,1.0,1.0,0.9934747145187601,0.9824324324324324,1.0
random--la1020,0.999683439152964,0.9962227655924967,0.9931389365351629,0.9931389365351629,0.9931389365351629,1.0,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9888198263514351,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9990970883095576,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9952524399159149,0.9931389365351629,0.9931389365351629,0.9951389365351629,0.9931389365351629,0.9886491429350357,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9976762184590965,0.9976032222494486,0.9908289993365805,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9931389365351629,0.9980781274547993,0.9931389365351629,0.9931389365351629,0.9998321110082014,0.9892934958972694,0.9931389365351629
random--la23,0.993455497382199,0.9893617021276596,1.0,1.0,1.0,0.9931389365351629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981958762886598,1.0,1.0,1.0,1.0,1.0,0.9922360248447205,1.0,1.0,1.0,1.0,1.0,0.9883913764510779,1.0,1.0,0.998,1.0,0.9817880794701986,1.0,1.0,1.0,0.9908151549942594,0.9955357142857143,0.9839679358717435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912170639899623,1.0,1.0,0.9934747145187602,0.9824324324324324,1.0
random--la24,0.993455497382199,0.9893617021276595,1.0,1.0,1.0,0.9931389365351629,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9819587628865979,1.0,1.0,1.0,1.0,1.0,0.9922360248447205,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.988391376451078,1.0,1.0,0.998,1.0,0.9817880794701987,1.0,1.0,1.0,0.9908151549942595,0.9955357142857143,0.9839679358717435,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9912170639899623,0.9999999999999999,0.9999999999999999,0.9934747145187602,0.9824324324324325,1.0
random--la210,0.993455497382199,0.9893617021276596,1.0,1.0,1.0,0.9931389365351628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9819587628865979,1.0,1.0,1.0,1.0,1.0,0.9922360248447205,1.0,1.0,1.0,1.0,1.0,0.9883913764510779,1.0,1.0,0.998,1.0,0.9817880794701986,1.0,1.0,1.0,0.9908151549942595,0.9955357142857143,0.9839679358717435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912170639899623,1.0,1.0,0.9934747145187601,0.9824324324324325,1.0
random--la211,0.993455497382199,0.9893617021276596,1.0,1.0,1.0,0.993138936535163,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9819587628865979,1.0,1.0,1.0,1.0,1.0,0.9922360248447205,1.0,1.0,1.0,1.0,1.0,0.9883913764510779,1.0,1.0,0.998,1.0,0.9817880794701986,1.0,0.9999999999999999,1.0,0.9908151549942594,0.9955357142857143,0.9839679358717435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912170639899623,1.0,1.0,0.9934747145187601,0.9824324324324325,1.0
