test,num_obes
random--la102,0
random--la103,0
random--la108,0
random--la1017,0
random--la1018,0
random--la1020,0
random--la23,0
random--la24,0
random--la210,0
random--la211,0
random--la213,0
random--la214,0
random--la222,0
random--la35,0
random--la36,0
random--la310,0
random--la311,0
random--la318,0
random--la321,0
random--la323,0
random--la44,0
random--la56,0
random--la57,0
random--la58,0
random--la59,0
random--la517,0
random--la518,0
random--la520,0
random--la68,0
random--la614,0
random--la615,0
random--la616,0
random--la621,0
random--la622,0
random--la623,0
random--la625,0
random--la626,0
random--la72,0
random--la74,0
random--la75,0
random--la711,0
random--la716,0
random--la718,0
random--la84,0
random--la85,0
random--la813,0
random--la818,0
random--la819,0
random--la820,0
random--la821,0
random--la822,0
random--la92,0
random--la910,0
random--la912,0
random--la916,0
random--la917,0
random--la918,0
random--la921,0
random--la923,0
