road,random--la102,random--la103,random--la108,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la210,random--la211,random--la213,random--la214,random--la222,random--la35,random--la36,random--la310,random--la311,random--la318,random--la321,random--la323,random--la44,random--la56,random--la57,random--la58,random--la59,random--la517,random--la518,random--la520,random--la68,random--la614,random--la615,random--la616,random--la621,random--la622,random--la623,random--la625,random--la626,random--la72,random--la74,random--la75,random--la711,random--la716,random--la718,random--la84,random--la85,random--la813,random--la818,random--la819,random--la820,random--la821,random--la822,random--la92,random--la910,random--la912,random--la916,random--la917,random--la918,random--la921,random--la923
random--la102,1.0,0.7666666666666667,0.692929292929293,0.7142857142857144,0.7583333333333333,0.6654320987654321,0.7024691358024691,0.8571428571428572,0.7,0.8444444444444444,0.7333333333333334,0.6839506172839507,0.7362962962962963,0.7555555555555555,0.7777777777777778,0.7049382716049384,0.7296296296296296,0.6925925925925926,0.7981481481481482,0.7,0.7303703703703703,0.7058823529411765,0.7074074074074075,0.7333333333333334,0.6944444444444444,0.8027777777777778,0.7259259259259259,0.7049382716049383,0.7318518518518519,0.7755555555555556,0.7148148148148148,0.7172839506172839,0.7452991452991453,0.7878787878787878,0.722962962962963,0.7492063492063492,0.7303703703703703,0.712962962962963,0.8493827160493828,0.6962962962962962,0.7603174603174603,0.8133333333333334,0.6796296296296296,0.6938271604938272,0.6641975308641974,0.7348148148148148,0.7388888888888889,0.7071895424836602,0.7303703703703703,0.7084967320261437,0.737037037037037,0.7098765432098766,0.7555555555555555,0.6679012345679013,0.7365079365079366,0.7047619047619048,0.6851851851851851,0.7148148148148149,0.7277777777777777
random--la103,0.7666666666666667,1.0,0.7292929292929293,0.7018518518518517,0.7518518518518519,0.6907407407407407,0.7111111111111111,0.8031746031746032,0.7351851851851852,0.775,0.7827160493827161,0.6962962962962963,0.7074074074074074,0.7629629629629631,0.7061728395061728,0.7296296296296296,0.7296296296296296,0.6759259259259259,0.7,0.7074074074074075,0.6685185185185185,0.712962962962963,0.7203703703703703,0.8066666666666666,0.7203703703703703,0.6944444444444444,0.7518518518518519,0.6944444444444444,0.7777777777777778,0.7088888888888889,0.7388888888888889,0.7148148148148148,0.7537037037037038,0.7878787878787878,0.7222222222222223,0.7888888888888889,0.7425925925925927,0.6907407407407407,0.7728395061728395,0.6870370370370371,0.7203703703703703,0.88,0.7740740740740741,0.7074074074074075,0.7074074074074075,0.7462962962962962,0.7055555555555555,0.6814814814814816,0.7055555555555555,0.7018518518518518,0.7407407407407407,0.711111111111111,0.812962962962963,0.7055555555555555,0.75,0.6962962962962962,0.7444444444444445,0.7222222222222223,0.7981481481481482
random--la108,0.692929292929293,0.7292929292929293,1.0,0.7232323232323232,0.7636363636363637,0.6707070707070707,0.7434343434343434,0.7365079365079366,0.692929292929293,0.7250000000000001,0.8,0.7131313131313131,0.7333333333333334,0.7555555555555555,0.7061728395061728,0.6888888888888889,0.7474747474747474,0.7555555555555555,0.7414141414141414,0.7252525252525253,0.6747474747474748,0.7353535353535354,0.7151515151515151,0.7711111111111111,0.7474747474747474,0.7138888888888889,0.7030303030303031,0.7393939393939395,0.7111111111111112,0.7377777777777778,0.7717171717171717,0.7393939393939395,0.7696969696969698,0.7353535353535354,0.7757575757575758,0.7595959595959596,0.6848484848484848,0.7272727272727273,0.708641975308642,0.7272727272727273,0.7131313131313131,0.7155555555555556,0.8141414141414142,0.7454545454545455,0.6525252525252525,0.7070707070707071,0.7333333333333334,0.7373737373737375,0.7353535353535352,0.7212121212121212,0.7494949494949494,0.7313131313131314,0.6808080808080809,0.696969696969697,0.7595959595959596,0.6787878787878787,0.6868686868686869,0.6828282828282829,0.7171717171717171
random--la1017,0.7142857142857144,0.7018518518518517,0.7232323232323232,1.0,0.6984126984126984,0.7206349206349206,0.7158730158730159,0.7365079365079366,0.7206349206349206,0.7250000000000001,0.7382716049382716,0.719047619047619,0.7476190476190476,0.6833333333333333,0.7679012345679013,0.7253968253968255,0.7063492063492064,0.7148148148148148,0.6537037037037037,0.7555555555555555,0.7333333333333333,0.7396825396825396,0.692063492063492,0.7177777777777777,0.7148148148148148,0.7111111111111111,0.6555555555555557,0.7174603174603175,0.7222222222222223,0.7555555555555555,0.7206349206349207,0.6968253968253968,0.6803418803418804,0.6848484848484849,0.7031746031746032,0.7047619047619047,0.7444444444444445,0.7055555555555555,0.7604938271604939,0.7523809523809524,0.7253968253968255,0.8666666666666667,0.7296296296296296,0.7444444444444445,0.6444444444444445,0.753968253968254,0.7462962962962962,0.7190476190476192,0.6587301587301586,0.7682539682539682,0.7920634920634921,0.7174603174603176,0.7206349206349206,0.7269841269841271,0.6825396825396826,0.7174603174603175,0.6936507936507937,0.7063492063492064,0.7238095238095239
random--la1018,0.7583333333333333,0.7518518518518519,0.7636363636363637,0.6984126984126984,1.0,0.7,0.6875,0.7492063492063492,0.7083333333333334,0.7333333333333334,0.7407407407407407,0.7097222222222223,0.7214814814814814,0.7351851851851852,0.7259259259259259,0.7472222222222222,0.7305555555555556,0.711111111111111,0.6925925925925926,0.7166666666666667,0.7066666666666667,0.6930555555555555,0.7180555555555557,0.74,0.7166666666666666,0.7083333333333334,0.7148148148148149,0.7541666666666667,0.7377777777777778,0.7644444444444445,0.7361111111111112,0.6902777777777778,0.7076923076923077,0.7353535353535354,0.7437037037037038,0.788888888888889,0.7051851851851851,0.712962962962963,0.7481481481481482,0.6972222222222222,0.6571428571428573,0.6977777777777778,0.7148148148148148,0.6597222222222221,0.6861111111111111,0.7140740740740741,0.7722222222222223,0.7152777777777777,0.7051851851851851,0.7166666666666667,0.6902777777777778,0.7333333333333334,0.6902777777777778,0.6916666666666667,0.6873015873015873,0.6587301587301587,0.7250000000000001,0.7250000000000001,0.6638888888888889
random--la1020,0.6654320987654321,0.6907407407407407,0.6707070707070707,0.7206349206349206,0.7,1.0,0.717283950617284,0.8063492063492064,0.7625,0.7833333333333333,0.7777777777777778,0.7174603174603176,0.7125925925925927,0.7203703703703703,0.7555555555555555,0.7164021164021164,0.7386243386243387,0.8092592592592592,0.6833333333333333,0.7211111111111111,0.7733333333333334,0.7189542483660132,0.764021164021164,0.7666666666666666,0.7851851851851852,0.7083333333333333,0.7444444444444445,0.7134502923976608,0.7496296296296296,0.7644444444444445,0.7222222222222223,0.6910052910052911,0.8153846153846154,0.6707070707070708,0.6992592592592592,0.6619047619047619,0.717037037037037,0.7425925925925925,0.7185185185185186,0.7301587301587302,0.7523809523809524,0.768888888888889,0.7037037037037037,0.7192982456140351,0.7246913580246914,0.6918518518518518,0.7277777777777779,0.7411764705882353,0.7022222222222221,0.742483660130719,0.6994708994708995,0.6888888888888889,0.7111111111111111,0.7,0.7746031746031745,0.7158730158730159,0.7481481481481482,0.7502645502645503,0.7375
random--la23,0.7024691358024691,0.7111111111111111,0.7434343434343434,0.7158730158730159,0.6875,0.717283950617284,1.0,0.7396825396825397,0.7347222222222223,0.7416666666666667,0.8444444444444444,0.7987654320987654,0.7451851851851852,0.7314814814814814,0.7827160493827161,0.7333333333333334,0.7111111111111111,0.7314814814814814,0.6777777777777778,0.7185185185185186,0.7214814814814814,0.7398692810457517,0.7148148148148148,0.7822222222222222,0.7814814814814814,0.7000000000000001,0.7740740740740741,0.7271604938271605,0.7451851851851852,0.7311111111111112,0.6962962962962964,0.7432098765432098,0.7777777777777778,0.7454545454545455,0.7703703703703704,0.7333333333333334,0.725925925925926,0.7055555555555556,0.7506172839506173,0.7407407407407407,0.7587301587301587,0.8444444444444444,0.7444444444444445,0.7419753086419754,0.7024691358024692,0.7614814814814814,0.7833333333333333,0.6980392156862745,0.6814814814814816,0.7098039215686274,0.7135802469135804,0.7234567901234568,0.7490196078431373,0.7160493827160495,0.7253968253968255,0.7317460317460318,0.7333333333333334,0.7938271604938272,0.7375
random--la24,0.8571428571428572,0.8031746031746032,0.7365079365079366,0.7365079365079366,0.7492063492063492,0.8063492063492064,0.7396825396825397,1.0,0.7301587301587302,0.8222222222222222,0.7746031746031746,0.746031746031746,0.819047619047619,0.7841269841269842,0.7047619047619047,0.8317460317460317,0.6825396825396826,0.6825396825396826,0.8603174603174604,0.853968253968254,0.7682539682539682,0.6793650793650794,0.7206349206349206,0.7714285714285715,0.7269841269841271,0.8444444444444444,0.8095238095238095,0.7523809523809524,0.7841269841269842,0.8952380952380953,0.7333333333333334,0.8063492063492064,0.780952380952381,0.8380952380952381,0.7206349206349206,0.8285714285714285,0.8412698412698413,0.7777777777777778,0.8603174603174604,0.6888888888888889,0.7142857142857143,0.9511111111111111,0.7492063492063492,0.8126984126984127,0.765079365079365,0.8507936507936508,0.7841269841269841,0.8571428571428572,0.8793650793650793,0.7555555555555555,0.7904761904761906,0.7841269841269842,0.8984126984126984,0.7936507936507937,0.8095238095238095,0.7111111111111111,0.7682539682539682,0.7682539682539682,0.7269841269841271
random--la210,0.7,0.7351851851851852,0.692929292929293,0.7206349206349206,0.7083333333333333,0.7625,0.7347222222222223,0.7301587301587302,1.0,0.8444444444444444,0.7777777777777778,0.7666666666666667,0.7407407407407407,0.7407407407407407,0.8074074074074075,0.7722222222222221,0.7208333333333334,0.7333333333333334,0.7018518518518518,0.7222222222222223,0.7748148148148148,0.7930555555555556,0.7819444444444444,0.8288888888888889,0.7833333333333333,0.7861111111111111,0.7018518518518517,0.7430555555555556,0.802962962962963,0.7822222222222222,0.7444444444444445,0.7347222222222223,0.7811965811965812,0.7292929292929293,0.7407407407407407,0.707936507936508,0.7555555555555555,0.7592592592592592,0.7555555555555555,0.7916666666666667,0.7698412698412698,0.7288888888888889,0.7018518518518518,0.7152777777777779,0.7347222222222223,0.7762962962962963,0.725925925925926,0.6958333333333333,0.7096296296296296,0.7680555555555556,0.6958333333333333,0.7513888888888889,0.7458333333333333,0.7486111111111111,0.7523809523809524,0.6952380952380952,0.7111111111111111,0.7611111111111111,0.75
random--la211,0.8444444444444444,0.775,0.7250000000000001,0.7250000000000001,0.7333333333333334,0.7833333333333333,0.7416666666666667,0.8222222222222222,0.8444444444444444,1.0,0.8166666666666667,0.7694444444444445,0.8055555555555556,0.7972222222222223,0.7250000000000001,0.788888888888889,0.7833333333333333,0.775,0.7166666666666667,0.7805555555555556,0.7722222222222223,0.7722222222222223,0.7972222222222223,0.9083333333333333,0.7361111111111112,0.7972222222222223,0.7638888888888888,0.7611111111111111,0.8194444444444444,0.8166666666666667,0.7583333333333333,0.7972222222222223,0.8111111111111111,0.8083333333333333,0.7611111111111112,0.8222222222222222,0.7972222222222223,0.7944444444444445,0.8555555555555556,0.7416666666666667,0.7222222222222222,0.8,0.775,0.7333333333333334,0.7861111111111111,0.8,0.75,0.8222222222222222,0.7722222222222223,0.7583333333333333,0.7888888888888889,0.7861111111111111,0.7833333333333333,0.7250000000000001,0.7611111111111112,0.7611111111111111,0.75,0.7250000000000001,0.7416666666666667
