road,random--la102,random--la103,random--la108,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la210,random--la211,random--la213,random--la214,random--la222,random--la35,random--la36,random--la310,random--la311,random--la318,random--la321,random--la323,random--la44,random--la56,random--la57,random--la58,random--la59,random--la517,random--la518,random--la520,random--la68,random--la614,random--la615,random--la616,random--la621,random--la622,random--la623,random--la625,random--la626,random--la72,random--la74,random--la75,random--la711,random--la716,random--la718,random--la84,random--la85,random--la813,random--la818,random--la819,random--la820,random--la821,random--la822,random--la92,random--la910,random--la912,random--la916,random--la917,random--la918,random--la921,random--la923
random--la102,0.0,27377.381808009668,35441.12581549885,12096.218600085418,12834.401648595069,24306.122916046246,12648.806210133254,50310.22432997371,17722.151224183035,59630.80724610799,29190.234600500306,7479.968263390259,8719.122931702852,58512.99319566658,130381.27834614833,24411.25455011371,9848.130457571011,45898.673438167,13867.171882888228,9480.171379780892,37902.181064415185,12410.808733422917,8402.00757059025,28002.87528032041,37348.16015403638,28797.723123798543,41622.88996112099,7456.356415749994,16952.471147736207,49596.14310309447,9318.405265402485,7177.745116878338,40316.76161084317,17964.618333424707,21655.963450539286,7121.3513231566785,12353.324061613699,42441.170724979085,46941.16424333025,17862.048504581722,16640.75824241682,88846.88966331354,24897.254514507502,14492.97238498031,12138.166251338673,41787.93322590147,22316.98991024958,15096.674024822467,10511.303692868893,13373.518123570919,14418.604715714288,18402.844478145955,14003.041312641924,8682.232703493917,8260.178174606792,10442.460433936678,16790.74385592029,9870.509422440184,18570.886218736774
random--la103,27377.381808009668,0.0,4380.933598616257,14209.305094189187,9167.603107744291,7154.565109641568,10018.22976664888,7725.483289410409,8939.36084270887,11075.027666962153,4726.853154014787,26452.91779523776,19459.233026905167,11185.236147536163,49831.602106101476,78580.53948417057,14437.372167875532,6493.491118140294,9907.804561908133,32878.926877945174,6725.011680667146,12576.758716462316,29851.262591333765,4175.927596673556,4795.508244237814,5102.441330021544,6820.837588537016,25566.924749797156,10550.315349779949,9304.116923026952,16979.438852816307,21269.238164501636,5433.838562044105,9131.651409133166,7492.4607687520265,17668.28159728685,11066.107252372836,7575.596099104534,7877.657023956394,6271.564806501379,8558.706293278681,26105.834494627503,4420.778920643474,51271.491569273916,12614.662543934941,6149.00470462323,6206.562414736631,7188.699249115771,14335.041087135169,8817.271065671373,53657.2034765018,58440.49289351405,11097.40614113991,32925.253775721125,18766.775153542792,14829.474035721887,7839.064351267512,23338.551405058384,8235.197576790568
random--la108,35441.12581549885,4380.933598616257,0.0,19934.625485949906,13165.484362729885,7649.889622887053,14632.550644668621,3917.5019065714823,12696.216480302564,6969.502593865371,4064.939673348933,33363.82460837167,27214.24770585457,7588.392659924024,37218.216962787934,93993.77777643534,21461.093531392773,4550.550321402543,14379.771751189444,41157.10891785962,5108.975370109815,17722.11829357199,38442.84113691701,4306.526501127808,3821.8612299695815,3520.904887610142,4871.253836283438,33295.626562129524,12953.140881394247,6201.685863749434,25223.79607590402,28984.28382112504,3838.3071813213983,11178.218813886147,8652.658281581986,23858.833600794576,15713.067037129882,5668.6603435955785,4699.584463662432,8365.825008504307,12544.507664983486,17940.476265112033,5382.561968418587,65380.10541487298,17901.243391302272,5445.684352351977,6835.648882815944,9502.314873152438,20355.805394600528,13840.366944276659,67170.26654825296,73142.94237947652,15276.038853693773,42596.3766606308,25567.006421902483,21488.544077508966,9217.542425836162,30849.034323675383,9505.361164314148
random--la1017,12096.218600085418,14209.305094189187,19934.625485949906,0.0,7903.129453069668,12055.649994168954,7027.908482005921,28628.761792002533,6983.733088383773,34918.43726619648,14365.34160660362,9511.15095436282,7716.179228492,34189.20089315384,94762.77344501817,38556.12111061768,6837.999269101896,25351.84490374334,5276.290704571155,12085.888307215217,21374.33764765561,7317.845060521448,11393.365722601737,14329.556235666862,19068.272661221952,14138.863758292735,23783.62665210618,11073.209205568879,7297.8170985597835,28787.66245497535,7947.697724694139,8148.447036227422,20998.119745541553,7251.552752377338,8900.492368752193,6534.386624284184,5728.557306473829,24002.17344246311,26711.016950750603,10898.44518931546,7006.889508134118,59035.86949504004,11187.313732321416,23075.085773111907,7933.6846349177895,23645.656634403505,9285.312418189505,8996.56667560047,5380.865748665378,6973.932768612532,25560.99163196268,26614.962128028015,5492.94144555819,13225.113151866675,8014.571856089766,5717.2626909740175,9545.200292456304,9531.890429696316,8206.324022101393
random--la1018,12834.401648595069,9167.603107744291,13165.484362729885,7903.129453069668,0.0,10360.330549410632,5273.741828998181,21154.566235587747,7554.393133704484,26146.140903623895,11273.88052119462,12631.762481414675,8521.886229958172,26783.198939566355,79633.86185357325,47347.69434785174,7533.184244555755,18624.707656625244,6113.513811067646,16826.06567138097,14990.854243576327,7356.433355907289,12978.26293447307,10260.531134542309,14323.389963014077,10558.515983799649,16852.975949903263,11169.228347231116,6819.825087806665,21664.2995615842,7432.190359971267,9417.907487489265,15186.95070151473,7712.170465044127,7458.707261504304,6106.355736006519,5422.048082868175,17843.919472605845,21172.846331943638,7102.742354818694,6784.588111257044,48962.822609794595,7386.4277321433,30457.967113491042,6832.073062325521,16835.047076999086,8574.104911042006,5692.698378831437,7613.647038910884,6186.657377538096,29470.45885292159,33972.2293015159,7592.707086092943,15526.789311243605,8940.772899138165,7959.695093209095,6739.647390865436,10989.391511046799,7035.046914673566
random--la1020,24306.122916046246,7154.565109641568,7649.889622887053,12055.649994168954,10360.330549410632,0.0,11468.913852726864,11297.891269775724,7168.983030214596,15642.430487266887,7008.440661734468,22739.194935137748,17999.826033873043,13763.923331877097,56355.73190655836,72185.67964874828,13534.004210906875,9733.330139312977,10592.882073469102,30484.837296061432,9456.73217505974,13454.463593815188,25790.458953597637,7231.369146719226,7095.095709164942,6367.520410049668,8322.104128816862,21601.162236248998,9157.668890474913,10081.545515673393,16385.773818795853,19442.642929824837,9642.984938834046,7718.259971930017,7211.873253123262,15734.05594569242,10072.045754814339,9371.947154415653,10151.178798170846,7121.809775225158,7247.924759923316,29298.90394561778,5663.598305559067,47184.564543457294,11535.328231056876,10844.44444064183,5530.750357947447,8148.4177375560885,12979.919688731508,9563.635069132797,49628.15247735265,52012.101412493445,9902.715564213839,30769.604916104494,15943.75705639889,12806.00568409026,6975.653084009731,19934.575933955486,7185.589800951926
random--la23,12648.806210133254,10018.22976664888,14632.550644668621,7027.908482005921,5273.741828998181,11468.913852726864,0.0,23595.27818077662,6084.306742867796,28196.836726716254,10523.217049217654,12942.00081221302,10481.937084337731,28472.13249451796,84087.2249285596,46305.532285837195,7418.523183018204,20221.613616071543,5657.020269705461,14606.70631639707,18650.571370819303,6257.365911980349,13412.395921849113,9563.585260912843,16095.628264941934,11414.163066798314,19596.735607406397,11740.961130543223,7360.002236989996,23892.908904916967,7057.978768958801,10726.313337953356,17913.66327076958,9719.783698633053,8045.013329123363,7843.743142833758,5004.9955398728835,20425.885718593916,21620.478722435397,8492.11297909024,7663.814127410526,50902.506629021416,8902.171427537058,30179.290942209802,8822.968720140623,17408.47499035741,8016.492452904064,7462.263420246121,7850.313899888973,5639.546919698886,30202.14263491065,32587.358316374095,5494.79807277428,15472.349656299926,10798.87255551965,7544.294064497143,7908.648791190933,11116.000558555452,7506.428271214752
random--la24,50310.22432997371,7725.483289410409,3917.5019065714823,28628.761792002533,21154.566235587747,11297.891269775724,23595.27818077662,0.0,18355.835772672453,3037.074347137313,6146.7151631226125,47360.98380128881,39287.6176294387,3388.606906830215,24014.87190874038,116830.11036195536,31698.555590697273,2587.8091818763187,23032.188016017208,57715.52952354374,6116.163574882304,27211.42267713559,53144.13315612808,7685.039753689083,4065.183858742788,7126.896507714106,4879.639446688944,47063.95841063893,20288.184855667656,3489.0597291016957,36277.66553011685,41615.56527826583,3806.332748064223,16477.10459101493,13318.604886288009,35123.666600442215,23813.267532600017,4959.053999551157,2904.0108758029423,14335.744783793789,19438.131811923377,9201.091380193899,8897.031449650698,84642.84781600996,26256.70438205279,5081.177249823632,11248.504468704323,17640.205328259482,30905.410984948994,21573.566019334972,86181.12555306811,92581.84568682432,23257.631166666804,58756.84851569728,36758.06669938015,31330.7960547598,15676.294870977907,43401.61998647411,15822.102347846077
random--la210,17722.151224183035,8939.36084270887,12696.216480302564,6983.733088383773,7554.393133704484,7168.983030214596,6084.306742867796,18355.835772672453,0.0,22490.937554506003,9044.632994826678,15815.22004454754,12549.155028483108,21245.452064301193,71021.9334496531,56948.98466428044,10094.082467127353,15007.721893284997,6044.031428137564,21144.435276151613,14350.629050744485,10041.006438152705,19041.16367902659,8879.008262023348,12588.383095370127,9274.49657088838,13060.142079054898,14448.027633911051,7232.46877955347,17801.59320525896,9659.088363677394,13570.203815650077,13650.492143006726,6779.694555453906,6057.723359599881,9886.25971218977,6891.914134956742,13357.648345584072,15973.0995146572,7841.885671388478,6871.811996980815,39378.7170290903,7331.075640751497,37497.25941763114,7440.9160547700285,13074.087877086413,6268.011802317636,7643.555300955209,10233.76288823078,6177.436263397076,37215.42817596711,39671.042019938184,5775.475579181878,21949.993297214194,11847.362022419538,8013.724835069677,6271.4119846739495,13224.963469152714,5294.442598574082
random--la211,59630.80724610799,11075.027666962153,6969.502593865371,34918.43726619648,26146.140903623895,15642.430487266887,28196.836726716254,3037.074347137313,22490.937554506003,0.0,9746.065614528632,55711.455075974525,45768.67678968803,3810.724120648731,19819.12564023396,129776.25103983287,38577.87962522611,4552.684445730448,29026.987160592053,65948.76897631124,7591.819960657824,32822.34419500702,61783.190992595824,11025.90736623677,6739.85774822178,10342.88669246246,5416.29995173704,55519.484853763,24471.87889971857,4717.22637959597,43284.4252881545,49575.77889597427,5395.788320737024,21164.103577826172,16741.79445161365,42050.69843237802,30137.405816544775,5196.615774888793,4618.307168488086,19455.13307082531,23678.79389009772,7789.763010469594,13070.318539910864,95528.74176816046,31552.141189196856,6466.485357747357,15533.102769959736,22626.845954776618,37714.647023365535,26923.799922907652,96545.57721006653,103237.41786783912,29198.685251300834,67241.20659179395,44764.49292892472,37925.50582758161,20644.114246463672,50825.345814082466,20692.917833466912
