road,random--la102,random--la103,random--la108,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la210,random--la211,random--la213,random--la214,random--la222,random--la35,random--la36,random--la310,random--la311,random--la318,random--la321,random--la323,random--la44,random--la56,random--la57,random--la58,random--la59,random--la517,random--la518,random--la520,random--la68,random--la614,random--la615,random--la616,random--la621,random--la622,random--la623,random--la625,random--la626,random--la72,random--la74,random--la75,random--la711,random--la716,random--la718,random--la84,random--la85,random--la813,random--la818,random--la819,random--la820,random--la821,random--la822,random--la92,random--la910,random--la912,random--la916,random--la917,random--la918,random--la921,random--la923
random--la102,1.0,0.7734375,0.80078125,0.82421875,0.83984375,0.8671875,0.84375,0.77734375,0.83203125,0.80859375,0.81640625,0.83984375,0.83203125,0.8046875,0.84375,0.8515625,0.84765625,0.7890625,0.83203125,0.81640625,0.8125,0.80078125,0.84765625,0.82421875,0.765625,0.796875,0.80859375,0.84375,0.7890625,0.8125,0.86328125,0.8515625,0.80078125,0.81640625,0.81640625,0.83203125,0.7734375,0.80078125,0.76953125,0.8671875,0.8359375,0.734375,0.7890625,0.8203125,0.80859375,0.8203125,0.79296875,0.8515625,0.84765625,0.84765625,0.83203125,0.8359375,0.80859375,0.84765625,0.8359375,0.79296875,0.83203125,0.8515625,0.83984375
random--la103,0.7734375,1.0,0.77734375,0.80078125,0.83203125,0.8125,0.8125,0.79296875,0.79296875,0.77734375,0.80078125,0.80859375,0.79296875,0.8515625,0.796875,0.828125,0.79296875,0.84375,0.80859375,0.82421875,0.828125,0.81640625,0.81640625,0.80078125,0.828125,0.8046875,0.83203125,0.8359375,0.7734375,0.796875,0.83203125,0.796875,0.82421875,0.83203125,0.83203125,0.83203125,0.828125,0.75390625,0.81640625,0.828125,0.8125,0.796875,0.84375,0.796875,0.80078125,0.828125,0.81640625,0.8125,0.80078125,0.80078125,0.84765625,0.8515625,0.78515625,0.81640625,0.8359375,0.80078125,0.83203125,0.8203125,0.80859375
random--la108,0.80078125,0.77734375,1.0,0.828125,0.8671875,0.81640625,0.80078125,0.84375,0.8203125,0.8125,0.796875,0.8203125,0.859375,0.82421875,0.80078125,0.80078125,0.828125,0.82421875,0.8125,0.8203125,0.83984375,0.78125,0.8125,0.7890625,0.81640625,0.83984375,0.8046875,0.80078125,0.76171875,0.80078125,0.8203125,0.83203125,0.8359375,0.8125,0.78125,0.8515625,0.81640625,0.78125,0.8125,0.83203125,0.80859375,0.80859375,0.81640625,0.83203125,0.796875,0.80859375,0.7890625,0.83203125,0.828125,0.796875,0.84375,0.81640625,0.796875,0.8671875,0.82421875,0.8515625,0.8125,0.81640625,0.8125
random--la1017,0.82421875,0.80078125,0.828125,1.0,0.84375,0.82421875,0.83984375,0.8046875,0.828125,0.8515625,0.84375,0.828125,0.8203125,0.83203125,0.83203125,0.81640625,0.8203125,0.80078125,0.7890625,0.8046875,0.83203125,0.8125,0.796875,0.796875,0.85546875,0.81640625,0.7890625,0.84765625,0.79296875,0.84765625,0.84375,0.80859375,0.8515625,0.828125,0.796875,0.8359375,0.83203125,0.7734375,0.8515625,0.81640625,0.84765625,0.80859375,0.82421875,0.79296875,0.84375,0.81640625,0.859375,0.81640625,0.828125,0.84375,0.84375,0.81640625,0.8671875,0.8515625,0.83203125,0.875,0.7890625,0.82421875,0.8515625
random--la1018,0.83984375,0.83203125,0.8671875,0.84375,1.0,0.87890625,0.83203125,0.84375,0.8671875,0.859375,0.859375,0.875,0.8359375,0.84765625,0.83203125,0.81640625,0.8671875,0.86328125,0.84375,0.8359375,0.88671875,0.8359375,0.84375,0.84375,0.84765625,0.83984375,0.859375,0.81640625,0.83984375,0.85546875,0.8671875,0.84765625,0.875,0.8828125,0.859375,0.9140625,0.86328125,0.828125,0.84375,0.88671875,0.85546875,0.82421875,0.87109375,0.83203125,0.8125,0.86328125,0.8515625,0.86328125,0.859375,0.890625,0.890625,0.86328125,0.8125,0.8828125,0.85546875,0.84375,0.84375,0.85546875,0.875
random--la1020,0.8671875,0.8125,0.81640625,0.82421875,0.87890625,1.0,0.8515625,0.80078125,0.83984375,0.83984375,0.83203125,0.87890625,0.84765625,0.859375,0.8203125,0.8359375,0.90234375,0.828125,0.83203125,0.83203125,0.8515625,0.85546875,0.89453125,0.85546875,0.828125,0.859375,0.83203125,0.8515625,0.8359375,0.8359375,0.86328125,0.8828125,0.86328125,0.83984375,0.85546875,0.84765625,0.8359375,0.82421875,0.82421875,0.90625,0.8203125,0.7734375,0.8125,0.8515625,0.85546875,0.859375,0.82421875,0.8671875,0.84765625,0.86328125,0.87890625,0.890625,0.82421875,0.84765625,0.890625,0.82421875,0.83203125,0.8671875,0.87109375
random--la23,0.84375,0.8125,0.80078125,0.83984375,0.83203125,0.8515625,1.0,0.80078125,0.83984375,0.83984375,0.82421875,0.83984375,0.83984375,0.8515625,0.8359375,0.828125,0.84765625,0.8046875,0.80078125,0.83203125,0.8515625,0.84765625,0.83203125,0.86328125,0.8046875,0.828125,0.82421875,0.828125,0.796875,0.8125,0.83984375,0.84375,0.83203125,0.80859375,0.84765625,0.82421875,0.8125,0.79296875,0.85546875,0.828125,0.8203125,0.765625,0.7890625,0.8203125,0.84765625,0.8125,0.82421875,0.796875,0.83984375,0.80859375,0.83984375,0.8359375,0.83203125,0.83984375,0.8359375,0.81640625,0.88671875,0.828125,0.83984375
random--la24,0.77734375,0.79296875,0.84375,0.8046875,0.84375,0.80078125,0.80078125,1.0,0.84375,0.84375,0.828125,0.78125,0.796875,0.82421875,0.87890625,0.79296875,0.8203125,0.85546875,0.796875,0.8046875,0.85546875,0.7890625,0.78125,0.8515625,0.83984375,0.85546875,0.8203125,0.82421875,0.82421875,0.85546875,0.828125,0.79296875,0.8515625,0.8359375,0.8046875,0.8515625,0.89453125,0.796875,0.8515625,0.79296875,0.82421875,0.89453125,0.82421875,0.81640625,0.7734375,0.80859375,0.8671875,0.81640625,0.78125,0.828125,0.8359375,0.82421875,0.8359375,0.84375,0.79296875,0.859375,0.7890625,0.82421875,0.796875
random--la210,0.83203125,0.79296875,0.8203125,0.828125,0.8671875,0.83984375,0.83984375,0.84375,1.0,0.8828125,0.8515625,0.8515625,0.8671875,0.86328125,0.85546875,0.84765625,0.859375,0.83203125,0.8203125,0.8046875,0.83984375,0.8515625,0.8125,0.8515625,0.84765625,0.83984375,0.8359375,0.84765625,0.83203125,0.87109375,0.859375,0.82421875,0.875,0.8359375,0.84375,0.8515625,0.84765625,0.84375,0.8515625,0.82421875,0.87890625,0.79296875,0.83984375,0.85546875,0.8203125,0.81640625,0.859375,0.83203125,0.8359375,0.8671875,0.8515625,0.86328125,0.859375,0.859375,0.83984375,0.828125,0.84375,0.83203125,0.8828125
random--la211,0.80859375,0.77734375,0.8125,0.8515625,0.859375,0.83984375,0.83984375,0.84375,0.8828125,1.0,0.8515625,0.859375,0.828125,0.83203125,0.83203125,0.81640625,0.8125,0.86328125,0.7890625,0.796875,0.84765625,0.828125,0.8515625,0.8359375,0.87109375,0.87109375,0.828125,0.85546875,0.84765625,0.90234375,0.8671875,0.86328125,0.921875,0.859375,0.8671875,0.8359375,0.90234375,0.84375,0.84375,0.81640625,0.88671875,0.83984375,0.85546875,0.80078125,0.8125,0.81640625,0.8984375,0.81640625,0.8359375,0.875,0.8359375,0.83984375,0.8359375,0.84375,0.87109375,0.84375,0.796875,0.83203125,0.9140625
random--la213,0.81640625,0.80078125,0.796875,0.84375,0.859375,0.83203125,0.82421875,0.828125,0.8515625,0.8515625,1.0,0.8125,0.8515625,0.83984375,0.85546875,0.80859375,0.8515625,0.85546875,0.796875,0.8203125,0.87109375,0.8515625,0.7890625,0.8359375,0.83984375,0.84765625,0.84375,0.80859375,0.83984375,0.83984375,0.828125,0.81640625,0.84375,0.8515625,0.8203125,0.875,0.84765625,0.796875,0.8515625,0.81640625,0.83203125,0.80859375,0.83203125,0.79296875,0.8359375,0.81640625,0.84375,0.80859375,0.8515625,0.8671875,0.859375,0.84765625,0.828125,0.84375,0.82421875,0.828125,0.8125,0.82421875,0.859375
random--la214,0.83984375,0.80859375,0.8203125,0.828125,0.875,0.87890625,0.83984375,0.78125,0.8515625,0.859375,0.8125,1.0,0.8359375,0.82421875,0.80859375,0.83203125,0.8515625,0.83203125,0.796875,0.7890625,0.83203125,0.8203125,0.859375,0.7890625,0.85546875,0.85546875,0.8125,0.83984375,0.82421875,0.83984375,0.8828125,0.89453125,0.875,0.8515625,0.8515625,0.8671875,0.84765625,0.828125,0.8046875,0.86328125,0.83984375,0.76953125,0.81640625,0.81640625,0.84375,0.81640625,0.84375,0.83203125,0.8515625,0.8359375,0.859375,0.87890625,0.8359375,0.8828125,0.87890625,0.796875,0.84375,0.82421875,0.90625
random--la222,0.83203125,0.79296875,0.859375,0.8203125,0.8359375,0.84765625,0.83984375,0.796875,0.8671875,0.828125,0.8515625,0.8359375,1.0,0.86328125,0.82421875,0.82421875,0.8359375,0.83203125,0.796875,0.8203125,0.84765625,0.8359375,0.8203125,0.8203125,0.80078125,0.84765625,0.8203125,0.81640625,0.79296875,0.80078125,0.8359375,0.84765625,0.8203125,0.8359375,0.84375,0.8515625,0.80078125,0.796875,0.8125,0.84765625,0.81640625,0.76171875,0.80078125,0.84765625,0.8359375,0.82421875,0.796875,0.82421875,0.8046875,0.84375,0.859375,0.88671875,0.8203125,0.828125,0.83984375,0.8203125,0.84375,0.82421875,0.8671875
random--la35,0.8046875,0.8515625,0.82421875,0.83203125,0.84765625,0.859375,0.8515625,0.82421875,0.86328125,0.83203125,0.83984375,0.82421875,0.86328125,1.0,0.8203125,0.84375,0.84765625,0.8359375,0.83984375,0.82421875,0.875,0.85546875,0.83203125,0.83984375,0.828125,0.8515625,0.86328125,0.828125,0.8203125,0.8359375,0.84765625,0.8203125,0.83203125,0.85546875,0.84765625,0.83984375,0.8359375,0.76953125,0.84765625,0.828125,0.828125,0.7890625,0.8203125,0.8359375,0.84765625,0.84375,0.83984375,0.828125,0.81640625,0.83203125,0.85546875,0.8671875,0.83203125,0.83203125,0.8359375,0.83984375,0.83984375,0.828125,0.85546875
random--la36,0.84375,0.796875,0.80078125,0.83203125,0.83203125,0.8203125,0.8359375,0.87890625,0.85546875,0.83203125,0.85546875,0.80859375,0.82421875,0.8203125,1.0,0.796875,0.83984375,0.8359375,0.80078125,0.80078125,0.84375,0.80859375,0.78515625,0.84765625,0.8203125,0.8359375,0.83203125,0.8203125,0.8046875,0.8359375,0.82421875,0.8046875,0.83203125,0.81640625,0.80859375,0.85546875,0.8359375,0.78515625,0.84765625,0.8125,0.8515625,0.8125,0.8046875,0.8046875,0.82421875,0.828125,0.83203125,0.828125,0.80078125,0.85546875,0.83203125,0.8359375,0.89453125,0.83203125,0.8046875,0.82421875,0.81640625,0.8515625,0.83984375
random--la310,0.8515625,0.828125,0.80078125,0.81640625,0.81640625,0.8359375,0.828125,0.79296875,0.84765625,0.81640625,0.80859375,0.83203125,0.82421875,0.84375,0.796875,1.0,0.84765625,0.8125,0.83984375,0.83984375,0.828125,0.81640625,0.85546875,0.80078125,0.796875,0.8359375,0.85546875,0.875,0.796875,0.8125,0.87109375,0.859375,0.80859375,0.83984375,0.83203125,0.83984375,0.7890625,0.79296875,0.78515625,0.8359375,0.8203125,0.7734375,0.8046875,0.84375,0.83203125,0.828125,0.81640625,0.8359375,0.86328125,0.81640625,0.83984375,0.828125,0.80859375,0.84765625,0.8515625,0.80859375,0.82421875,0.8203125,0.86328125
random--la311,0.84765625,0.79296875,0.828125,0.8203125,0.8671875,0.90234375,0.84765625,0.8203125,0.859375,0.8125,0.8515625,0.8515625,0.8359375,0.84765625,0.83984375,0.84765625,1.0,0.82421875,0.859375,0.84375,0.85546875,0.8359375,0.8515625,0.8359375,0.80859375,0.85546875,0.8515625,0.81640625,0.83984375,0.81640625,0.84375,0.84765625,0.8359375,0.828125,0.8203125,0.84375,0.80859375,0.8046875,0.8203125,0.84765625,0.80078125,0.75390625,0.80859375,0.83203125,0.8359375,0.81640625,0.8125,0.82421875,0.84375,0.828125,0.8671875,0.86328125,0.8359375,0.828125,0.85546875,0.8203125,0.84375,0.84765625,0.859375
random--la318,0.7890625,0.84375,0.82421875,0.80078125,0.86328125,0.828125,0.8046875,0.85546875,0.83203125,0.86328125,0.85546875,0.83203125,0.83203125,0.8359375,0.8359375,0.8125,0.82421875,1.0,0.80078125,0.80859375,0.84375,0.82421875,0.83984375,0.83984375,0.84375,0.890625,0.84765625,0.8046875,0.8515625,0.875,0.86328125,0.8359375,0.86328125,0.90234375,0.87890625,0.87109375,0.8828125,0.78515625,0.83984375,0.828125,0.8359375,0.8671875,0.859375,0.8125,0.82421875,0.84375,0.87109375,0.8203125,0.81640625,0.84765625,0.87890625,0.8359375,0.81640625,0.83984375,0.84375,0.83203125,0.83203125,0.8203125,0.88671875
