road,random--la102,random--la103,random--la108,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la210,random--la211,random--la213,random--la214,random--la222,random--la35,random--la36,random--la310,random--la311,random--la318,random--la321,random--la323,random--la44,random--la56,random--la57,random--la58,random--la59,random--la517,random--la518,random--la520,random--la68,random--la614,random--la615,random--la616,random--la621,random--la622,random--la623,random--la625,random--la626,random--la72,random--la74,random--la75,random--la711,random--la716,random--la718,random--la84,random--la85,random--la813,random--la818,random--la819,random--la820,random--la821,random--la822,random--la92,random--la910,random--la912,random--la916,random--la917,random--la918,random--la921,random--la923
random--la102,0.0,2159.4745892865053,2393.8405712778545,3344.425570506975,2554.300065833072,2688.1169375336635,2541.8592423571777,4303.486201299702,2743.422195165262,3232.0115774978635,3158.333245943333,2446.962675483694,2807.75076962723,2855.1432817358595,2740.0648772599884,3397.937025435802,1809.2585138897296,2501.6708256500865,2234.5123193209038,2333.6812321354873,2391.331530040927,3105.522363275292,2777.718896158021,2337.608240558007,3076.9968781997645,2067.4446548296632,3403.6823076973155,2137.5455410100913,3552.620408686827,3404.7906641993313,2584.1966546248286,2025.77921918094,2870.294311494861,2607.4733922088776,2089.0397327315072,2574.8989384470806,4743.776098033146,2663.7532856788625,3767.2166812064943,2122.5348057227857,3269.659378661778,4648.827320390495,2663.3252270179564,3416.203252582838,2840.6356565793776,2743.355174717272,3882.101573493528,2185.85028474765,3759.7780490115288,3929.476095297549,2414.8338344111526,2539.5809945967744,3061.93491247871,2778.7746972529835,1920.5032193938478,2539.5873429400635,2195.130982235043,2089.9591337623847,1806.6583169907233
random--la103,2159.4745892865053,0.0,1076.6213534082694,1732.0476430022934,1505.1168218172602,1908.446980781733,2081.447056156189,1520.033747038282,2221.0307690909003,1686.9959393807103,1655.5710055894197,1401.4461171561431,2888.0800891948684,1152.2139513365164,1381.439048010481,2761.8450614559197,1324.4202766570327,993.016692899491,1305.2800438335883,2004.9495046074755,1518.5284554106815,2196.8847090745144,2514.0938842010974,1258.1086532392533,1328.1874891121047,1183.3224765053437,1944.2434503674006,2187.380605515303,2174.014703181758,1834.2951640041708,1618.4845203995274,2134.2018498703474,1433.8498633210736,1278.5118978505943,1702.2350795537104,1515.1941448290613,2128.707357681365,2887.93458663369,1734.1858358389213,2009.2119844901015,1847.7859666949812,1969.9655030462106,1500.3742001770208,2233.1091020067547,3145.629603813267,1880.90465036126,1947.7079454647267,1427.986152311994,1603.6816512976754,1858.9910088322692,2618.7312374309654,2501.5658105100574,1926.721484674237,1856.9792691215641,2110.433767615296,1402.1170496773923,2088.178775977517,1855.232447138524,1774.5929966048564
random--la108,2393.8405712778545,1076.6213534082694,0.0,1922.9453001458435,1341.7598724973946,2175.5293489368873,1918.9045099397467,1427.5045465712117,2228.2663485434755,1466.8293899841237,1306.6926739022638,1758.8275447877675,2327.181957876527,1469.1212296533909,790.6280511975904,3227.591897840559,1414.475997218645,890.5973198819484,1244.388736493452,1673.547099329887,1411.0117460320512,2676.7884734967074,2847.96460361575,1435.6405528197247,1270.7775300586873,946.3768613291538,1674.179438110167,1972.7988360318013,2451.654869129775,1471.7959386397752,1402.4284160401942,2051.6700708782055,1502.4741419630438,1461.9340534979174,1607.7870431417023,1205.680301275096,2070.5880335561355,1980.992597610298,1401.080013543129,2282.967255100863,1576.1238457651775,1811.946779207888,1251.2241615118637,1941.312049582765,2344.194998823924,1895.5512222910713,1868.6726025844857,1448.841558020299,1576.6708804660848,1788.7196417257476,1850.3539933307884,2131.1017826285183,2437.0718861581777,1404.641905454615,1699.1490142778025,1503.4182518548128,1425.4775864709147,2016.8013959542188,1538.095054837834
random--la1017,3344.425570506975,1732.0476430022934,1922.9453001458435,0.0,1786.6201845047658,1780.893103793107,1635.6215585280381,2117.021149888463,1349.277752151213,1294.653392164137,1825.7089745048895,1898.2710528314628,2347.3160060261557,2186.199196554836,1292.747497004321,2662.8922525641115,2141.9874704847352,1644.3091386500523,2254.209552934268,2022.9282509083653,1586.6100983762537,1865.1582668818423,3146.8725694072955,1698.6369179035132,2310.265417786611,1714.0832411596855,2377.87185719958,1883.1278553817856,1787.6643077190954,1916.5952386080437,1373.1333097679662,2024.4782852263497,1757.7202455181005,1413.0472573116376,1889.8612918215465,1766.1131026268686,2225.6015676669167,2250.456397976692,1453.2593884790258,2434.3041876311595,1485.5912442564581,2058.0143752424133,2042.6258034589498,2405.8506787764036,2252.618374993766,1824.4867799318376,1879.025609560273,1938.4315244003935,2062.812896346137,2000.4327655016186,3120.309454199797,2216.497032363601,1711.5884645397425,1931.2191607870438,2443.106853624171,1338.9718015500325,2615.785164315478,2004.303177977609,1825.6335968420838
random--la1018,2554.300065833072,1505.1168218172602,1341.7598724973946,1786.6201845047658,0.0,2230.0185851467922,1448.4743581947475,2550.723040465952,2121.9212784544857,1530.790294946955,2051.597671350455,1484.1483677658848,2471.143039869135,1685.8429064248837,1434.7381011031782,3088.3799042515843,1432.4593821412097,1407.8033597860838,1608.1521188977313,2293.4449637515627,896.4736462416652,2234.6515574042264,2686.2544086961516,1512.2184909896275,2071.757301774618,1464.4247387322146,2119.440618840475,2205.887305745068,2308.0776760680806,1796.5491101915761,1705.3883458191187,2061.588143265975,1611.4667184798673,2041.179348195451,2177.086385763338,1082.1305707541935,2618.8599632010637,2591.706967771253,2150.7514581209875,2123.496273343799,1284.4934343742116,2872.848991578783,862.0842115349114,2577.1525599600864,3011.9733882075852,2417.7995421622204,2735.427945603022,1796.2455706596652,2217.5011902071665,1953.0950114648583,2331.4651039321507,2716.470653662389,2293.307055582619,1351.8834124133084,1779.7023806810298,1889.474677350653,2240.1809888823614,2542.9489594323823,1860.2564301754308
random--la1020,2688.1169375336635,1908.446980781733,2175.5293489368873,1780.893103793107,2230.0185851467922,0.0,1947.281683898399,3084.622110827899,2007.090633761378,1852.3285333870426,2629.5051006550493,1825.4670740657373,2261.5985857072174,1998.0476235682877,1687.0403133578682,1625.8933134758272,1657.1129245832628,2035.1397955360665,2416.2372204832036,2475.6240132950425,1886.004406780619,2286.4453741201737,2362.817240587895,1990.1026964501525,2770.4218755509974,2506.513565241041,2456.69144800408,2057.550356444193,2304.9827702936827,1993.1828831054977,1289.4349309612155,1085.0133127737745,2143.260314230231,2696.2366488292205,2184.580217596185,2337.5404502537363,2306.4136450650044,1863.8219947376617,2308.924204430201,1577.0271861895662,1528.9627858656777,2781.414590676871,2006.9586772617813,1896.5538328757812,2336.6944135857275,2314.3446271511916,2685.9829175295267,1800.6465351048266,2208.7399731386718,2125.0573528240457,2583.919694077515,1540.7608582563328,2853.5421692213617,1897.7500679650923,2448.17229915694,2198.6963035764807,2612.058431026228,2057.87212254951,1779.9749235596082
random--la23,2541.8592423571777,2081.447056156189,1918.9045099397467,1635.6215585280381,1448.4743581947475,1947.281683898399,0.0,2941.227606394598,1684.316929277296,1864.1521692489941,1652.0095744740654,1661.2131540197877,2581.383040700233,2157.3599199334217,1411.942611298992,2262.788706221036,2210.3126027005387,1843.670974586491,2227.5944700710993,1885.693776828476,1579.9873149480954,1688.6167226014663,2668.8346511961795,1493.1394903601597,2297.662499222753,1595.9453716807268,2953.1537791513624,2373.6641786061723,1927.7032760519767,2016.77411806449,2221.6808654126708,1901.544539971895,1333.9794572921644,1992.5112441390856,1604.2679299012011,1615.5209858842866,2648.754649709163,2775.933845670919,2064.344080220111,2147.6679446302746,1983.4300815397553,2748.7987382664787,2119.713219927846,3425.006258859039,2503.710893591501,2080.772068656345,2696.3291753524086,2704.4740302636155,2582.7613278814497,2462.6054068674503,2743.2895730641953,2262.090316900076,2369.028285037556,1917.158836316891,1962.9161045848714,2213.262917962218,2233.4289787191096,2132.0422559574404,1901.4202177974792
random--la24,4303.486201299702,1520.033747038282,1427.5045465712117,2117.021149888463,2550.723040465952,3084.622110827899,2941.227606394598,0.0,2949.5437725092293,1316.2308915469816,1130.2540944682924,2985.6036934610565,3890.941017699805,1564.6458151045993,868.0511043139724,4419.639138391972,1883.5740159848324,1232.8855242139741,1576.5810925708888,3436.3293329828734,2793.652286532419,3242.1704710757804,3869.958810718941,1908.7248641052481,856.1212928452658,1629.5369427674068,1256.490941073743,2856.100400116408,2501.197900360146,1241.1802416548148,2180.448626042537,3495.8483323528367,1410.7545399554938,2018.765183414082,2405.278627928436,3133.273689803168,1049.7542659883663,2334.8654501098954,1283.8734976369028,3610.6216205918563,1630.3935854634142,489.81019298870166,1508.325058986317,2434.735601125828,3028.8722832511257,2525.0068821238247,1004.4704733859061,2715.897727770307,1289.325091786295,1679.7887550308897,3931.196729057514,3678.9790419528226,2347.123635318244,1735.7845586972824,3218.7998630794027,1375.215313748978,2538.4296478053116,3570.353798641542,2470.531855731358
random--la210,2743.422195165262,2221.0307690909003,2228.2663485434755,1349.277752151213,2121.9212784544857,2007.090633761378,1684.316929277296,2949.5437725092293,0.0,1339.6472811231322,2313.7780899924974,2034.2167712015205,2330.808014565382,2356.114933704224,1657.7937084757157,2612.817856778248,2275.964437027932,2083.6679576458937,2826.6900837518274,1895.9199485339848,1696.0035129937287,1425.0605187143994,2825.794431214648,1577.0929101229274,2878.4826367812984,1875.8997486865455,3143.207142214784,1661.8481848773408,2003.497996097327,2028.5242192885653,1720.1186791596215,1908.354950052176,1737.9324001471005,2388.2182335474654,1385.2603677853197,2146.7031406063206,2686.448010191576,2522.2140709745404,2453.806158319033,2786.3356209408057,1711.342910131527,2717.297868472998,2367.452418484125,3276.914547421138,2863.746147489942,2109.4927902772138,2550.487778439669,2494.3370899419856,2225.613976606463,1723.7684862335375,2650.221197142953,2560.204137452,2414.668505739423,2325.437950790232,2164.943857253529,2434.8583021682875,2548.0162829222313,1561.050917677537,1672.1264184247648
random--la211,3232.0115774978635,1686.9959393807103,1466.8293899841237,1294.653392164137,1530.790294946955,1852.3285333870426,1864.1521692489941,1316.2308915469816,1339.6472811231322,0.0,863.8249524481176,1922.7446398954414,2857.101176033704,1349.9325588290774,759.1255943841601,3767.657891772042,1717.1049279203064,989.4820001690309,1902.5507324100136,2277.065831103659,1101.7592376665111,1563.6018106837228,3204.7043949297217,1196.2703214482665,1587.4905226831931,1707.8791824602197,2127.772436885166,1991.577111112954,1409.3009692926478,724.0720301321227,1208.4126588825077,2637.5178496006893,1204.095637515862,1052.2187771948336,1540.186884984746,2314.3568450722787,1146.7682614466996,1975.5004504167384,949.5266747648709,2836.262336207485,747.8434194285917,1013.1797572342714,1385.427730401655,2394.303896302494,2155.3977193373366,1563.0205584284433,1044.9606263042767,2371.217186123765,1175.6406289780396,837.5052650509505,2696.7471379257527,2665.4947767003355,1327.3452148067524,1751.5777654058845,1801.8177183551093,1206.2569072142917,2056.64233674475,2964.274916807802,1685.4373867414247
