test,num_obes
random--la11,1
random--la14,1
random--la17,1
random--la18,1
random--la111,1
random--la115,1
random--la117,1
random--la102,0
random--la103,0
random--la105,1
random--la108,0
random--la109,1
random--la1012,1
random--la1017,0
random--la1018,0
random--la1020,0
random--la23,0
random--la24,0
random--la28,1
random--la210,0
random--la211,0
random--la213,0
random--la214,0
random--la215,1
random--la216,1
random--la218,1
random--la219,1
random--la220,1
random--la222,0
random--la31,1
random--la35,0
random--la36,0
random--la37,1
random--la38,1
random--la310,0
random--la311,0
random--la318,0
random--la321,0
random--la322,1
random--la323,0
random--la42,1
random--la44,0
random--la46,1
random--la49,1
random--la412,1
random--la413,1
random--la414,1
random--la415,1
random--la53,1
random--la56,0
random--la57,0
random--la58,0
random--la59,0
random--la510,1
random--la511,1
random--la517,0
random--la518,0
random--la520,0
random--la61,1
random--la62,1
random--la63,1
random--la66,1
random--la68,0
random--la610,1
random--la614,0
random--la615,0
random--la616,0
random--la617,1
random--la619,1
random--la621,0
random--la622,0
random--la623,0
random--la625,0
random--la626,0
random--la627,1
random--la72,0
random--la74,0
random--la75,0
random--la77,1
random--la79,1
random--la711,0
random--la713,1
random--la714,1
random--la716,0
random--la718,0
random--la719,1
random--la82,1
random--la84,0
random--la85,0
random--la87,1
random--la88,1
random--la810,1
random--la811,1
random--la813,0
random--la814,1
random--la816,1
random--la818,0
random--la819,0
random--la820,0
random--la821,0
random--la822,0
random--la824,1
random--la92,0
random--la93,1
random--la96,1
random--la98,1
random--la910,0
random--la912,0
random--la914,1
random--la916,0
random--la917,0
random--la918,0
random--la921,0
random--la922,1
random--la923,0
