test,num_states
random--la11,379
random--la14,83
random--la17,601
random--la18,63
random--la111,88
random--la115,149
random--la117,115
random--la102,764
random--la103,564
random--la105,612
random--la108,520
random--la109,219
random--la1012,369
random--la1017,688
random--la1018,652
random--la1020,583
random--la23,660
random--la24,467
random--la28,67
random--la210,628
random--la211,443
random--la213,548
random--la214,757
random--la215,310
random--la216,24
random--la218,366
random--la219,471
random--la220,303
random--la222,727
random--la31,95
random--la35,444
random--la36,260
random--la37,439
random--la38,115
random--la310,941
random--la311,699
random--la318,484
random--la321,660
random--la322,344
random--la323,792
random--la42,267
random--la44,511
random--la46,129
random--la49,316
random--la412,648
random--la413,31
random--la414,131
random--la415,275
random--la53,499
random--la56,684
random--la57,776
random--la58,557
random--la59,519
random--la510,412
random--la511,155
random--la517,551
random--la518,504
random--la520,755
random--la61,72
random--la62,224
random--la63,511
random--la66,130
random--la68,644
random--la610,85
random--la614,475
random--la615,724
random--la616,736
random--la617,235
random--la619,228
random--la621,504
random--la622,619
random--la623,603
random--la625,711
random--la626,672
random--la627,455
random--la72,500
random--la74,480
random--la75,604
random--la77,259
random--la79,348
random--la711,640
random--la713,508
random--la714,69
random--la716,356
random--la718,575
random--la719,41
random--la82,122
random--la84,871
random--la85,672
random--la87,499
random--la88,472
random--la810,242
random--la811,64
random--la813,499
random--la814,195
random--la816,748
random--la818,592
random--la819,632
random--la820,704
random--la821,656
random--la822,872
random--la824,479
random--la92,887
random--la93,475
random--la96,391
random--la98,78
random--la910,656
random--la912,797
random--la914,151
random--la916,724
random--la917,703
random--la918,613
random--la921,740
random--la922,488
random--la923,612
