names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la11,0.0,0.0,0.0,7.0,5.0,8.0,43.0,78.0,183.0,44.0,3.0,3.0,0.0,2.0,2.0,1.0
random--la14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,21.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0
random--la17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,241.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0
random--la18,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,14.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0
random--la111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0
random--la115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,15.0,0.0,1.0,5.0,6.0,3.0,0.0,0.0
random--la117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
random--la102,0.0,0.0,0.0,0.0,0.0,0.0,61.0,339.0,343.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0
random--la103,0.0,0.0,0.0,0.0,1.0,7.0,28.0,234.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la105,0.0,0.0,3.0,1.0,4.0,5.0,25.0,291.0,232.0,45.0,3.0,3.0,0.0,0.0,0.0,0.0
random--la108,0.0,0.0,0.0,0.0,0.0,0.0,3.0,275.0,233.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la109,0.0,0.0,1.0,0.0,0.0,2.0,1.0,103.0,86.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,116.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
random--la1017,0.0,0.0,0.0,0.0,0.0,0.0,9.0,385.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1018,0.0,0.0,0.0,0.0,0.0,0.0,5.0,349.0,289.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la1020,0.0,0.0,0.0,0.0,0.0,6.0,5.0,280.0,254.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0
random--la23,0.0,0.0,0.0,0.0,0.0,8.0,5.0,351.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,11.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0
random--la210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,288.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,202.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,348.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,85.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
random--la216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
random--la218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,168.0,8.0,0.0,4.0,2.0,4.0,2.0,0.0
random--la219,0.0,0.0,0.0,2.0,3.0,4.0,19.0,178.0,232.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0
random--la220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,135.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0
random--la222,0.0,0.0,0.0,0.0,0.0,0.0,48.0,312.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la31,0.0,0.0,0.0,4.0,4.0,4.0,4.0,6.0,58.0,1.0,3.0,2.0,4.0,5.0,0.0,0.0
random--la35,0.0,0.0,0.0,0.0,0.0,0.0,31.0,163.0,245.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la37,0.0,0.0,0.0,1.0,0.0,2.0,25.0,228.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,14.0,1.0,3.0,2.0,7.0,0.0,0.0,0.0
random--la310,0.0,0.0,0.0,0.0,0.0,0.0,89.0,341.0,489.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la311,0.0,0.0,0.0,0.0,0.0,0.0,6.0,334.0,335.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la318,0.0,0.0,0.0,0.0,0.0,0.0,18.0,204.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la321,0.0,0.0,0.0,0.0,0.0,0.0,40.0,333.0,254.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la322,0.0,0.0,0.0,3.0,2.0,1.0,5.0,149.0,174.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0
random--la323,0.0,0.0,0.0,0.0,5.0,4.0,58.0,304.0,387.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la42,0.0,0.0,0.0,0.0,0.0,6.0,25.0,48.0,175.0,1.0,0.0,2.0,4.0,3.0,3.0,0.0
random--la44,0.0,0.0,0.0,0.0,0.0,5.0,24.0,243.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,15.0,4.0,1.0,2.0,4.0,2.0,2.0,0.0
random--la49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,174.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0
random--la412,0.0,0.0,0.0,1.0,6.0,4.0,9.0,272.0,340.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
random--la414,0.0,0.0,0.0,1.0,0.0,2.0,1.0,81.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,96.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0
random--la53,0.0,0.0,0.0,0.0,0.0,0.0,28.0,176.0,284.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0
random--la56,0.0,0.0,0.0,0.0,0.0,4.0,9.0,283.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la57,0.0,0.0,0.0,1.0,7.0,15.0,44.0,266.0,422.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la58,0.0,0.0,0.0,0.0,0.0,4.0,8.0,252.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la510,0.0,0.0,0.0,0.0,0.0,0.0,48.0,145.0,209.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0
random--la511,0.0,0.0,0.0,0.0,0.0,0.0,4.0,94.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la517,0.0,0.0,0.0,0.0,0.0,0.0,9.0,249.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la518,0.0,0.0,0.0,0.0,0.0,0.0,15.0,225.0,256.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
