test,num_obes
one-plus-o1011,0
one-plus-o1014,0
one-plus-o1023,0
one-plus-o1034,0
one-plus-o22,0
one-plus-o23,0
one-plus-o24,0
one-plus-o25,0
one-plus-o27,0
one-plus-o28,0
one-plus-o29,0
one-plus-o210,0
one-plus-o211,0
one-plus-o212,0
one-plus-o213,0
one-plus-o214,0
one-plus-o215,0
one-plus-o216,0
one-plus-o217,0
one-plus-o218,0
one-plus-o219,0
one-plus-o220,0
one-plus-o221,0
one-plus-o222,0
one-plus-o223,0
one-plus-o224,0
one-plus-o225,0
one-plus-o226,0
one-plus-o227,0
one-plus-o228,0
one-plus-o230,0
one-plus-o231,0
one-plus-o232,0
one-plus-o233,0
one-plus-o234,0
one-plus-o235,0
one-plus-o236,0
one-plus-o237,0
one-plus-o238,0
one-plus-o239,0
one-plus-o240,0
one-plus-o241,0
one-plus-o243,0
one-plus-o31,0
one-plus-o32,0
one-plus-o33,0
one-plus-o34,0
one-plus-o35,0
one-plus-o36,0
one-plus-o37,0
one-plus-o38,0
one-plus-o39,0
one-plus-o310,0
one-plus-o311,0
one-plus-o312,0
one-plus-o313,0
one-plus-o314,0
one-plus-o315,0
one-plus-o316,0
one-plus-o317,0
one-plus-o318,0
one-plus-o319,0
one-plus-o320,0
one-plus-o321,0
one-plus-o322,0
one-plus-o323,0
one-plus-o324,0
one-plus-o325,0
one-plus-o326,0
one-plus-o327,0
one-plus-o328,0
one-plus-o329,0
one-plus-o330,0
one-plus-o331,0
one-plus-o332,0
one-plus-o333,0
one-plus-o334,0
one-plus-o335,0
one-plus-o336,0
one-plus-o337,0
one-plus-o338,0
one-plus-o339,0
one-plus-o340,0
one-plus-o341,0
one-plus-o342,0
one-plus-o344,0
one-plus-o345,0
one-plus-o346,0
one-plus-o347,0
one-plus-o348,0
one-plus-o349,0
one-plus-o350,0
one-plus-o351,0
one-plus-o352,0
one-plus-o353,0
one-plus-o354,0
one-plus-o355,0
one-plus-o356,0
one-plus-o357,0
one-plus-o358,0
one-plus-o359,0
one-plus-o360,0
one-plus-o361,0
one-plus-o362,0
one-plus-o364,0
one-plus-o365,0
one-plus-o366,0
one-plus-o367,0
one-plus-o368,0
one-plus-o369,0
random--la12,0
random--la13,0
random--la19,0
random--la112,0
random--la114,0
random--la122,0
random--la123,0
random--la125,0
random--la102,0
random--la104,0
random--la106,0
random--la107,0
random--la1010,0
random--la1014,0
random--la1015,0
random--la1016,0
random--la1017,0
random--la1020,0
random--la1021,0
random--la1022,0
random--la1023,0
random--la23,0
random--la24,0
random--la26,0
random--la29,0
random--la211,0
random--la213,0
random--la214,0
random--la216,0
random--la217,0
random--la218,0
random--la221,0
random--la223,0
random--la228,0
random--la229,0
random--la231,0
random--la232,0
random--la233,0
random--la235,0
random--la237,0
random--la238,0
random--la239,0
random--la240,0
random--la243,0
random--la33,0
random--la35,0
random--la314,0
random--la317,0
random--la42,0
random--la43,0
random--la44,0
random--la45,0
random--la46,0
random--la47,0
random--la48,0
random--la49,0
random--la410,0
random--la411,0
random--la412,0
random--la413,0
random--la415,0
random--la423,0
random--la424,0
random--la425,0
random--la427,0
random--la430,0
random--la431,0
random--la433,0
random--la434,0
random--la435,0
random--la439,0
random--la52,0
random--la53,0
random--la510,0
random--la512,0
random--la514,0
random--la515,0
random--la518,0
random--la519,0
random--la522,0
random--la523,0
random--la524,0
random--la526,0
random--la530,0
random--la532,0
random--la62,0
random--la63,0
random--la65,0
random--la68,0
random--la614,0
random--la618,0
random--la619,0
random--la620,0
random--la621,0
random--la623,0
random--la624,0
random--la625,0
random--la626,0
random--la628,0
random--la629,0
random--la630,0
random--la631,0
random--la633,0
random--la635,0
random--la637,0
random--la638,0
random--la640,0
random--la641,0
random--la642,0
random--la646,0
random--la647,0
random--la649,0
random--la650,0
random--la651,0
random--la652,0
random--la653,0
random--la654,0
random--la655,0
random--la656,0
random--la657,0
random--la658,0
random--la660,0
random--la661,0
random--la72,0
random--la74,0
random--la76,0
random--la77,0
random--la78,0
random--la79,0
random--la717,0
random--la722,0
random--la724,0
random--la726,0
random--la727,0
random--la729,0
random--la731,0
random--la732,0
random--la733,0
random--la734,0
random--la82,0
random--la83,0
random--la86,0
random--la87,0
random--la88,0
random--la89,0
random--la813,0
random--la819,0
random--la824,0
random--la827,0
random--la828,0
random--la93,0
random--la94,0
random--la97,0
random--la910,0
random--la911,0
random--la913,0
random--la915,0
random--la916,0
random--la920,0
random--la923,0
random--la924,0
random--la926,0
random--la928,0
