test,num_states
one-plus-o1011,443
one-plus-o1014,441
one-plus-o1023,445
one-plus-o1034,432
one-plus-o22,391
one-plus-o23,756
one-plus-o24,392
one-plus-o25,409
one-plus-o27,413
one-plus-o28,419
one-plus-o29,404
one-plus-o210,502
one-plus-o211,495
one-plus-o212,543
one-plus-o213,428
one-plus-o214,422
one-plus-o215,423
one-plus-o216,576
one-plus-o217,637
one-plus-o218,574
one-plus-o219,479
one-plus-o220,653
one-plus-o221,125
one-plus-o222,599
one-plus-o223,606
one-plus-o224,598
one-plus-o225,598
one-plus-o226,786
one-plus-o227,599
one-plus-o228,597
one-plus-o230,599
one-plus-o231,122
one-plus-o232,392
one-plus-o233,390
one-plus-o234,467
one-plus-o235,483
one-plus-o236,481
one-plus-o237,466
one-plus-o238,438
one-plus-o239,431
one-plus-o240,486
one-plus-o241,485
one-plus-o243,526
one-plus-o31,393
one-plus-o32,254
one-plus-o33,339
one-plus-o34,358
one-plus-o35,353
one-plus-o36,344
one-plus-o37,337
one-plus-o38,330
one-plus-o39,332
one-plus-o310,331
one-plus-o311,327
one-plus-o312,324
one-plus-o313,353
one-plus-o314,380
one-plus-o315,364
one-plus-o316,332
one-plus-o317,324
one-plus-o318,438
one-plus-o319,360
one-plus-o320,395
one-plus-o321,386
one-plus-o322,362
one-plus-o323,365
one-plus-o324,323
one-plus-o325,328
one-plus-o326,382
one-plus-o327,295
one-plus-o328,323
one-plus-o329,423
one-plus-o330,390
one-plus-o331,428
one-plus-o332,411
one-plus-o333,411
one-plus-o334,297
one-plus-o335,308
one-plus-o336,391
one-plus-o337,327
one-plus-o338,421
one-plus-o339,291
one-plus-o340,394
one-plus-o341,387
one-plus-o342,371
one-plus-o344,391
one-plus-o345,290
one-plus-o346,388
one-plus-o347,311
one-plus-o348,58
one-plus-o349,295
one-plus-o350,424
one-plus-o351,296
one-plus-o352,382
one-plus-o353,509
one-plus-o354,385
one-plus-o355,408
one-plus-o356,352
one-plus-o357,428
one-plus-o358,256
one-plus-o359,415
one-plus-o360,378
one-plus-o361,389
one-plus-o362,279
one-plus-o364,385
one-plus-o365,294
one-plus-o366,473
one-plus-o367,418
one-plus-o368,371
one-plus-o369,346
random--la12,440
random--la13,423
random--la19,428
random--la112,470
random--la114,577
random--la122,406
random--la123,418
random--la125,485
random--la102,745
random--la104,465
random--la106,414
random--la107,547
random--la1010,719
random--la1014,527
random--la1015,451
random--la1016,422
random--la1017,410
random--la1020,496
random--la1021,487
random--la1022,491
random--la1023,502
random--la23,503
random--la24,441
random--la26,686
random--la29,274
random--la211,649
random--la213,547
random--la214,405
random--la216,362
random--la217,584
random--la218,553
random--la221,429
random--la223,414
random--la228,463
random--la229,413
random--la231,568
random--la232,548
random--la233,508
random--la235,426
random--la237,629
random--la238,367
random--la239,468
random--la240,471
random--la243,606
random--la33,487
random--la35,581
random--la314,471
random--la317,485
random--la42,667
random--la43,701
random--la44,565
random--la45,375
random--la46,445
random--la47,399
random--la48,106
random--la49,564
random--la410,492
random--la411,660
random--la412,385
random--la413,488
random--la415,22
random--la423,555
random--la424,568
random--la425,393
random--la427,606
random--la430,678
random--la431,620
random--la433,536
random--la434,376
random--la435,397
random--la439,394
random--la52,594
random--la53,366
random--la510,572
random--la512,460
random--la514,718
random--la515,402
random--la518,589
random--la519,553
random--la522,515
random--la523,728
random--la524,638
random--la526,497
random--la530,535
random--la532,679
random--la62,524
random--la63,480
random--la65,686
random--la68,503
random--la614,685
random--la618,417
random--la619,351
random--la620,394
random--la621,575
random--la623,510
random--la624,582
random--la625,633
random--la626,375
random--la628,327
random--la629,365
random--la630,603
random--la631,522
random--la633,657
random--la635,541
random--la637,510
random--la638,428
random--la640,321
random--la641,553
random--la642,666
random--la646,437
random--la647,332
random--la649,371
random--la650,452
random--la651,532
random--la652,439
random--la653,639
random--la654,512
random--la655,641
random--la656,528
random--la657,479
random--la658,642
random--la660,630
random--la661,593
random--la72,453
random--la74,550
random--la76,548
random--la77,51
random--la78,516
random--la79,38
random--la717,424
random--la722,678
random--la724,497
random--la726,453
random--la727,696
random--la729,522
random--la731,532
random--la732,621
random--la733,456
random--la734,394
random--la82,731
random--la83,852
random--la86,555
random--la87,666
random--la88,684
random--la89,480
random--la813,484
random--la819,583
random--la824,584
random--la827,571
random--la828,598
random--la93,633
random--la94,480
random--la97,516
random--la910,463
random--la911,518
random--la913,548
random--la915,417
random--la916,332
random--la920,553
random--la923,420
random--la924,450
random--la926,414
random--la928,574
