names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o1011,11.0,2.0,4.0,6.0,18.0,34.0,14.0,16.0,21.0,122.0,50.0,82.0,63.0,0.0,0.0,0.0
one-plus-o1014,11.0,2.0,7.0,10.0,17.0,31.0,13.0,9.0,37.0,34.0,96.0,105.0,11.0,58.0,0.0,0.0
one-plus-o1023,11.0,3.0,6.0,10.0,16.0,32.0,13.0,9.0,72.0,42.0,44.0,107.0,25.0,55.0,0.0,0.0
one-plus-o1034,10.0,2.0,3.0,14.0,10.0,42.0,8.0,20.0,22.0,56.0,26.0,110.0,103.0,6.0,0.0,0.0
one-plus-o22,0.0,0.0,13.0,31.0,35.0,30.0,11.0,44.0,46.0,81.0,9.0,8.0,83.0,0.0,0.0,0.0
one-plus-o23,0.0,2.0,12.0,38.0,38.0,68.0,24.0,78.0,71.0,108.0,86.0,70.0,127.0,34.0,0.0,0.0
one-plus-o24,1.0,0.0,13.0,32.0,32.0,35.0,8.0,44.0,49.0,80.0,6.0,11.0,81.0,0.0,0.0,0.0
one-plus-o25,1.0,1.0,13.0,33.0,34.0,31.0,10.0,39.0,46.0,80.0,14.0,20.0,85.0,2.0,0.0,0.0
one-plus-o27,0.0,1.0,12.0,23.0,33.0,31.0,13.0,44.0,48.0,88.0,19.0,14.0,86.0,1.0,0.0,0.0
one-plus-o28,0.0,0.0,13.0,34.0,36.0,30.0,21.0,47.0,46.0,83.0,11.0,14.0,84.0,0.0,0.0,0.0
one-plus-o29,1.0,0.0,6.0,38.0,50.0,21.0,13.0,16.0,100.0,50.0,20.0,7.0,82.0,0.0,0.0,0.0
one-plus-o210,0.0,0.0,5.0,27.0,39.0,16.0,7.0,13.0,114.0,114.0,19.0,12.0,84.0,52.0,0.0,0.0
one-plus-o211,0.0,0.0,8.0,34.0,39.0,26.0,16.0,17.0,116.0,69.0,57.0,104.0,4.0,5.0,0.0,0.0
one-plus-o212,0.0,0.0,5.0,40.0,35.0,36.0,31.0,26.0,85.0,65.0,42.0,65.0,95.0,18.0,0.0,0.0
one-plus-o213,0.0,0.0,5.0,40.0,50.0,23.0,16.0,43.0,100.0,56.0,6.0,6.0,81.0,2.0,0.0,0.0
one-plus-o214,0.0,3.0,13.0,34.0,33.0,32.0,27.0,57.0,38.0,79.0,10.0,12.0,84.0,0.0,0.0,0.0
one-plus-o215,0.0,0.0,22.0,41.0,31.0,23.0,17.0,64.0,49.0,62.0,12.0,17.0,84.0,1.0,0.0,0.0
one-plus-o216,0.0,0.0,13.0,33.0,32.0,19.0,25.0,50.0,49.0,86.0,55.0,50.0,89.0,75.0,0.0,0.0
one-plus-o217,0.0,3.0,15.0,37.0,47.0,27.0,31.0,58.0,59.0,88.0,80.0,43.0,63.0,86.0,0.0,0.0
one-plus-o218,0.0,0.0,12.0,29.0,37.0,21.0,24.0,49.0,37.0,90.0,70.0,40.0,90.0,75.0,0.0,0.0
one-plus-o219,0.0,0.0,3.0,40.0,28.0,25.0,19.0,19.0,97.0,59.0,48.0,15.0,38.0,88.0,0.0,0.0
one-plus-o220,0.0,0.0,3.0,36.0,38.0,23.0,19.0,21.0,102.0,59.0,49.0,42.0,157.0,104.0,0.0,0.0
one-plus-o221,0.0,1.0,5.0,11.0,5.0,5.0,3.0,3.0,5.0,2.0,17.0,8.0,20.0,40.0,0.0,0.0
one-plus-o222,0.0,0.0,8.0,37.0,26.0,27.0,26.0,21.0,102.0,70.0,58.0,48.0,87.0,89.0,0.0,0.0
one-plus-o223,0.0,1.0,14.0,28.0,34.0,24.0,20.0,49.0,49.0,104.0,57.0,54.0,97.0,75.0,0.0,0.0
one-plus-o224,0.0,0.0,10.0,36.0,28.0,23.0,27.0,21.0,107.0,64.0,57.0,49.0,87.0,89.0,0.0,0.0
one-plus-o225,0.0,0.0,10.0,34.0,29.0,24.0,24.0,23.0,107.0,68.0,50.0,54.0,87.0,88.0,0.0,0.0
one-plus-o226,0.0,2.0,14.0,38.0,42.0,31.0,24.0,75.0,63.0,121.0,77.0,64.0,128.0,107.0,0.0,0.0
one-plus-o227,0.0,0.0,8.0,33.0,34.0,22.0,26.0,21.0,112.0,61.0,55.0,51.0,88.0,88.0,0.0,0.0
one-plus-o228,1.0,0.0,4.0,34.0,35.0,24.0,20.0,21.0,106.0,70.0,56.0,47.0,89.0,90.0,0.0,0.0
one-plus-o230,0.0,0.0,5.0,16.0,20.0,43.0,47.0,61.0,81.0,23.0,88.0,25.0,150.0,40.0,0.0,0.0
one-plus-o231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,13.0,6.0,21.0,8.0,32.0,8.0,0.0,0.0
one-plus-o232,0.0,0.0,3.0,11.0,9.0,4.0,43.0,56.0,25.0,9.0,71.0,11.0,114.0,36.0,0.0,0.0
one-plus-o233,0.0,0.0,2.0,11.0,6.0,7.0,21.0,66.0,24.0,20.0,70.0,9.0,120.0,34.0,0.0,0.0
one-plus-o234,0.0,1.0,19.0,5.0,12.0,26.0,19.0,52.0,58.0,11.0,29.0,71.0,135.0,29.0,0.0,0.0
one-plus-o235,1.0,1.0,19.0,5.0,14.0,23.0,20.0,47.0,63.0,14.0,49.0,58.0,141.0,28.0,0.0,0.0
one-plus-o236,0.0,2.0,16.0,6.0,17.0,24.0,33.0,53.0,63.0,9.0,21.0,72.0,137.0,28.0,0.0,0.0
one-plus-o237,0.0,2.0,15.0,7.0,17.0,20.0,16.0,45.0,68.0,12.0,31.0,68.0,139.0,26.0,0.0,0.0
one-plus-o238,0.0,2.0,16.0,7.0,7.0,3.0,16.0,26.0,49.0,9.0,31.0,96.0,149.0,27.0,0.0,0.0
one-plus-o239,0.0,2.0,18.0,4.0,8.0,3.0,14.0,18.0,50.0,10.0,23.0,104.0,148.0,29.0,0.0,0.0
one-plus-o240,1.0,2.0,18.0,4.0,8.0,4.0,14.0,39.0,67.0,12.0,96.0,51.0,141.0,29.0,0.0,0.0
one-plus-o241,0.0,2.0,17.0,6.0,12.0,54.0,21.0,50.0,62.0,7.0,18.0,71.0,138.0,27.0,0.0,0.0
one-plus-o243,0.0,0.0,11.0,26.0,37.0,27.0,51.0,26.0,27.0,19.0,90.0,90.0,87.0,35.0,0.0,0.0
one-plus-o31,2.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,30.0,40.0,52.0,45.0,84.0,106.0,0.0,0.0
one-plus-o32,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,6.0,7.0,92.0,31.0,75.0,10.0,0.0,0.0
one-plus-o33,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,6.0,19.0,53.0,43.0,87.0,99.0,0.0,0.0
one-plus-o34,1.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,5.0,12.0,89.0,18.0,83.0,107.0,0.0,0.0
one-plus-o35,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,4.0,16.0,92.0,17.0,82.0,109.0,0.0,0.0
