names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o1011,0.0,0.0,0.0,5.0,3.0,6.0,30.0,126.0,262.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
one-plus-o1014,0.0,0.0,0.0,0.0,0.0,0.0,3.0,253.0,142.0,34.0,0.0,1.0,1.0,1.0,1.0,5.0
one-plus-o1023,0.0,0.0,0.0,0.0,0.0,0.0,4.0,245.0,154.0,33.0,1.0,0.0,1.0,1.0,1.0,5.0
one-plus-o1034,0.0,0.0,2.0,3.0,3.0,1.0,38.0,147.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o22,0.0,0.0,0.0,4.0,3.0,2.0,28.0,143.0,175.0,3.0,7.0,10.0,8.0,3.0,1.0,4.0
one-plus-o23,0.0,0.0,4.0,4.0,8.0,8.0,75.0,290.0,338.0,2.0,4.0,7.0,9.0,7.0,0.0,0.0
one-plus-o24,0.0,0.0,0.0,4.0,2.0,3.0,28.0,136.0,184.0,3.0,6.0,8.0,10.0,1.0,3.0,4.0
one-plus-o25,0.0,0.0,0.0,2.0,4.0,4.0,29.0,153.0,182.0,5.0,3.0,10.0,9.0,1.0,2.0,5.0
one-plus-o27,0.0,0.0,0.0,4.0,2.0,1.0,18.0,166.0,179.0,11.0,6.0,10.0,8.0,1.0,2.0,5.0
one-plus-o28,0.0,0.0,0.0,3.0,2.0,4.0,30.0,167.0,177.0,3.0,6.0,10.0,9.0,2.0,2.0,4.0
one-plus-o29,0.0,0.0,4.0,6.0,11.0,12.0,22.0,186.0,114.0,38.0,3.0,2.0,0.0,4.0,2.0,0.0
one-plus-o210,0.0,0.0,5.0,6.0,8.0,7.0,15.0,259.0,166.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o211,0.0,0.0,2.0,8.0,11.0,17.0,11.0,227.0,171.0,35.0,7.0,1.0,2.0,3.0,0.0,0.0
one-plus-o212,0.0,0.0,0.0,10.0,15.0,11.0,4.0,280.0,183.0,29.0,4.0,4.0,3.0,0.0,0.0,0.0
one-plus-o213,0.0,0.0,3.0,7.0,9.0,14.0,19.0,192.0,142.0,31.0,3.0,2.0,1.0,2.0,3.0,0.0
one-plus-o214,0.0,0.0,0.0,2.0,3.0,3.0,38.0,161.0,180.0,4.0,6.0,10.0,8.0,0.0,1.0,6.0
one-plus-o215,0.0,0.0,0.0,1.0,3.0,5.0,37.0,149.0,188.0,11.0,6.0,9.0,7.0,0.0,2.0,5.0
one-plus-o216,0.0,0.0,0.0,0.0,4.0,11.0,23.0,257.0,241.0,12.0,10.0,3.0,1.0,6.0,0.0,8.0
one-plus-o217,0.0,0.0,0.0,11.0,6.0,6.0,22.0,321.0,236.0,5.0,6.0,4.0,5.0,2.0,2.0,11.0
one-plus-o218,0.0,0.0,0.0,0.0,5.0,10.0,19.0,267.0,233.0,10.0,12.0,4.0,2.0,1.0,6.0,5.0
one-plus-o219,0.0,0.0,3.0,6.0,12.0,9.0,20.0,136.0,264.0,19.0,2.0,2.0,1.0,2.0,3.0,0.0
one-plus-o220,0.0,0.0,3.0,5.0,13.0,10.0,25.0,310.0,257.0,22.0,0.0,2.0,1.0,2.0,3.0,0.0
one-plus-o221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,8.0,2.0,1.0,0.0,2.0,0.0,6.0
one-plus-o222,0.0,0.0,5.0,5.0,16.0,6.0,13.0,226.0,300.0,19.0,2.0,0.0,2.0,1.0,4.0,0.0
one-plus-o223,0.0,0.0,0.0,0.0,4.0,11.0,21.0,313.0,217.0,16.0,6.0,4.0,1.0,2.0,3.0,8.0
one-plus-o224,0.0,0.0,7.0,5.0,14.0,6.0,11.0,227.0,299.0,20.0,1.0,1.0,2.0,2.0,3.0,0.0
one-plus-o225,0.0,0.0,6.0,5.0,13.0,8.0,10.0,228.0,300.0,19.0,1.0,2.0,0.0,3.0,3.0,0.0
one-plus-o226,0.0,0.0,0.0,7.0,11.0,13.0,22.0,381.0,312.0,16.0,6.0,3.0,3.0,1.0,2.0,9.0
one-plus-o227,0.0,0.0,5.0,8.0,13.0,6.0,12.0,230.0,293.0,23.0,2.0,1.0,2.0,0.0,4.0,0.0
one-plus-o228,0.0,0.0,1.0,8.0,12.0,14.0,11.0,225.0,291.0,19.0,9.0,2.0,1.0,4.0,0.0,0.0
one-plus-o230,0.0,0.0,2.0,4.0,4.0,9.0,30.0,232.0,309.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0
one-plus-o231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o232,0.0,0.0,4.0,1.0,5.0,3.0,10.0,149.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o233,0.0,0.0,1.0,3.0,6.0,3.0,8.0,149.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one-plus-o234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,202.0,27.0,2.0,1.0,2.0,1.0,1.0,13.0
one-plus-o235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,212.0,26.0,2.0,1.0,2.0,1.0,3.0,11.0
one-plus-o236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,207.0,26.0,1.0,2.0,1.0,2.0,2.0,11.0
