names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
one-plus-o1011,48.0,14.0,21.0,4.0,10.0,23.0,20.0,21.0,36.0,22.0,22.0,58.0,84.0,27.0,21.0,12.0
one-plus-o1014,5.0,12.0,38.0,65.0,47.0,27.0,25.0,24.0,39.0,30.0,28.0,6.0,9.0,15.0,14.0,57.0
one-plus-o1023,6.0,49.0,18.0,44.0,40.0,29.0,26.0,22.0,38.0,38.0,29.0,13.0,5.0,17.0,17.0,54.0
one-plus-o1034,53.0,13.0,20.0,5.0,18.0,19.0,16.0,30.0,41.0,34.0,53.0,71.0,29.0,14.0,16.0,0.0
one-plus-o22,45.0,30.0,59.0,16.0,5.0,3.0,3.0,13.0,23.0,25.0,36.0,20.0,3.0,7.0,56.0,47.0
one-plus-o23,129.0,33.0,58.0,40.0,29.0,20.0,15.0,38.0,70.0,44.0,50.0,46.0,30.0,25.0,90.0,39.0
one-plus-o24,50.0,27.0,61.0,10.0,6.0,3.0,6.0,6.0,17.0,28.0,37.0,26.0,2.0,7.0,58.0,48.0
one-plus-o25,50.0,28.0,56.0,15.0,9.0,3.0,5.0,20.0,26.0,31.0,38.0,22.0,4.0,2.0,54.0,46.0
one-plus-o27,36.0,28.0,63.0,26.0,6.0,3.0,2.0,15.0,30.0,32.0,35.0,21.0,4.0,3.0,58.0,51.0
one-plus-o28,68.0,30.0,59.0,11.0,7.0,2.0,1.0,22.0,28.0,32.0,35.0,17.0,4.0,6.0,51.0,46.0
one-plus-o29,63.0,55.0,10.0,6.0,17.0,31.0,27.0,24.0,17.0,5.0,0.0,7.0,6.0,38.0,42.0,56.0
one-plus-o210,50.0,51.0,14.0,12.0,28.0,44.0,52.0,37.0,18.0,6.0,2.0,2.0,5.0,60.0,72.0,49.0
one-plus-o211,51.0,64.0,9.0,41.0,45.0,18.0,14.0,22.0,30.0,12.0,2.0,22.0,21.0,49.0,35.0,60.0
one-plus-o212,49.0,62.0,13.0,27.0,36.0,49.0,34.0,40.0,40.0,11.0,5.0,18.0,20.0,35.0,37.0,67.0
one-plus-o213,62.0,61.0,13.0,6.0,18.0,30.0,28.0,23.0,21.0,5.0,3.0,9.0,4.0,38.0,58.0,49.0
one-plus-o214,75.0,33.0,56.0,12.0,2.0,3.0,4.0,15.0,27.0,25.0,35.0,21.0,3.0,10.0,50.0,51.0
