test,road_len
random--la11,1426.282893848367
random--la14,1286.632193678931
random--la17,1561.1971822360792
random--la18,1874.1544198917754
random--la111,1452.5482577731707
random--la115,481.8304873138887
random--la117,1425.3713352382472
random--la102,1708.9934379238136
random--la103,1370.3988882602944
random--la105,1963.6518554024726
random--la108,1256.9242367128531
random--la109,1456.6614044552366
random--la1012,1322.7691049116538
random--la1017,1783.8979856799679
random--la1018,1553.213722123296
random--la1020,1390.2496982186062
random--la23,1662.4768706879906
random--la24,1218.9142807843307
random--la28,1316.695942683496
random--la210,1622.9542389195876
random--la211,1205.1889371148022
random--la213,1447.0221170068044
random--la214,1878.7648956911576
random--la215,1332.1698572318423
random--la216,1629.7201612493643
random--la218,1267.901518266746
random--la219,1450.8373675940488
random--la220,1200.556103733705
random--la222,1722.3552592036178
random--la31,1428.78855285191
random--la35,1119.7073663507185
random--la36,676.312489390474
random--la37,1232.5810295916533
random--la38,1701.6440633485147
random--la310,2284.722378321877
random--la311,1666.9729663086716
random--la318,1234.656720407536
random--la321,1607.4059047374028
random--la322,1709.22009655929
random--la323,1925.8134764920974
random--la42,1523.4482864102856
random--la44,1239.0408357421995
random--la46,1341.7152618407133
random--la49,1634.1554031354967
random--la412,1712.0601435323501
random--la413,1870.8407329438824
random--la414,1457.4825786356719
random--la415,2070.5535719357626
random--la53,1683.3667189065497
random--la56,1827.7515063787955
random--la57,1783.2587202567759
random--la58,1413.7859503409286
random--la59,1355.4818275053005
random--la510,1617.747873714883
random--la511,1912.4848946676123
random--la517,1371.9873936611239
random--la518,1264.361174817644
random--la520,1787.7852204399198
random--la61,1865.2669237514972
random--la62,1828.6302513657927
random--la63,1366.6696320927467
random--la66,2014.301125003672
random--la68,1805.3408544375886
random--la610,1594.2078993706139
random--la614,1233.7224036908822
random--la615,1752.7267412024316
random--la616,1696.7010175687547
random--la617,1703.229326006129
random--la619,1398.1268118023513
random--la621,1279.790614533591
random--la622,1588.3393258631952
random--la623,1533.7428232853179
random--la625,1645.6743429092824
random--la626,1792.3601376802317
random--la627,1215.6536493495978
random--la72,1256.4329318117223
random--la74,1276.0598590747738
random--la75,1329.5467001804868
random--la77,1500.8233898627564
random--la79,1537.8950447271027
random--la711,1675.6911806699727
random--la713,1756.750971183221
random--la714,1231.4466948696158
random--la716,963.2271234084031
random--la718,1409.7138114146483
random--la719,1369.0803194467212
random--la82,1477.3638919368882
random--la84,2068.775963203833
random--la85,1583.5965933566608
random--la87,1428.6968440408966
random--la88,1476.4383224375185
random--la810,1726.9020618069112
random--la811,1569.8154934025463
random--la813,1183.9024057491154
random--la814,1322.9723704728074
random--la816,1761.3727784027276
random--la818,1561.2523235147014
random--la819,1399.6612602577814
random--la820,1646.0618338216998
random--la821,1683.9155362704082
random--la822,2002.5962142152803
random--la824,1578.771780875182
random--la92,2126.8652722746165
random--la93,1543.7972385816515
random--la96,1381.1791706411584
random--la98,1576.3433784570448
random--la910,1733.3911183862406
random--la912,1953.2239070565915
random--la914,1503.890583620565
random--la916,1735.9655486778377
random--la917,1751.2920158522918
random--la918,1413.5112503907187
random--la921,1717.9772509079817
random--la922,1549.0710954650865
random--la923,1471.6601155271135
